group_id,actual,pred,f1,kappa,accuracy
1,[1. 1. 1. 1. 1. 1. 0. 0. 0. 1. 1. 0. 1.],[0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0.],0.46153846153846156,0.061855670103092786,0.46153846153846156
2,[1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 1. 1.],[0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.],0.5244019138755981,0.0,0.5333333333333333
3,"[0. 1. 0. 1. 0. 1. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 1. 0. 1. 0. 0. 1. 1.
 1. 1. 0. 0. 0.]","[1. 1. 0. 0. 0. 1. 1. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 1. 1. 0. 1.
 1. 1. 0. 0. 1.]",0.587192118226601,0.17535545023696686,0.5862068965517241
4,"[0. 0. 1. 0. 0. 0. 1. 1. 0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.
 0. 0. 1. 1. 1. 0. 1. 1.]","[0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 1. 0. 1. 1. 0. 1.
 0. 1. 0. 0. 0. 1. 1. 0.]",0.5267762460233298,-0.016949152542372836,0.53125
5,[1. 1. 1. 1. 1. 1. 0. 0. 1. 1. 1.],[0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0.],0.3090909090909091,-0.12820512820512797,0.2727272727272727
6,[1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 0. 0. 1. 0. 1. 0. 1. 0.],[0. 0. 1. 1. 1. 1. 1. 0. 0. 0. 1. 1. 1. 1. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1.],0.3717391304347826,-0.23287671232876717,0.375
7,[0. 1. 0. 1. 1. 0. 1. 1. 1. 0. 1. 0. 0.],[0. 0. 0. 1. 1. 1. 0. 1. 1. 0. 1. 1. 0.],0.6923076923076923,0.38095238095238093,0.6923076923076923
8,[0. 1. 0. 1. 0. 0. 0. 1. 1. 1. 1.],[0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 1.],0.4454545454545455,-0.06451612903225801,0.45454545454545453
9,[0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1. 0. 0.],[0. 0. 0. 1. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0.],0.43001443001442996,-0.15384615384615397,0.4444444444444444
10,[1. 1. 0. 0. 0.],[1. 1. 1. 0. 0.],0.8,0.6153846153846154,0.8
11,[1. 1. 1. 1.],[0. 0. 1. 0.],0.4,0.0,0.25
12,[1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 1. 1.],[1. 0. 1. 1. 1. 1. 0. 0. 1. 1. 0. 0.],0.41258741258741255,-0.16666666666666674,0.4166666666666667
13,[0. 1. 1. 0. 1. 1. 1. 1. 0. 1. 1. 0. 0. 1. 1. 1.],[0. 0. 1. 1. 0. 0. 0. 0. 1. 1. 1. 1. 0. 1. 0. 0.],0.39484126984126977,-0.19402985074626855,0.375
14,"[1. 0. 0. 1. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0.
 1. 0. 1. 1. 0. 0.]","[1. 1. 0. 1. 1. 1. 1. 1. 1. 1. 0. 0. 1. 0. 0. 1. 1. 1. 1. 1. 0. 1. 1. 1.
 0. 0. 1. 0. 1. 0.]",0.5333333333333333,0.16000000000000003,0.5333333333333333
15,[0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 1. 0.],[1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 1. 0. 0. 1.],0.45396825396825397,-0.21739130434782616,0.42857142857142855
16,[1. 0. 0. 1. 1. 1. 0. 1. 1. 1. 0. 1. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 1. 0.],0.4047619047619047,-0.07692307692307687,0.42857142857142855
17,[0. 1. 1. 0. 1. 1. 0. 1. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 1. 0. 0.],[0. 0. 0. 1. 0. 1. 0. 1. 1. 1. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 0.],0.38899868247694336,-0.21052631578947367,0.391304347826087
18,[1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 1. 1. 0. 1. 0. 0. 1. 1.],[1. 1. 1. 1. 0. 0. 0. 0. 1. 1. 0. 1. 0. 0. 1. 1. 0. 1. 1. 1.],0.4458646616541353,-0.07843137254901977,0.45
19,[1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 0. 1. 0. 0. 1. 1. 1.],[1. 1. 1. 0. 0. 0. 1. 0. 0. 1. 1. 1. 1. 1. 0. 1. 1. 1.],0.582905982905983,-0.09090909090909083,0.5555555555555556
21,[1. 0. 1. 1. 1. 1. 1. 1. 0. 0. 0. 1. 0. 1. 1.],[1. 1. 1. 1. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0.],0.47619047619047616,0.0,0.4666666666666667
22,[0. 0. 0. 1. 1. 0. 0. 1. 1. 1. 1. 1. 1. 1. 0.],[0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 1.],0.45714285714285713,0.0,0.4666666666666667
23,"[0. 0. 0. 1. 1. 0. 0. 1. 1. 1. 0. 0. 1. 1. 1. 0. 0. 0. 1. 1. 1. 0. 1. 0.
 0. 0. 0. 1. 0. 0. 0.]","[1. 0. 1. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 1. 1. 1. 0.
 0. 1. 0. 0. 0. 1. 1.]",0.5129904097646034,-0.004319654427645814,0.5161290322580645
24,"[0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 0. 1. 1. 0. 0. 0. 1. 0.
 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1. 0. 0. 1. 0. 0.]","[1. 0. 1. 1. 1. 0. 1. 1. 0. 0. 0. 1. 0. 1. 0. 1. 1. 1. 0. 0. 1. 1. 1. 1.
 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 1. 1. 0.]",0.5892408245349421,0.17391304347826086,0.5777777777777777
25,[0. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 0. 1. 0. 1. 1. 0.],[1. 1. 0. 0. 0. 1. 1. 1. 1. 0. 0. 1. 1. 1. 1. 0. 0.],0.43404634581105167,-0.26865671641791034,0.4117647058823529
26,[0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1.],[0. 1. 1. 1. 1. 1. 0. 1. 0. 0. 0.],0.48376623376623373,-0.13793103448275867,0.45454545454545453
