group_id,actual,pred,f1,kappa,accuracy
1,[1. 0. 1. 1. 1. 0. 1.],[1. 1. 0. 0. 1. 0. 1.],0.5904761904761904,0.08695652173913038,0.5714285714285714
2,[1. 1. 0. 1. 1. 0. 0. 0. 0. 1.],[0. 1. 1. 1. 0. 0. 0. 0. 0. 0.],0.5833333333333333,0.19999999999999996,0.6
3,[0. 0. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 0. 1. 1.],0.3760121457489879,0.12195121951219512,0.4375
4,"[1. 1. 0. 0. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0. 1. 1. 0. 1.
 0. 0.]","[1. 1. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 0. 1. 1. 1. 0. 1.
 1. 1.]",0.4385964912280702,0.09625668449197855,0.5
5,[1. 1. 1. 1. 1. 1. 0. 1. 1. 1.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.01818181818181818,0.0,0.1
6,[1. 0. 1. 0. 1. 1. 1. 1. 0. 0. 0. 0. 1. 0.],[1. 0. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 1. 1.],0.8541666666666667,0.7142857142857143,0.8571428571428571
7,[0. 0. 1. 1. 1. 0. 0. 1. 1. 0.],[1. 0. 1. 1. 0. 1. 1. 0. 1. 1.],0.375,-0.19999999999999996,0.4
8,[1. 0. 0. 1. 1. 0. 1. 1. 1. 1. 0. 0. 1.],[1. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0.],0.592074592074592,0.3157894736842106,0.6153846153846154
9,[1. 0. 0. 1. 0. 0. 1. 1. 1. 0. 0. 1.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.3333333333333333,0.0,0.5
10,[0. 0. 1. 1. 0.],[1. 0. 1. 1. 0.],0.8,0.6153846153846154,0.8
12,[1. 0. 0. 1. 0. 0. 0. 1.],[0. 0. 1. 0. 1. 0. 0. 1.],0.5,-0.06666666666666665,0.5
13,[1. 0. 1. 0.],[1. 0. 1. 0.],1.0,1.0,1.0
14,[0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 1. 1. 1. 0. 0. 0. 1. 0.],[1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1. 1. 1. 1. 0. 0.],0.4444444444444444,-0.125,0.4444444444444444
15,[1. 0. 1. 1. 1. 1. 1. 0. 0. 0. 1.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.19393939393939394,0.0,0.36363636363636365
16,[0. 0. 0. 1. 1. 1. 0.],[0. 1. 0. 0. 0. 0. 0.],0.34285714285714286,-0.2727272727272725,0.42857142857142855
17,[1. 0. 1. 1. 0. 1. 1. 0. 1. 0.],[1. 0. 1. 1. 1. 1. 1. 0. 1. 0.],0.8967032967032967,0.7826086956521738,0.9
18,[1. 1. 0. 0. 1. 1. 0. 0. 1.],[1. 1. 1. 1. 1. 0. 0. 1. 1.],0.5185185185185185,0.052631578947368474,0.5555555555555556
19,[0. 0. 0. 1. 0.],[0. 1. 1. 1. 0.],0.6333333333333333,0.2857142857142857,0.6
21,[1. 0. 1. 0. 1. 1. 1. 1. 1. 1.],[0. 1. 1. 0. 0. 1. 1. 0. 0. 1.],0.5494505494505495,0.0,0.5
22,[1. 0. 0. 0. 1. 0. 1. 0.],[0. 1. 0. 1. 0. 1. 0. 1.],0.1388888888888889,-0.75,0.125
23,[1. 0. 1. 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0.],[1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 0. 1. 0. 0. 0. 1. 1. 1. 1. 1. 1.],0.5676555023923445,0.28776978417266186,0.5909090909090909
24,"[0. 1. 0. 1. 1. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 1. 1. 0. 1. 1. 0.
 0. 0. 0. 1. 1.]","[1. 0. 1. 1. 1. 1. 1. 0. 1. 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1. 1. 1. 1. 1.
 1. 1. 1. 0. 0.]",0.5067970822281167,0.06451612903225801,0.5172413793103449
25,[1. 1. 0. 1. 0. 1. 0. 1. 1.],[0. 0. 0. 0. 0. 0. 0. 0. 0.],0.16666666666666666,0.0,0.3333333333333333
26,[0. 1. 1. 1. 0.],[0. 0. 0. 1. 0.],0.5666666666666667,0.2857142857142857,0.6
