group_id,actual,pred,f1,kappa,accuracy
1,[1. 1. 0. 0. 0. 0. 1. 1. 1. 1.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],0.4175824175824176,0.13793103448275867,0.5
2,[0. 1. 0. 0. 1. 1. 0. 0. 1. 1. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.3409090909090909,-0.17857142857142838,0.45454545454545453
3,[0. 1. 0. 1. 1. 0. 1. 0. 1. 0.],[0. 0. 0. 0. 0. 0. 1. 1. 0. 0.],0.45054945054945056,0.0,0.5
4,[1. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 1. 1. 0. 0. 1. 0. 1. 1. 1. 1. 1. 0.],0.24444444444444444,-0.5517241379310347,0.2
5,[0. 0. 0. 1. 1. 0. 0. 0. 0.],[1. 1. 1. 0. 0. 1. 1. 1. 0.],0.15555555555555556,-0.4999999999999998,0.1111111111111111
6,[0. 1. 0. 0. 0. 1. 0. 0. 0. 0.],[1. 0. 1. 0. 0. 1. 0. 0. 1. 0.],0.6380952380952382,0.09090909090909094,0.6
7,[1. 0. 1. 1. 0. 1. 1. 0. 1. 1. 0. 1. 0.],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0.],0.3153846153846154,-0.061224489795918435,0.38461538461538464
8,[0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1.],[0. 0. 1. 0. 1. 0. 1. 1. 1. 1. 1. 1.],0.3333333333333333,-0.20000000000000018,0.3333333333333333
9,[0. 1. 0. 1. 0. 0. 1. 1. 1. 0.],[0. 0. 1. 0. 0. 1. 0. 0. 1. 0.],0.375,-0.19999999999999996,0.4
10,[0. 1. 0.],[0. 1. 0.],1.0,1.0,1.0
12,[0. 0. 1. 1. 1. 1.],[0. 0. 0. 0. 0. 0.],0.16666666666666666,0.0,0.3333333333333333
13,[0. 1. 1. 1. 1.],[0. 0. 0. 0. 0.],0.06666666666666667,0.0,0.2
14,[0. 1. 0. 0. 1. 0. 1. 0. 0. 1. 1. 0. 1. 1. 1. 0.],[1. 1. 1. 0. 1. 1. 0. 1. 1. 1. 1. 0. 1. 0. 0. 0.],0.4920634920634921,0.0,0.5
15,[0. 0. 1. 0. 1. 0. 0.],[0. 1. 0. 0. 1. 0. 0.],0.7142857142857143,0.30000000000000004,0.7142857142857143
16,[0. 0. 0. 0. 0. 1. 1. 1.],[0. 1. 0. 0. 0. 0. 0. 0.],0.41666666666666663,-0.23076923076923084,0.5
17,[0. 1. 1. 0. 0. 0. 1. 0. 1. 1. 0. 1.],[0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0.],0.4375,0.0,0.5
18,[1. 1. 0. 1. 0. 1. 0. 1. 1. 0. 1. 1. 0. 1. 1.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.16666666666666666,0.0,0.3333333333333333
19,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.0065359477124183,0.0,0.058823529411764705
21,[0. 0. 0. 1. 1. 0. 1. 1. 1. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0.],0.38866396761133604,-0.2816901408450705,0.46153846153846156
22,[1. 0. 1. 1. 1. 0. 1. 1. 1. 0. 1. 0.],[0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0.],0.45714285714285713,0.18181818181818188,0.5
23,[1. 0. 1. 0. 0. 1. 0. 1. 0. 1.],[0. 0. 0. 1. 0. 0. 0. 0. 1. 1.],0.375,-0.19999999999999996,0.4
24,[0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1.],[1. 0. 0. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 0. 0. 0. 0. 1.],0.4652777777777778,-0.011235955056179803,0.4444444444444444
25,[1. 0. 1. 0. 1. 1. 1. 1. 0. 0. 0. 1. 1. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],0.2255639097744361,-0.14545454545454528,0.35714285714285715
26,[1. 0. 1. 1. 0. 1. 1. 1. 0. 1.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.13846153846153847,0.0,0.3
