participant,study_status,scene_familiarity,recall_status,blink_cnt,peak_blink_duration,avg_blink_duration
25,0.0,0.0,,0,0,0.0
25,0.0,0.0,,1,18,18.0
22,0.0,0.0,,1,38,38.0
19,0.0,0.0,,0,0,0.0
23,0.0,0.0,,0,0,0.0
23,0.0,0.0,,0,0,0.0
5,0.0,0.0,,1,28,28.0
15,1.0,0.0,,1,39,39.0
15,0.0,0.0,,1,51,51.0
10,1.0,0.0,,1,169,169.0
17,1.0,0.0,,0,0,0.0
14,0.0,0.0,,0,0,0.0
25,0.0,0.0,,2,16,16.0
26,0.0,0.0,,1,28,28.0
9,0.0,0.0,,0,0,0.0
23,0.0,0.0,,0,0,0.0
17,1.0,0.0,,1,46,46.0
1,1.0,0.0,,1,14,14.0
23,0.0,0.0,,1,56,56.0
4,0.0,0.0,,0,0,0.0
1,1.0,0.0,,0,0,0.0
5,0.0,0.0,,0,0,0.0
4,0.0,0.0,,0,0,0.0
5,0.0,0.0,,1,73,73.0
9,0.0,0.0,,0,0,0.0
25,0.0,0.0,,2,86,50.5
14,0.0,0.0,,0,0,0.0
14,0.0,0.0,,0,0,0.0
4,0.0,0.0,,0,0,0.0
10,1.0,0.0,,1,48,48.0
4,0.0,0.0,,0,0,0.0
16,1.0,0.0,,1,25,25.0
17,1.0,0.0,,1,46,46.0
24,1.0,0.0,,0,0,0.0
18,1.0,0.0,,0,0,0.0
18,1.0,0.0,,1,17,17.0
9,1.0,0.0,,1,15,15.0
18,1.0,0.0,,1,17,17.0
12,0.0,0.0,,0,0,0.0
13,0.0,0.0,,0,0,0.0
12,1.0,0.0,,1,33,33.0
14,0.0,0.0,,1,17,17.0
26,0.0,0.0,,0,0,0.0
25,0.0,0.0,,1,13,13.0
24,1.0,0.0,,0,0,0.0
1,1.0,0.0,,0,0,0.0
7,1.0,0.0,,1,143,143.0
6,0.0,0.0,,1,14,14.0
19,1.0,0.0,,1,86,86.0
15,1.0,0.0,,1,34,34.0
13,1.0,0.0,,1,120,120.0
7,1.0,0.0,,0,0,0.0
19,0.0,0.0,,1,79,79.0
13,0.0,0.0,,1,24,24.0
19,1.0,0.0,,0,0,0.0
15,1.0,0.0,,1,42,42.0
19,0.0,0.0,,1,18,18.0
22,0.0,0.0,,1,30,30.0
23,0.0,0.0,,0,0,0.0
9,0.0,0.0,,1,26,26.0
9,0.0,0.0,,1,26,26.0
26,0.0,0.0,,0,0,0.0
24,1.0,0.0,,0,0,0.0
7,1.0,0.0,,1,142,142.0
22,0.0,0.0,,1,34,34.0
13,0.0,0.0,,1,26,26.0
3,1.0,0.0,,2,60,34.0
23,0.0,0.0,,1,42,42.0
26,0.0,0.0,,0,0,0.0
17,1.0,0.0,,1,15,15.0
3,0.0,0.0,,0,0,0.0
15,1.0,0.0,,1,42,42.0
4,0.0,0.0,,0,0,0.0
1,1.0,0.0,,1,73,73.0
4,0.0,0.0,,0,0,0.0
24,0.0,0.0,,1,27,27.0
1,1.0,0.0,,0,0,0.0
24,1.0,0.0,,0,0,0.0
25,0.0,0.0,,1,19,19.0
23,0.0,0.0,,0,0,0.0
4,0.0,0.0,,0,0,0.0
24,0.0,0.0,,1,21,21.0
6,0.0,0.0,,1,72,72.0
26,0.0,0.0,,0,0,0.0
14,0.0,0.0,,2,41,31.0
6,0.0,0.0,,1,108,108.0
5,0.0,0.0,,1,16,16.0
25,0.0,0.0,,1,17,17.0
16,1.0,0.0,,0,0,0.0
4,0.0,0.0,,1,85,85.0
25,0.0,0.0,,1,19,19.0
16,1.0,0.0,,0,0,0.0
