Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Identifier	Event value	Event message
1701976145251	t	alley_test_cue_jail_cell_right	0.0	2	0	5.5436	721.296	863.3599999999999	1.0	5.3351	777.744	973.76	1.0	0.0219	0.2511	0.9677	-0.4587	-1.1779	-30.2752	0.0	18	1.0	0.0		1503	100	MYKEYWORD 100
1701976145259	t	alley_test_cue_jail_cell_right	0.0	2	0	5.5356	721.296	863.3599999999999	1.0	5.3475	777.456	973.76	1.0	0.0221	0.2511	0.9677	-0.3269	-1.1739	-30.2769	0.0	18	1.0	0.0		1503	0	0
1701976145267	t	alley_test_cue_jail_cell_right	0.0	2	0	5.5436	721.296	863.3599999999999	1.0	5.3474	777.456	973.76	1.0	0.0218	0.2512	0.9677	-0.1465	-1.1685	-30.2795	0.0	18	1.0	0.0		1503	0	0
1701976145276	t	alley_test_cue_jail_cell_right	0.0	2	0	5.5435	721.296	863.3599999999999	1.0	5.347	777.456	973.9200000000001	1.0	0.0217	0.2511	0.9677	-0.0612	-1.1659	-30.2807	0.0	18	1.0	0.0		1503	0	0
1701976145284	t	alley_test_cue_jail_cell_right	0.0	2	0	5.5367	721.296	863.1999999999999	1.0	5.3474	777.1679999999999	973.76	1.0	0.0226	0.2516	0.9676	-0.0761	-1.1661	-30.2805	0.0	18	1.0	0.0		1503	0	0
1701976145292	t	alley_test_cue_jail_cell_right	0.0	2	0	5.5364	721.44	863.1999999999999	1.0	5.347	777.1679999999999	973.9200000000001	1.0	0.0222	0.2514	0.9676	0.0368	-1.1625	-30.2823	0.0	18	1.0	0.0		1503	0	0
1701976145301	t	alley_test_cue_jail_cell_right	0.0	2	0	5.5462	721.44	862.72	1.0	5.348	777.744	973.76	1.0	0.021	0.2523	0.9674	0.0212	-1.1627	-30.2824	0.0	18	1.0	0.0		1503	0	0
1701976145309	t	alley_test_cue_jail_cell_right	0.0	2	0	5.5373	721.44	863.04	1.0	5.3487	777.744	973.44	1.0	0.021	0.2524	0.9674	0.1337	-1.1593	-30.2843	0.0	18	1.0	0.0		1503	0	0
1701976145317	t	alley_test_cue_jail_cell_right	0.0	2	0	5.537	721.44	862.72	1.0	5.3481	777.744	973.76	1.0	0.021	0.2525	0.9674	0.2	-1.1575	-30.2857	0.0	18	1.0	0.0		1503	0	0
1701976145326	t	alley_test_cue_jail_cell_right	0.0	2	0	5.537	721.296	862.72	1.0	5.349	777.744	973.44	1.0	0.0212	0.253	0.9672	0.5242	-1.1477	-30.2905	0.0	18	1.0	0.0		1503	0	0
1701976145334	t	alley_test_cue_jail_cell_right	0.0	2	0	5.536	721.44	863.04	1.0	5.3522	777.6	973.28	1.0	0.0214	0.2532	0.9672	0.5209	-1.1479	-30.2909	0.0	18	1.0	0.0		1503	0	0
1701976145342	t	alley_test_cue_jail_cell_right	0.0	2	0	5.5383	721.872	862.5600000000001	1.0	5.3493	777.6	973.44	1.0	0.0207	0.2534	0.9671	0.3814	-1.1522	-30.2898	0.0	18	1.0	0.0		1503	0	0
1701976145351	t	alley_test_cue_jail_cell_right	0.0	2	0	5.5382	721.872	862.5600000000001	1.0	5.3508	777.6	973.76	1.0	0.0211	0.2529	0.9673	0.2981	-1.1541	-30.2889	0.0	18	1.0	0.0		1503	0	0
1701976145359	t	alley_test_cue_jail_cell_right	0.0	2	0	5.5352	722.3040000000001	863.04	1.0	5.3485	777.456	974.24	1.0	0.0211	0.2509	0.9678	0.1367	-1.1576	-30.2871	0.0	18	1.0	0.0		1503	0	0
1701976145367	t	alley_test_cue_jail_cell_right	0.0	2	0	5.565	722.592	863.04	1.0	5.347	777.6	974.7199999999999	1.0	0.0206	0.2504	0.9679	0.2323	-1.1548	-30.289	0.0	18	1.0	0.0		1503	0	0
1701976145375	t	alley_test_cue_jail_cell_right	0.0	2	0	5.5659	722.736	863.04	1.0	5.3403	777.6	975.0400000000001	1.0	0.0204	0.2498	0.9681	0.2812	-1.1531	-30.2898	0.0	18	1.0	0.0		1503	0	0
