participant,study_status,scene_familiarity,recall_status,blink_cnt,peak_blink_duration,avg_blink_duration,saccade_count,avg_saccade_duration,avg_saccade_peak_vel,avg_saccade_amplitude,microsaccade_count,avg_microsaccade_duration,avg_microsaccade_vel,avg_microsaccade_amp
15,0.0,1.0,0.5,0,0,0.0,2,32.5,30.132360297413676,172.24634792813657,0,0.0,0.0,0.0
25,0.0,1.0,0.5,0,0,0.0,2,37.5,19.399320168044383,121.88499928460081,0,0.0,0.0,0.0
3,0.0,1.0,0.5,1,1,1.0,3,15.333333333333334,23.83185419797623,153.94837253149907,0,0.0,0.0,0.0
4,1.0,1.0,1.0,0,0,0.0,2,51.0,23.498972742635555,220.50084825506033,0,0.0,0.0,0.0
24,1.0,1.0,1.0,0,0,0.0,4,21.5,28.613749832950123,175.5600748323257,0,0.0,0.0,0.0
4,0.0,1.0,0.5,0,0,0.0,3,51.0,31.107209393185922,200.49854487799203,0,0.0,0.0,0.0
17,1.0,1.0,0.5,0,0,0.0,4,17.25,31.21762738396088,157.4104567255427,0,0.0,0.0,0.0
19,1.0,1.0,1.0,0,0,0.0,2,20.5,20.540655091384163,118.20136365530902,0,0.0,0.0,0.0
6,1.0,1.0,0.5,0,0,0.0,2,9.0,31.377747291942057,105.6120070872021,0,0.0,0.0,0.0
26,1.0,1.0,1.0,0,0,0.0,4,29.75,21.157869381507016,131.58060205944696,1,10.0,3.4301595774440505,21.577477384796133
18,1.0,1.0,0.5,0,0,0.0,5,18.0,22.63212868809314,142.9064932653197,1,8.0,3.1472864971168666,18.11620673981796
23,1.0,1.0,1.0,0,0,0.0,5,30.0,27.803323848012763,209.3010245141799,0,0.0,0.0,0.0
16,1.0,1.0,0.5,0,0,0.0,2,36.5,27.528710483152576,116.23898461752238,0,0.0,0.0,0.0
22,1.0,1.0,1.0,1,32,32.0,1,10.0,0.4415571536030067,3.974014382426778,1,7.5,5.828131960499238,12.531041917748908
26,1.0,1.0,1.0,0,0,0.0,1,138.0,30.120913360590077,223.20131871911784,0,0.0,0.0,0.0
5,1.0,1.0,0.5,1,67,67.0,1,16.0,9.799335004948631,21.575198193681445,0,0.0,0.0,0.0
10,1.0,1.0,1.0,1,28,28.0,4,17.25,20.98673067718796,98.98046333723019,2,7.75,3.344945449993785,16.468283516943217
13,1.0,1.0,1.0,1,10,10.0,3,26.333333333333332,21.53713467571389,137.99236854053868,0,0.0,0.0,0.0
22,1.0,1.0,1.0,1,30,30.0,2,8.5,13.875180958230814,75.71823649809988,2,9.25,3.0070627943130637,19.433085166733342
24,0.0,1.0,0.5,1,26,26.0,1,40.0,9.476274083623874,100.34087486680903,0,0.0,0.0,0.0
16,1.0,1.0,1.0,0,0,0.0,4,12.5,24.66040907504592,106.20011725869797,0,0.0,0.0,0.0
2,0.0,1.0,0.5,1,21,21.0,2,10.5,12.725346512580296,68.08617810984632,1,7.5,2.9035749799180257,16.286342437430168
23,1.0,1.0,1.0,1,47,47.0,5,24.8,13.32797183095173,154.01273238321227,0,0.0,0.0,0.0
9,0.0,1.0,0.5,1,17,17.0,3,11.0,14.432214104226347,95.03933455175815,1,7.0,4.361183130175707,17.778558533684475
6,1.0,1.0,1.0,1,19,19.0,3,29.666666666666668,28.771307664783407,198.6713378784997,0,0.0,0.0,0.0
19,1.0,1.0,1.0,1,67,67.0,3,18.666666666666668,8.423361659827863,47.3872541246723,0,0.0,0.0,0.0
23,0.0,1.0,0.5,0,0,0.0,4,39.0,26.33578732556944,170.07943046985713,0,0.0,0.0,0.0
1,1.0,1.0,0.5,1,14,14.0,4,26.0,15.680630891907827,108.70264497146161,0,0.0,0.0,0.0
23,0.0,1.0,0.5,0,0,0.0,3,11.0,16.88760512220879,94.11149959920915,0,0.0,0.0,0.0
17,1.0,1.0,1.0,0,0,0.0,7,17.142857142857142,20.333390879897824,94.15346564669468,2,10.0,3.462670854541932,21.78741343442772
21,1.0,1.0,1.0,1,15,15.0,3,20.666666666666668,12.950268783181386,123.64429524117465,0,0.0,0.0,0.0
17,1.0,1.0,1.0,0,0,0.0,1,10.0,33.36649652471796,178.14630121160664,0,0.0,0.0,0.0
16,1.0,1.0,1.0,1,25,25.0,1,102.0,42.49069956257089,209.21429709062863,0,0.0,0.0,0.0
14,1.0,1.0,1.0,1,26,26.0,2,11.5,18.90554721557717,81.21326461130224,1,7.5,1.256732752321848,6.437413979355846
24,0.0,1.0,0.5,0,0,0.0,3,7.666666666666667,28.025424061475558,136.10413048994758,0,0.0,0.0,0.0
19,1.0,1.0,1.0,1,18,18.0,4,33.25,26.670858472360013,207.05465592976216,0,0.0,0.0,0.0
25,1.0,1.0,1.0,1,43,43.0,4,9.5,2.6969448077304494,17.35252570751911,0,0.0,0.0,0.0
19,1.0,1.0,1.0,0,0,0.0,2,17.0,23.47094708713091,136.47343800514378,0,0.0,0.0,0.0
22,1.0,1.0,0.0,1,26,26.0,2,11.5,11.839200233521705,64.93752488877799,0,0.0,0.0,0.0
21,1.0,1.0,0.5,1,27,27.0,2,63.0,27.933330940246364,349.1534058444898,0,0.0,0.0,0.0
5,1.0,1.0,1.0,1,20,20.0,4,13.25,20.01767204717303,78.57470061131443,2,11.0,3.7990410950545512,20.773438375633628
19,1.0,1.0,1.0,0,0,0.0,4,22.5,22.06422461714008,146.1223000203081,0,0.0,0.0,0.0
22,1.0,1.0,1.0,1,25,25.0,3,35.666666666666664,24.06617593495787,202.92384782267064,0,0.0,0.0,0.0
5,1.0,1.0,0.5,0,0,0.0,3,11.666666666666666,22.798460147541377,120.21031199008831,1,13.0,3.1561741226653477,20.128869997881885
19,1.0,1.0,1.0,0,0,0.0,1,34.0,18.025581366320004,65.68849094591754,0,0.0,0.0,0.0
24,1.0,1.0,1.0,0,0,0.0,2,14.5,13.267698986773276,35.80943628011425,0,0.0,0.0,0.0
12,0.0,1.0,0.5,0,0,0.0,2,23.5,20.79255684862597,131.9970446020551,0,0.0,0.0,0.0
4,0.0,1.0,0.5,0,0,0.0,2,62.5,26.107808046055233,255.22551781221932,0,0.0,0.0,0.0
9,1.0,1.0,1.0,1,20,20.0,2,12.5,15.529365075110368,64.52499552683534,0,0.0,0.0,0.0
6,1.0,1.0,0.5,1,25,25.0,2,21.5,25.55153874685915,140.35101517969673,0,0.0,0.0,0.0
22,0.0,1.0,0.0,1,21,21.0,3,44.0,8.878896681867008,55.09482740825962,0,0.0,0.0,0.0
9,1.0,1.0,0.5,2,21,14.5,4,17.25,14.246359137325529,112.15359342567167,1,7.0,4.233542432678899,9.118459958660392
6,0.0,1.0,0.0,2,17,11.0,5,28.6,27.312766503122607,177.4101370446809,0,0.0,0.0,0.0
5,0.0,1.0,0.5,1,20,20.0,3,17.0,49.985405959755674,224.01175780728954,0,0.0,0.0,0.0
14,0.0,1.0,0.0,2,43,26.0,5,13.4,17.448972891621345,93.38323443361934,1,8.0,4.823018144181947,17.728780538725733
19,0.0,1.0,0.5,1,15,15.0,5,26.8,21.739328767690026,174.763913823652,0,0.0,0.0,0.0
2,0.0,1.0,0.0,1,90,90.0,5,26.6,13.714710616928375,162.25061443738548,0,0.0,0.0,0.0
24,0.0,1.0,0.5,0,0,0.0,2,20.5,16.996724338898836,64.98976409996152,0,0.0,0.0,0.0
6,1.0,1.0,0.0,2,22,21.5,2,14.5,3.469805505708319,46.56739051266828,1,8.0,4.416799437435534,13.401131791902003
17,0.0,1.0,0.0,0,0,0.0,3,16.0,28.469483076266183,189.99067864126266,0,0.0,0.0,0.0
13,1.0,1.0,1.0,1,10,10.0,3,45.0,32.84047264932966,256.7142394038971,0,0.0,0.0,0.0
14,0.0,1.0,0.5,1,11,11.0,4,20.0,21.86524111018659,131.0624185753578,1,9.0,4.171473656817069,30.714973370930956
24,0.0,1.0,0.5,0,0,0.0,2,10.5,40.714523536860945,248.80313374629048,0,0.0,0.0,0.0
24,0.0,1.0,0.5,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2,1.0,1.0,0.0,1,95,95.0,2,13.5,0.8394812765807214,10.493515957258818,1,12.5,2.655878876840064,21.130880472012628
7,1.0,1.0,1.0,1,24,24.0,2,18.5,14.127744835275507,33.32359875840757,0,0.0,0.0,0.0
23,1.0,1.0,0.0,1,56,56.0,5,27.4,23.67684527078676,131.3671147449506,0,0.0,0.0,0.0
24,0.0,1.0,0.5,0,0,0.0,1,26.0,28.46103954312027,91.62515160288586,0,0.0,0.0,0.0
18,1.0,1.0,1.0,0,0,0.0,1,55.0,19.336737518907142,55.26894642960423,0,0.0,0.0,0.0
16,0.0,1.0,0.5,0,0,0.0,2,7.5,7.872626284719556,16.138494200662723,0,0.0,0.0,0.0
26,1.0,1.0,1.0,0,0,0.0,6,12.333333333333334,14.729607946629505,61.117455772380275,0,0.0,0.0,0.0
21,0.0,1.0,0.5,1,35,35.0,3,43.666666666666664,24.162624077479748,139.85921654257166,1,16.0,4.333816513285944,27.868637232810592
7,1.0,1.0,0.5,1,20,20.0,2,23.0,15.983329671421851,81.5434950710775,1,8.5,3.279837560079944,9.62289469353938
18,1.0,1.0,1.0,0,0,0.0,1,29.0,12.229764313035922,30.484147400265446,1,10.0,2.116955985091728,5.611459818173628
4,0.0,1.0,0.5,0,0,0.0,4,37.75,25.664968180988346,207.11328238819056,0,0.0,0.0,0.0
9,1.0,1.0,1.0,1,20,20.0,4,12.25,16.1893806066731,70.22672479375773,0,0.0,0.0,0.0
19,1.0,1.0,1.0,1,20,20.0,1,15.0,20.923160216882483,87.5450212747731,1,10.0,2.0466607937111365,10.75250711871336
6,1.0,1.0,0.0,1,22,22.0,3,20.0,12.180055470395116,88.12506685004708,0,0.0,0.0,0.0
6,1.0,1.0,1.0,1,22,22.0,2,11.0,11.365378919998008,72.47405498441321,0,0.0,0.0,0.0
