Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Identifier	Event value	Event message
1701721148410	t	observatory_test_cue_domeroom_right	0.0	1	0	4.0987	760.752	941.6	1.0	4.3797	839.232	1099.04	1.0	0.0124	-0.1698	0.9854	-2.9193	2.6308	-41.4713	0.0	4	0.0	0.0		1439	100	MYKEYWORD 100
1701721148418	t	observatory_test_cue_domeroom_right	0.0	1	0	4.0987	760.752	941.6	1.0	4.3803	839.232	1098.72	1.0	0.0123	-0.1694	0.9855	-2.0223	2.6566	-41.4563	0.0	4	0.0	0.0		1439	0	0
1701721148426	t	observatory_test_cue_domeroom_right	0.0	1	0	4.099	760.752	941.6	0.9784	4.4365	839.232	1097.4399999999998	0.9987	0.0126	-0.1659	0.9861	-0.6124	2.6952	-41.4452	0.0	4	0.0	0.0		1439	0	0
1701721148435	t	observatory_test_cue_domeroom_right	0.0	1	0	4.0858	760.752	942.0799999999999	0.9784	4.4361	839.232	1097.92	0.9987	0.0127	-0.1673	0.9858	-0.0026	2.7098	-41.4378	0.0	4	0.0	0.0		1439	0	0
1701721148443	t	observatory_test_cue_domeroom_right	0.0	1	0	4.0866	760.752	941.6	0.9614	4.4543	839.232	1097.4399999999998	0.9854	0.0128	-0.1645	0.9863	0.9676	2.7345	-41.4272	0.0	4	0.0	0.0		1439	0	0
1701721148451	t	observatory_test_cue_domeroom_right	0.0	1	0	4.0843	760.752	942.0799999999999	0.9614	4.4546	839.232	1097.4399999999998	0.9854	0.0128	-0.1658	0.9861	1.1487	2.7393	-41.4184	0.0	4	0.0	0.0		1439	0	0
1701721148460	t	observatory_test_cue_domeroom_right	0.0	1	0	4.082	760.752	941.6	0.9723	4.4376	839.232	1097.4399999999998	0.9853	0.0126	-0.1646	0.9863	0.9845	2.7325	-41.417	0.0	4	0.0	0.0		1439	0	0
1701721148468	t	observatory_test_cue_domeroom_right	0.0	1	0	4.0862	760.752	940.48	0.9725	4.4381	839.232	1097.4399999999998	0.9854	0.0125	-0.1628	0.9866	0.6868	2.722	-41.4135	0.0	4	0.0	0.0		1439	0	0
1701721148477	t	observatory_test_cue_domeroom_right	0.0	1	0	4.086	759.5999999999999	941.6	0.961	4.4357	839.232	1097.92	0.9861	0.0147	-0.1664	0.9859	0.0448	2.7021	-41.4043	0.0	4	0.0	0.0		1439	0	0
1701721148485	t	observatory_test_cue_domeroom_right	0.0	1	0	4.0855	760.752	941.6	0.961	4.4247	839.232	1098.72	0.9861	0.0125	-0.1684	0.9856	-0.5851	2.6834	-41.4009	0.0	4	0.0	0.0		1439	0	0
1701721148493	t	observatory_test_cue_domeroom_right	0.0	1	0	3.9823	761.76	947.3599999999999	0.964	4.4291	838.2239999999999	1098.24	0.9865	0.0141	-0.1813	0.9833	-1.7935	2.64	-41.3306	0.0	4	0.0	0.0		1439	0	0
1701721148501	t	observatory_test_cue_domeroom_right	0.0	1	0	4.4143	756.8639999999999	936.32	0.964	4.3448	843.408	1104.16	0.9865	0.0111	-0.1739	0.9847	-2.1602	2.66	-41.4093	0.0	4	0.0	0.0		1439	0	0
1701721148510	t	observatory_test_cue_domeroom_right	0.0	1	0	4.1916	763.056	939.04	0.9731	4.1853	846.432	1108.16	0.9808	-0.009	-0.19	0.9817	-4.726	2.6084	-41.4874	0.0	4	0.0	0.0		1439	0	0
1701721148518	t	observatory_test_cue_domeroom_right	0.0	1	0	4.429	757.296	938.4000000000001	0.9731	4.0099	841.6800000000001	1111.68	0.9808	0.0105	-0.2012	0.9795	-7.5325	2.5279	-41.4851	0.0	4	0.0	0.0		1439	0	0
1701721148526	t	observatory_test_cue_domeroom_right	0.0	1	0	4.1608	762.192	938.88	0.9371	4.0835	841.392	1108.96	0.9667	0.0049	-0.1966	0.9805	-7.366	2.5229	-41.4476	0.0	4	0.0	0.0		1439	0	0
1701721148535	t	observatory_test_cue_domeroom_right	0.0	1	0	3.9686	760.032	949.2800000000001	0.9371	4.0139	841.6800000000001	1107.3600000000001	0.9667	0.0072	-0.2097	0.9777	-8.2254	2.4983	-41.4389	0.0	4	0.0	0.0		1439	0	0
1701721148543	t	observatory_test_cue_domeroom_right	0.0	1	0	4.072	759.312	939.84	0.948	4.0118	841.392	1109.44	0.9419	0.0085	-0.2036	0.979	-10.2777	2.4461	-41.4786	0.0	4	0.0	0.0		1439	0	0
1701721148551	t	observatory_test_cue_domeroom_right	0.0	1	0	4.0457	759.7439999999999	941.76	0.948	4.0101	841.6800000000001	1111.04	0.9419	0.0064	-0.2125	0.9771	-12.4374	2.3727	-41.4429	0.0	4	0.0	0.0		1439	0	0
1701721148560	t	observatory_test_cue_domeroom_right	0.0	1	0	4.2854	755.856	939.04	0.9033	4.1297	842.544	1107.52	0.9266	0.0112	-0.2014	0.9794	-12.4782	2.3849	-41.4754	0.0	4	0.0	0.0		1439	0	0
1701721148568	t	observatory_test_cue_domeroom_right	0.0	1	0	4.1098	762.192	943.36	0.9033	3.9692	846.8639999999999	1112.3200000000002	0.9266	-0.0091	-0.2186	0.9758	-12.7426	2.3841	-41.4865	0.0	4	0.0	0.0		1439	0	0
1701721148576	t	observatory_test_cue_domeroom_right	0.0	1	0	4.0001	759.8879999999999	945.12	0.8737	4.0353	847.5840000000001	1110.72	0.928	-0.0083	-0.2184	0.9758	-13.6179	2.3675	-41.5101	0.0	4	0.0	0.0		1439	0	0
1701721148585	t	observatory_test_cue_domeroom_right	0.0	1	0	4.4862	757.728	938.88	0.8737	4.0087	846.8639999999999	1111.52	0.928	-0.0062	-0.2175	0.976	-16.5278	2.2922	-41.5449	0.0	4	0.0	0.0		1439	0	0
1701721148593	t	observatory_test_cue_domeroom_right	0.0	1	0	4.3628	760.464	934.4	0.8828	4.1187	847.5840000000001	1109.1200000000001	0.9121	-0.0093	-0.2077	0.9781	-15.8875	2.3087	-41.5122	0.0	4	0.0	0.0		1439	0	0
1701721148601	t	observatory_test_cue_domeroom_right	0.0	1	0	4.2564	763.344	935.8399999999999	0.8835	4.2679	848.5920000000001	1102.72	0.9126	-0.0131	-0.2004	0.9796	-23.2157	2.1099	-41.5935	0.0	4	0.0	0.0		1439	0	0
1701721148610	t	observatory_test_cue_domeroom_right	0.0	1	0	4.3307	762.192	936.16	0.885	4.0489	841.8240000000001	1107.04	0.8824	0.0116	-0.2141	0.9767	-23.2215	2.0993	-41.5565	0.0	4	0.0	0.0		1439	0	0
1701721148618	t	observatory_test_cue_domeroom_right	0.0	1	0	4.2073	760.176	944.48	0.885	4.0985	841.8240000000001	1112.0	0.8824	0.0135	-0.2342	0.9721	-29.4156	1.8969	-41.6032	0.0	4	0.0	0.0		1439	0	0
1701721148626	t	observatory_test_cue_domeroom_right	0.0	1	0	3.7843	757.728	958.4	0.8079	3.834	843.6959999999999	1120.3200000000002	0.8154	0.0033	-0.2746	0.9615	-34.813	1.7549	-41.5836	0.0	4	0.0	0.0		1439	0	0
1701721148634	t	observatory_test_cue_domeroom_right	0.0	1	0	3.3269	759.5999999999999	973.6	0.8079	4.0802	848.5920000000001	1109.28	0.8154	-0.0124	-0.2454	0.9693	-34.5625	1.805	-41.5816	0.0	4	0.0	0.0		1439	0	0
1701721148642	t	observatory_test_cue_domeroom_right	0.0	1	0	3.0815	777.1679999999999	978.72	0.6505	3.7899	846.432	1116.0	0.6832	0.0017	-0.2849	0.9586	-34.3465	1.8756	-41.5502	0.0	4	0.0	0.0		1439	0	0
1701721148651	t	observatory_test_cue_domeroom_right	0.0	1	0	-1.0	777.456	980.8	0.6505	3.7968	854.784	1115.8400000000001	0.6832	-0.019	-0.2932	0.9559	-35.2994	1.8967	-41.5441	0.0	4	0.0	0.0		1439	0	0
