participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt,blink_cnt,peak_blink_duration,avg_blink_duration
25,0.0,0.0,,8,20,14.625,0,0,0.0
25,0.0,0.0,,7,45,27.142857142857142,1,42,42.0
22,0.0,0.0,,3,124,71.66666666666667,0,0,0.0
19,0.0,0.0,,3,75,53.666666666666664,2,25,23.0
23,0.0,0.0,,5,42,16.8,1,56,56.0
23,0.0,0.0,,8,15,9.75,0,0,0.0
5,0.0,0.0,,11,34,18.09090909090909,0,0,0.0
15,1.0,0.0,,9,31,19.77777777777778,1,30,30.0
15,0.0,0.0,,5,27,16.6,1,51,51.0
10,1.0,0.0,,12,29,11.5,1,25,25.0
17,1.0,0.0,,8,28,12.0,0,0,0.0
14,0.0,0.0,,0,0,0.0,0,0,0.0
25,0.0,0.0,,7,36,16.857142857142858,1,18,18.0
26,0.0,0.0,,6,55,24.333333333333332,0,0,0.0
9,0.0,0.0,,10,37,20.3,1,23,23.0
23,0.0,0.0,,2,132,97.5,0,0,0.0
17,1.0,0.0,,6,57,29.5,0,0,0.0
1,1.0,0.0,,8,54,24.0,0,0,0.0
23,0.0,0.0,,4,42,19.25,1,56,56.0
4,0.0,0.0,,12,26,13.583333333333334,0,0,0.0
1,1.0,0.0,,9,47,18.666666666666668,1,14,14.0
5,0.0,0.0,,7,31,19.428571428571427,0,0,0.0
4,0.0,0.0,,4,83,49.5,0,0,0.0
5,0.0,0.0,,9,56,22.444444444444443,0,0,0.0
9,0.0,0.0,,7,95,27.0,0,0,0.0
25,0.0,0.0,,9,38,14.333333333333334,2,24,20.5
14,0.0,0.0,,4,70,41.25,0,0,0.0
14,0.0,0.0,,10,40,18.3,1,33,33.0
4,0.0,0.0,,11,26,13.090909090909092,1,21,21.0
10,1.0,0.0,,5,47,25.2,1,4,4.0
4,0.0,0.0,,7,17,9.142857142857142,0,0,0.0
16,1.0,0.0,,9,30,14.555555555555555,2,25,15.0
17,1.0,0.0,,6,49,35.166666666666664,0,0,0.0
24,1.0,0.0,,5,65,41.2,0,0,0.0
18,1.0,0.0,,4,56,35.0,1,9,9.0
18,1.0,0.0,,9,24,13.222222222222221,0,0,0.0
9,1.0,0.0,,7,49,19.857142857142858,1,18,18.0
18,1.0,0.0,,10,23,13.5,1,5,5.0
12,0.0,0.0,,15,22,10.933333333333334,0,0,0.0
13,0.0,0.0,,4,77,46.5,1,24,24.0
12,1.0,0.0,,7,27,19.142857142857142,1,39,39.0
14,0.0,0.0,,9,42,20.333333333333332,1,41,41.0
26,0.0,0.0,,6,29,11.666666666666666,0,0,0.0
25,0.0,0.0,,5,57,22.4,1,19,19.0
24,1.0,0.0,,8,41,23.375,1,27,27.0
1,1.0,0.0,,9,45,19.77777777777778,0,0,0.0
7,1.0,0.0,,1,75,75.0,1,26,26.0
6,0.0,0.0,,4,62,45.5,1,110,110.0
19,1.0,0.0,,7,34,16.714285714285715,1,16,16.0
15,1.0,0.0,,9,31,21.88888888888889,0,0,0.0
13,1.0,0.0,,3,103,55.666666666666664,1,14,14.0
7,1.0,0.0,,3,48,39.666666666666664,0,0,0.0
19,0.0,0.0,,8,28,13.125,1,18,18.0
13,0.0,0.0,,5,58,30.8,0,0,0.0
19,1.0,0.0,,10,30,14.6,1,23,23.0
15,1.0,0.0,,8,45,25.875,1,63,63.0
19,0.0,0.0,,16,33,11.75,0,0,0.0
22,0.0,0.0,,10,64,19.4,1,23,23.0
23,0.0,0.0,,7,15,10.857142857142858,0,0,0.0
9,0.0,0.0,,12,30,15.916666666666666,0,0,0.0
9,0.0,0.0,,7,28,16.0,0,0,0.0
26,0.0,0.0,,10,25,12.8,0,0,0.0
24,1.0,0.0,,8,46,25.125,0,0,0.0
7,1.0,0.0,,4,66,39.5,1,89,89.0
22,0.0,0.0,,11,32,12.363636363636363,1,30,30.0
13,0.0,0.0,,6,38,28.833333333333332,1,16,16.0
3,1.0,0.0,,13,34,13.23076923076923,1,7,7.0
23,0.0,0.0,,5,23,11.6,0,0,0.0
26,0.0,0.0,,7,29,13.285714285714286,0,0,0.0
17,1.0,0.0,,7,30,15.285714285714286,0,0,0.0
3,0.0,0.0,,13,29,14.923076923076923,1,11,11.0
15,1.0,0.0,,9,36,21.11111111111111,0,0,0.0
4,0.0,0.0,,8,42,14.5,0,0,0.0
1,1.0,0.0,,12,29,12.666666666666666,1,13,13.0
4,0.0,0.0,,10,19,11.0,0,0,0.0
24,0.0,0.0,,8,67,25.75,1,13,13.0
1,1.0,0.0,,8,54,26.0,0,0,0.0
24,1.0,0.0,,8,45,23.5,0,0,0.0
25,0.0,0.0,,7,45,27.285714285714285,1,42,42.0
23,0.0,0.0,,6,51,27.166666666666668,0,0,0.0
4,0.0,0.0,,7,42,15.285714285714286,0,0,0.0
24,0.0,0.0,,4,101,44.75,1,30,30.0
6,0.0,0.0,,10,39,18.6,0,0,0.0
26,0.0,0.0,,12,33,13.083333333333334,0,0,0.0
14,0.0,0.0,,7,59,19.571428571428573,2,41,31.0
6,0.0,0.0,,11,28,15.727272727272727,1,20,20.0
5,0.0,0.0,,4,148,52.75,1,28,28.0
25,0.0,0.0,,6,76,24.333333333333332,1,23,23.0
16,1.0,0.0,,9,30,15.777777777777779,2,25,15.0
4,0.0,0.0,,12,19,11.666666666666666,0,0,0.0
25,0.0,0.0,,6,22,13.666666666666666,2,18,16.5
16,1.0,0.0,,4,84,30.25,1,16,16.0
6,0.0,0.0,,8,37,18.875,1,16,16.0
4,0.0,0.0,,13,26,12.923076923076923,0,0,0.0
23,0.0,0.0,,7,42,21.428571428571427,1,47,47.0
19,1.0,0.0,,6,22,15.833333333333334,1,86,86.0
21,1.0,0.0,,13,28,12.846153846153847,0,0,0.0
23,0.0,0.0,,5,25,13.4,0,0,0.0
26,0.0,0.0,,7,99,30.714285714285715,1,28,28.0
13,1.0,0.0,,2,123,109.5,0,0,0.0
21,0.0,0.0,,3,123,64.33333333333333,1,21,21.0
11,0.0,0.0,,1,163,163.0,0,0,0.0
8,1.0,0.0,,8,65,27.125,0,0,0.0
2,0.0,0.0,,9,31,15.88888888888889,1,48,48.0
9,0.0,0.0,,5,50,38.0,1,22,22.0
2,1.0,0.0,,2,62,37.0,1,23,23.0
19,0.0,0.0,,8,39,18.875,1,79,79.0
17,1.0,0.0,,9,26,13.777777777777779,1,46,46.0
1,1.0,0.0,,8,39,13.625,1,99,99.0
23,0.0,0.0,,10,31,12.9,0,0,0.0
24,0.0,0.0,,4,101,48.5,2,34,20.0
23,0.0,0.0,,5,56,24.2,0,0,0.0
1,1.0,0.0,,10,47,15.6,1,14,14.0
24,1.0,0.0,,11,35,16.636363636363637,0,0,0.0
23,0.0,0.0,,8,28,13.125,0,0,0.0
12,1.0,0.0,,6,56,36.333333333333336,1,15,15.0
8,1.0,0.0,,10,30,12.6,0,0,0.0
4,0.0,0.0,,11,19,12.090909090909092,0,0,0.0
16,1.0,0.0,,5,38,20.6,1,106,106.0
8,1.0,0.0,,12,18,11.333333333333334,1,19,19.0
4,0.0,0.0,,11,14,10.272727272727273,0,0,0.0
9,1.0,0.0,,10,45,19.0,1,16,16.0
14,0.0,0.0,,7,38,19.857142857142858,1,122,122.0
19,0.0,0.0,,7,15,11.428571428571429,1,18,18.0
22,0.0,0.0,,9,53,18.88888888888889,1,38,38.0
8,1.0,0.0,,6,69,29.0,0,0,0.0
24,0.0,0.0,,10,42,17.0,0,0,0.0
25,0.0,0.0,,10,31,14.2,1,138,138.0
9,1.0,0.0,,9,45,21.0,1,15,15.0
24,1.0,0.0,,9,34,17.22222222222222,0,0,0.0
2,0.0,0.0,,10,22,10.2,1,27,27.0
24,1.0,0.0,,9,46,21.88888888888889,1,27,27.0
4,0.0,0.0,,12,19,11.666666666666666,0,0,0.0
6,0.0,0.0,,10,37,16.7,0,0,0.0
4,0.0,0.0,,3,83,52.666666666666664,0,0,0.0
17,1.0,0.0,,5,49,34.2,1,15,15.0
23,0.0,0.0,,2,83,62.5,0,0,0.0
1,1.0,0.0,,11,30,13.181818181818182,1,11,11.0
9,0.0,0.0,,5,50,36.8,1,22,22.0
18,1.0,0.0,,9,32,13.88888888888889,1,5,5.0
16,1.0,0.0,,9,44,21.444444444444443,1,5,5.0
12,0.0,0.0,,12,32,16.166666666666668,0,0,0.0
17,1.0,0.0,,10,67,19.7,0,0,0.0
3,1.0,0.0,,6,45,34.333333333333336,1,13,13.0
16,0.0,0.0,,6,28,14.166666666666666,1,38,38.0
22,0.0,0.0,,9,40,23.333333333333332,0,0,0.0
24,1.0,0.0,,11,41,17.636363636363637,1,27,27.0
6,0.0,0.0,,9,43,19.555555555555557,1,18,18.0
6,0.0,0.0,,8,40,19.25,1,16,16.0
10,1.0,0.0,,7,45,26.571428571428573,1,20,20.0
23,0.0,0.0,,7,25,17.0,1,47,47.0
8,1.0,0.0,,5,69,21.8,1,14,14.0
17,1.0,0.0,,6,44,28.5,0,0,0.0
17,1.0,0.0,,10,48,16.7,0,0,0.0
21,1.0,0.0,,13,30,12.384615384615385,0,0,0.0
14,0.0,0.0,,9,27,18.22222222222222,1,21,21.0
2,0.0,0.0,,9,80,19.333333333333332,1,50,50.0
12,0.0,0.0,,8,66,26.125,0,0,0.0
7,0.0,0.0,,4,82,47.75,1,21,21.0
23,0.0,0.0,,8,28,17.5,1,35,35.0
23,0.0,0.0,,6,13,9.333333333333334,0,0,0.0
22,0.0,0.0,,8,40,22.125,0,0,0.0
2,1.0,0.0,,5,85,41.6,0,0,0.0
18,1.0,0.0,,5,41,26.8,1,9,9.0
3,0.0,0.0,,10,32,15.3,0,0,0.0
14,0.0,0.0,,5,60,36.6,1,30,30.0
19,1.0,0.0,,8,27,15.75,0,0,0.0
25,0.0,0.0,,11,38,13.818181818181818,1,17,17.0
14,0.0,0.0,,5,92,41.4,0,0,0.0
21,0.0,0.0,,4,127,46.25,0,0,0.0
7,1.0,0.0,,4,66,37.0,1,89,89.0
4,0.0,0.0,,10,20,11.1,0,0,0.0
19,1.0,0.0,,8,34,16.25,1,16,16.0
14,0.0,0.0,,4,88,45.5,1,17,17.0
2,0.0,0.0,,8,42,19.625,1,70,70.0
14,0.0,0.0,,5,94,43.0,0,0,0.0
3,0.0,0.0,,11,37,17.454545454545453,1,11,11.0
4,0.0,0.0,,11,19,11.909090909090908,0,0,0.0
21,1.0,0.0,,7,34,18.857142857142858,0,0,0.0
5,0.0,0.0,,7,70,28.142857142857142,1,13,13.0
8,1.0,0.0,,10,16,10.7,0,0,0.0
24,1.0,0.0,,9,35,18.333333333333332,0,0,0.0
21,1.0,0.0,,13,29,10.538461538461538,0,0,0.0
24,1.0,0.0,,8,35,19.75,0,0,0.0
6,0.0,0.0,,6,41,28.5,1,14,14.0
26,0.0,0.0,,8,27,14.25,0,0,0.0
7,0.0,0.0,,6,51,32.666666666666664,0,0,0.0
4,0.0,0.0,,4,32,19.0,1,88,88.0
23,0.0,0.0,,8,47,24.375,1,42,42.0
18,1.0,0.0,,13,26,10.538461538461538,1,8,8.0
6,0.0,0.0,,9,37,19.11111111111111,1,16,16.0
4,0.0,0.0,,7,20,11.714285714285714,0,0,0.0
12,1.0,0.0,,11,23,13.363636363636363,1,39,39.0
2,1.0,0.0,,8,60,19.5,1,23,23.0
13,1.0,0.0,,9,36,17.444444444444443,1,31,31.0
17,1.0,0.0,,5,32,20.0,0,0,0.0
14,0.0,0.0,,4,56,33.75,1,17,17.0
18,1.0,0.0,,7,18,11.142857142857142,1,5,5.0
14,0.0,0.0,,5,98,33.4,1,20,20.0
7,0.0,0.0,,4,87,51.5,0,0,0.0
