participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt,blink_cnt,peak_blink_duration,avg_blink_duration
15,0.0,1.0,0.5,6,39,26.0,0,0,0.0
25,0.0,1.0,0.5,5,40,30.6,0,0,0.0
3,0.0,1.0,0.5,8,40,22.5,1,1,1.0
4,1.0,1.0,1.0,5,56,23.8,0,0,0.0
24,1.0,1.0,1.0,7,32,19.428571428571427,0,0,0.0
4,0.0,1.0,0.5,6,20,11.833333333333334,0,0,0.0
17,1.0,1.0,0.5,9,35,17.22222222222222,0,0,0.0
19,1.0,1.0,1.0,6,95,31.0,0,0,0.0
6,1.0,1.0,0.5,8,42,24.375,0,0,0.0
26,1.0,1.0,1.0,9,21,11.222222222222221,0,0,0.0
18,1.0,1.0,0.5,9,33,14.777777777777779,0,0,0.0
23,1.0,1.0,1.0,6,18,13.0,0,0,0.0
16,1.0,1.0,0.5,7,31,21.428571428571427,0,0,0.0
22,1.0,1.0,1.0,5,96,43.6,1,32,32.0
26,1.0,1.0,1.0,2,74,48.0,0,0,0.0
5,1.0,1.0,0.5,10,55,19.9,1,67,67.0
10,1.0,1.0,1.0,9,28,17.333333333333332,1,28,28.0
13,1.0,1.0,1.0,7,50,20.142857142857142,1,10,10.0
22,1.0,1.0,1.0,9,55,22.0,1,30,30.0
24,0.0,1.0,0.5,9,36,20.333333333333332,1,26,26.0
16,1.0,1.0,1.0,13,45,12.846153846153847,0,0,0.0
2,0.0,1.0,0.5,7,50,27.428571428571427,1,21,21.0
23,1.0,1.0,1.0,5,45,21.4,1,47,47.0
9,0.0,1.0,0.5,14,29,12.571428571428571,1,17,17.0
6,1.0,1.0,1.0,9,31,14.11111111111111,1,19,19.0
19,1.0,1.0,1.0,5,74,33.8,1,67,67.0
23,0.0,1.0,0.5,4,31,19.0,0,0,0.0
1,1.0,1.0,0.5,6,56,20.5,1,14,14.0
23,0.0,1.0,0.5,10,32,18.0,0,0,0.0
17,1.0,1.0,1.0,10,23,10.6,0,0,0.0
21,1.0,1.0,1.0,7,38,23.428571428571427,1,15,15.0
17,1.0,1.0,1.0,9,76,23.0,0,0,0.0
16,1.0,1.0,1.0,7,24,16.714285714285715,1,25,25.0
14,1.0,1.0,1.0,6,111,34.5,1,26,26.0
24,0.0,1.0,0.5,11,45,17.09090909090909,0,0,0.0
19,1.0,1.0,1.0,7,30,12.857142857142858,1,18,18.0
25,1.0,1.0,1.0,9,39,20.444444444444443,1,43,43.0
19,1.0,1.0,1.0,4,85,48.75,0,0,0.0
22,1.0,1.0,0.0,10,39,19.8,1,26,26.0
21,1.0,1.0,0.5,5,30,19.8,1,27,27.0
5,1.0,1.0,1.0,7,61,24.714285714285715,1,20,20.0
19,1.0,1.0,1.0,4,116,35.5,0,0,0.0
22,1.0,1.0,1.0,8,26,14.375,1,25,25.0
5,1.0,1.0,0.5,13,25,13.153846153846153,0,0,0.0
19,1.0,1.0,1.0,3,123,65.33333333333333,0,0,0.0
24,1.0,1.0,1.0,7,53,28.142857142857142,0,0,0.0
12,0.0,1.0,0.5,16,24,10.3125,0,0,0.0
4,0.0,1.0,0.5,4,36,25.0,0,0,0.0
9,1.0,1.0,1.0,7,69,29.0,1,20,20.0
6,1.0,1.0,0.5,5,66,37.0,1,25,25.0
22,0.0,1.0,0.0,6,30,16.333333333333332,1,21,21.0
9,1.0,1.0,0.5,10,32,15.0,2,21,14.5
6,0.0,1.0,0.0,8,16,10.0,2,17,11.0
5,0.0,1.0,0.5,4,123,45.25,1,20,20.0
14,0.0,1.0,0.0,11,23,13.636363636363637,2,43,26.0
19,0.0,1.0,0.5,8,22,11.125,1,15,15.0
2,0.0,1.0,0.0,7,30,13.0,1,90,90.0
24,0.0,1.0,0.5,6,48,31.0,0,0,0.0
6,1.0,1.0,0.0,5,56,39.0,2,22,21.5
17,0.0,1.0,0.0,7,45,25.714285714285715,0,0,0.0
13,1.0,1.0,1.0,6,37,15.333333333333334,1,10,10.0
14,0.0,1.0,0.5,9,43,16.333333333333332,1,11,11.0
24,0.0,1.0,0.5,15,30,12.6,0,0,0.0
24,0.0,1.0,0.5,7,77,32.0,0,0,0.0
2,1.0,1.0,0.0,13,24,14.307692307692308,1,95,95.0
7,1.0,1.0,1.0,2,168,98.5,1,24,24.0
23,1.0,1.0,0.0,5,33,18.8,1,56,56.0
24,0.0,1.0,0.5,9,45,21.11111111111111,0,0,0.0
18,1.0,1.0,1.0,5,58,34.6,0,0,0.0
16,0.0,1.0,0.5,13,27,14.538461538461538,0,0,0.0
26,1.0,1.0,1.0,13,22,10.384615384615385,0,0,0.0
21,0.0,1.0,0.5,4,39,25.25,1,35,35.0
7,1.0,1.0,0.5,3,127,61.333333333333336,1,20,20.0
18,1.0,1.0,1.0,3,93,68.0,0,0,0.0
4,0.0,1.0,0.5,6,29,13.166666666666666,0,0,0.0
9,1.0,1.0,1.0,8,44,21.5,1,20,20.0
19,1.0,1.0,1.0,5,93,41.4,1,20,20.0
6,1.0,1.0,0.0,7,41,23.0,1,22,22.0
6,1.0,1.0,1.0,8,84,24.875,1,22,22.0
14,0.0,1.0,0.0,6,39,14.333333333333334,1,197,197.0
17,1.0,1.0,0.5,5,91,39.8,0,0,0.0
3,1.0,1.0,0.5,14,22,11.785714285714286,1,16,16.0
26,1.0,1.0,0.5,5,50,37.4,0,0,0.0
1,0.0,1.0,0.0,3,104,63.0,0,0,0.0
25,1.0,1.0,1.0,6,55,34.0,0,0,0.0
24,0.0,1.0,0.5,9,56,18.444444444444443,0,0,0.0
23,1.0,1.0,0.5,8,43,16.125,1,62,62.0
22,1.0,1.0,1.0,10,26,14.2,1,29,29.0
4,0.0,1.0,0.5,11,25,13.272727272727273,0,0,0.0
18,1.0,1.0,1.0,5,46,20.8,0,0,0.0
9,1.0,1.0,1.0,9,39,19.22222222222222,1,18,18.0
24,0.0,1.0,0.5,11,36,17.0,0,0,0.0
24,1.0,1.0,1.0,5,81,39.2,0,0,0.0
17,0.0,1.0,0.5,14,33,13.642857142857142,0,0,0.0
22,1.0,1.0,1.0,10,39,16.2,1,31,31.0
18,0.0,1.0,0.0,4,15,11.5,0,0,0.0
24,1.0,1.0,0.5,7,28,16.285714285714285,0,0,0.0
6,0.0,1.0,0.0,4,122,49.25,1,17,17.0
6,0.0,1.0,0.5,6,48,29.333333333333332,0,0,0.0
9,1.0,1.0,1.0,8,43,22.375,1,60,60.0
9,1.0,1.0,0.5,4,53,31.25,1,21,21.0
2,1.0,1.0,0.5,13,25,12.153846153846153,1,25,25.0
21,1.0,1.0,1.0,7,41,20.285714285714285,0,0,0.0
23,0.0,1.0,0.5,10,31,15.2,1,69,69.0
7,1.0,1.0,1.0,7,53,27.142857142857142,0,0,0.0
23,1.0,1.0,0.5,4,46,38.0,0,0,0.0
23,0.0,1.0,0.0,8,43,22.875,1,51,51.0
16,1.0,1.0,1.0,11,81,17.818181818181817,1,7,7.0
24,1.0,1.0,0.5,5,58,36.6,0,0,0.0
2,0.0,1.0,0.0,4,100,43.5,1,61,61.0
17,0.0,1.0,0.5,8,52,21.75,0,0,0.0
23,1.0,1.0,1.0,9,31,12.222222222222221,1,52,52.0
14,0.0,1.0,0.5,5,78,37.0,1,48,48.0
24,0.0,1.0,0.5,13,36,15.076923076923077,0,0,0.0
24,0.0,1.0,0.5,4,55,41.0,0,0,0.0
13,1.0,1.0,1.0,5,38,19.0,1,86,86.0
4,1.0,1.0,1.0,7,39,22.142857142857142,1,28,28.0
15,1.0,1.0,0.5,8,47,23.25,1,133,133.0
3,0.0,1.0,0.5,8,61,22.375,1,15,15.0
15,0.0,1.0,0.5,12,39,14.333333333333334,1,32,32.0
16,1.0,1.0,1.0,7,41,29.0,1,8,8.0
11,1.0,1.0,1.0,10,35,17.3,0,0,0.0
24,1.0,1.0,1.0,9,56,23.11111111111111,0,0,0.0
25,1.0,1.0,1.0,6,50,25.666666666666668,1,43,43.0
7,1.0,1.0,1.0,2,147,95.0,1,26,26.0
7,1.0,1.0,1.0,2,157,105.0,1,21,21.0
11,1.0,1.0,1.0,6,15,8.833333333333334,1,16,16.0
8,1.0,1.0,1.0,9,58,18.0,0,0,0.0
21,1.0,1.0,0.0,8,40,18.25,0,0,0.0
26,1.0,1.0,1.0,11,29,11.636363636363637,0,0,0.0
4,0.0,1.0,0.5,11,22,10.454545454545455,0,0,0.0
19,1.0,1.0,1.0,6,126,32.333333333333336,0,0,0.0
4,0.0,1.0,0.5,9,25,13.333333333333334,0,0,0.0
3,0.0,1.0,0.5,12,49,15.5,0,0,0.0
23,1.0,1.0,1.0,7,27,19.571428571428573,0,0,0.0
23,1.0,1.0,1.0,7,58,21.142857142857142,0,0,0.0
5,1.0,1.0,0.5,4,60,47.75,0,0,0.0
24,0.0,1.0,0.5,8,47,24.25,0,0,0.0
5,1.0,1.0,1.0,6,60,29.5,1,11,11.0
7,1.0,1.0,1.0,2,129,96.5,1,19,19.0
17,1.0,1.0,1.0,8,47,20.0,1,15,15.0
5,1.0,1.0,0.5,7,56,25.571428571428573,1,16,16.0
4,1.0,1.0,0.5,10,28,15.4,0,0,0.0
25,1.0,1.0,1.0,7,29,13.285714285714286,0,0,0.0
3,0.0,1.0,0.5,9,32,17.555555555555557,1,13,13.0
1,1.0,1.0,1.0,3,29,19.0,0,0,0.0
3,0.0,1.0,0.5,10,45,19.3,0,0,0.0
8,1.0,1.0,1.0,9,42,19.11111111111111,0,0,0.0
5,1.0,1.0,0.5,7,58,27.857142857142858,1,13,13.0
18,0.0,1.0,0.5,9,13,9.666666666666666,0,0,0.0
6,0.0,1.0,0.0,2,120,89.5,1,100,100.0
24,0.0,1.0,0.5,4,21,12.0,1,3,3.0
9,0.0,1.0,0.0,7,36,22.0,1,14,14.0
13,0.0,1.0,0.5,3,58,41.333333333333336,1,18,18.0
14,1.0,1.0,1.0,1,212,212.0,0,0,0.0
1,1.0,1.0,1.0,5,49,24.8,1,12,12.0
7,1.0,1.0,1.0,3,81,61.333333333333336,1,28,28.0
8,1.0,1.0,0.5,12,31,13.166666666666666,0,0,0.0
24,0.0,1.0,0.5,6,41,22.5,1,17,17.0
13,0.0,1.0,0.0,8,38,15.875,1,111,111.0
4,0.0,1.0,0.5,9,24,16.333333333333332,0,0,0.0
9,0.0,1.0,0.5,11,31,17.272727272727273,1,20,20.0
22,1.0,1.0,0.5,8,44,20.125,1,22,22.0
18,1.0,1.0,1.0,6,76,33.5,0,0,0.0
8,1.0,1.0,0.0,7,21,12.714285714285714,0,0,0.0
24,0.0,1.0,0.5,7,18,10.428571428571429,1,30,30.0
1,1.0,1.0,1.0,5,48,26.2,0,0,0.0
21,1.0,1.0,0.5,6,27,15.166666666666666,0,0,0.0
12,0.0,1.0,0.5,15,21,11.933333333333334,0,0,0.0
19,1.0,1.0,1.0,3,116,72.66666666666667,0,0,0.0
15,0.0,1.0,0.5,7,34,13.857142857142858,1,12,12.0
9,0.0,1.0,0.0,13,23,13.307692307692308,0,0,0.0
7,0.0,1.0,0.5,1,74,74.0,1,23,23.0
23,1.0,1.0,1.0,4,17,13.25,0,0,0.0
16,1.0,1.0,0.0,12,27,12.583333333333334,0,0,0.0
