Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Identifier	Event value	Event message
1701729053932	t	attic_testcue_childrensroom_right	0.0	1	0	3.7258	880.992	936.8000000000001	1.0	3.9595	837.504	1096.96	1.0	-0.0141	0.0942	0.9955	-31.855	-2.8662	-30.6747	0.0	6	0.0	0.0		5637	100	MYKEYWORD 100
1701729053941	t	attic_testcue_childrensroom_right	0.0	1	0	3.6444	880.5600000000001	936.8000000000001	1.0	3.9485	836.7839999999999	1096.96	1.0	-0.0122	0.0934	0.9955	-32.6524	-2.9067	-30.6502	0.0	6	0.0	0.0		5637	0	0
1701729053949	t	attic_testcue_childrensroom_right	0.0	1	0	3.5896	892.224	936.8000000000001	1.0	3.7517	844.992	1098.8799999999999	1.0	-0.0226	0.0994	0.9948	-32.7992	-2.9984	-30.5806	0.0	6	0.0	0.0		5637	0	0
1701729053957	t	attic_testcue_childrensroom_right	0.0	1	0	3.6714	931.8240000000001	950.24	1.0	4.0197	873.648	1116.6399999999999	1.0	-0.0927	0.0623	0.9937	27.5872	-0.7244	-29.6418	0.0	6	0.0	0.0		5637	0	0
1701729053966	t	attic_testcue_childrensroom_right	0.0	1	0	3.7423	979.92	962.4000000000001	1.0	4.0175	912.528	1130.0800000000002	1.0	-0.1887	0.0506	0.9807	27.6707	-0.9861	-29.126	0.0	6	0.0	0.0		5637	0	0
1701729053974	t	attic_testcue_childrensroom_right	0.0	1	0	3.806	1022.976	972.64	1.0	3.9851	951.5520000000001	1153.1200000000001	1.0	-0.2615	0.0266	0.9648	27.2312	-0.7848	-29.9803	0.0	6	0.0	0.0		5637	0	0
1701729053982	t	attic_testcue_childrensroom_right	0.0	1	0	3.8291	1063.152	989.6000000000001	1.0	3.9809	985.968	1175.2	1.0	-0.3355	-0.0083	0.942	26.7991	-0.8583	-30.0957	0.0	6	0.0	0.0		5637	0	0
1701729053990	t	attic_testcue_childrensroom_right	0.0	1	0	3.9115	1100.16	1001.6	1.0	4.0083	1018.2239999999999	1187.6799999999998	1.0	-0.4064	-0.024	0.9134	22.6084	-1.1017	-30.2231	0.0	6	0.0	0.0		5637	0	0
1701729053999	t	attic_testcue_childrensroom_right	0.0	1	0	3.9023	1126.368	1013.7600000000001	1.0	4.2002	1044.72	1206.56	1.0	-0.4427	-0.0348	0.896	-23.2735	-3.4878	-30.3255	0.0	6	0.0	0.0		5637	0	0
1701729054007	t	attic_testcue_childrensroom_right	0.0	1	0	4.0392	1143.072	1023.5200000000001	1.0	4.1545	1066.176	1220.0	1.0	-0.4757	-0.0476	0.8783	-21.7092	-3.4721	-30.4405	0.0	6	0.0	0.0		5637	0	0
