participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt,blink_cnt,peak_blink_duration,avg_blink_duration,microsaccade_count,avg_microsaccade_duration,avg_microsaccade_vel,avg_microsaccade_amp
18,1.0,0.0,,3,57,28.666666666666668,0,0,0.0,0,0.0,0.0,0.0
23,0.0,0.0,,3,56,28.333333333333332,0,0,0.0,0,0.0,0.0,0.0
19,1.0,0.0,,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0
7,1.0,0.0,,2,61,44.0,0,0,0.0,0,0.0,0.0,0.0
3,1.0,0.0,,2,45,39.5,0,0,0.0,0,0.0,0.0,0.0
13,1.0,0.0,,4,22,13.5,1,16,16.0,0,0.0,0.0,0.0
18,1.0,0.0,,4,7,7.0,1,38,38.0,0,0.0,0.0,0.0
9,1.0,0.0,,6,14,10.0,0,0,0.0,2,8.0,3.4416713884913595,15.930884439961034
19,0.0,0.0,,5,21,15.8,0,0,0.0,0,0.0,0.0,0.0
1,1.0,0.0,,5,36,19.8,0,0,0.0,1,8.0,6.897591146580416,17.651311617965664
24,1.0,0.0,,6,28,17.166666666666668,0,0,0.0,0,0.0,0.0,0.0
14,0.0,0.0,,1,22,22.0,1,21,21.0,0,0.0,0.0,0.0
22,0.0,0.0,,4,14,9.5,1,16,16.0,0,0.0,0.0,0.0
26,0.0,0.0,,4,16,11.25,0,0,0.0,0,0.0,0.0,0.0
16,1.0,0.0,,2,25,19.0,0,0,0.0,0,0.0,0.0,0.0
22,0.0,0.0,,1,73,73.0,0,0,0.0,0,0.0,0.0,0.0
3,1.0,0.0,,7,17,11.285714285714286,0,0,0.0,1,9.0,2.8992476959414386,19.08318874461412
12,1.0,0.0,,2,26,24.5,1,39,39.0,0,0.0,0.0,0.0
5,0.0,0.0,,5,27,20.2,0,0,0.0,0,0.0,0.0,0.0
9,0.0,0.0,,3,22,14.666666666666666,0,0,0.0,0,0.0,0.0,0.0
21,1.0,0.0,,4,44,24.75,0,0,0.0,0,0.0,0.0,0.0
5,0.0,0.0,,6,28,16.0,0,0,0.0,0,0.0,0.0,0.0
7,0.0,0.0,,2,46,30.0,0,0,0.0,1,9.5,3.5334913694876717,14.06372727755522
24,0.0,0.0,,4,17,10.25,1,27,27.0,0,0.0,0.0,0.0
12,1.0,0.0,,7,20,14.428571428571429,0,0,0.0,0,0.0,0.0,0.0
3,1.0,0.0,,4,27,22.25,0,0,0.0,0,0.0,0.0,0.0
15,0.0,0.0,,5,31,15.8,1,28,28.0,0,0.0,0.0,0.0
12,1.0,0.0,,9,20,11.333333333333334,1,6,6.0,0,0.0,0.0,0.0
26,0.0,0.0,,6,23,14.333333333333334,1,29,29.0,0,0.0,0.0,0.0
18,1.0,0.0,,5,32,18.6,0,0,0.0,0,0.0,0.0,0.0
15,0.0,0.0,,2,27,17.0,0,0,0.0,0,0.0,0.0,0.0
25,0.0,0.0,,3,38,23.0,1,23,23.0,0,0.0,0.0,0.0
14,0.0,0.0,,1,17,17.0,0,0,0.0,0,0.0,0.0,0.0
7,1.0,0.0,,3,51,25.0,1,22,22.0,0,0.0,0.0,0.0
9,0.0,0.0,,6,26,14.666666666666666,0,0,0.0,0,0.0,0.0,0.0
18,1.0,0.0,,1,33,33.0,0,0,0.0,0,0.0,0.0,0.0
