participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt,blink_cnt,peak_blink_duration,avg_blink_duration,microsaccade_count,avg_microsaccade_duration,avg_microsaccade_vel,avg_microsaccade_amp
15,0.0,1.0,0.5,7,39,18.857142857142858,0,0,0.0,0,0.0,0.0,0.0
25,0.0,1.0,0.5,5,81,39.0,0,0,0.0,0,0.0,0.0,0.0
3,0.0,1.0,0.5,8,40,19.375,1,16,16.0,0,0.0,0.0,0.0
4,1.0,1.0,1.0,7,35,12.571428571428571,0,0,0.0,0,0.0,0.0,0.0
24,1.0,1.0,1.0,8,26,13.5,0,0,0.0,0,0.0,0.0,0.0
4,0.0,1.0,0.5,11,12,8.727272727272727,0,0,0.0,1,8.0,3.1259571170415614,19.44690324457715
17,1.0,1.0,0.5,9,35,18.22222222222222,0,0,0.0,0,0.0,0.0,0.0
19,1.0,1.0,1.0,9,72,20.88888888888889,0,0,0.0,0,0.0,0.0,0.0
6,1.0,1.0,0.5,7,43,27.428571428571427,0,0,0.0,1,9.0,1.957910799884133,13.509036620818659
26,1.0,1.0,1.0,9,21,14.777777777777779,0,0,0.0,1,10.0,3.4301595774440505,21.577477384796133
18,1.0,1.0,0.5,9,32,16.22222222222222,0,0,0.0,1,8.0,3.1472864971168666,18.11620673981796
23,1.0,1.0,1.0,6,15,11.0,0,0,0.0,0,0.0,0.0,0.0
16,1.0,1.0,0.5,4,31,26.0,0,0,0.0,0,0.0,0.0,0.0
18,1.0,1.0,0.5,9,26,12.0,1,98,98.0,0,0.0,0.0,0.0
26,1.0,1.0,1.0,3,45,29.666666666666668,0,0,0.0,0,0.0,0.0,0.0
10,1.0,1.0,1.0,9,28,17.0,1,18,18.0,2,7.75,3.344945449993785,16.468283516943217
13,1.0,1.0,1.0,8,32,15.875,1,106,106.0,0,0.0,0.0,0.0
22,1.0,1.0,1.0,12,56,16.833333333333332,0,0,0.0,3,9.5,2.994092776514035,19.69118083580329
