Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Identifier	Event value	Event message
1701981000717	t	playground_test_cue_junkyard_right	0.0	3	0	4.1693	722.16	956.48	1.0	3.9471	726.768	1066.08	1.0	-0.0843	0.0594	0.9947	34.1329	0.543	-34.3907	0.0	19	1.0	0.0		1581	100	MYKEYWORD 100
1701981000726	t	playground_test_cue_junkyard_right	0.0	3	0	4.1842	711.072	957.76	1.0	4.0506	720.864	1067.2	1.0	-0.0614	0.0556	0.9966	34.2366	0.4991	-34.2616	0.0	19	1.0	0.0		1581	0	0
1701981000734	t	playground_test_cue_junkyard_right	0.0	3	0	4.0408	700.416	956.32	1.0	4.0939	709.92	1065.28	1.0	-0.0428	0.0533	0.9977	34.3634	0.5645	-34.3951	0.0	19	1.0	0.0		1581	0	0
1701981000742	t	playground_test_cue_junkyard_right	0.0	3	0	4.1618	692.0640000000001	956.48	1.0	4.1263	703.008	1066.56	1.0	-0.0296	0.0437	0.9986	34.4585	0.6103	-34.3864	0.0	19	1.0	0.0		1581	0	0
1701981000751	t	playground_test_cue_junkyard_right	0.0	3	0	4.1144	699.12	955.1999999999999	1.0	4.1162	710.496	1068.64	1.0	-0.0413	0.0444	0.9982	34.3777	0.6147	-34.3389	0.0	19	1.0	0.0		1581	0	0
1701981000759	t	playground_test_cue_junkyard_right	0.0	3	0	4.082	724.608	956.32	1.0	4.1802	736.1279999999999	1075.2	1.0	-0.0975	0.0262	0.9949	34.1592	0.9035	-35.0923	0.0	19	1.0	0.0		1581	0	0
1701981000767	t	playground_test_cue_junkyard_right	0.0	3	0	4.136	747.504	954.72	1.0	4.1992	762.4799999999999	1080.8	1.0	-0.14	0.0487	0.9889	33.9023	0.5961	-34.2705	0.0	19	1.0	0.0		1581	0	0
1701981000776	t	playground_test_cue_junkyard_right	0.0	3	0	4.078	766.08	959.52	1.0	4.2286	780.0479999999999	1085.6	1.0	-0.165	0.0429	0.9854	33.6575	0.4531	-33.9502	0.0	19	1.0	0.0		1581	0	0
1701981000784	t	playground_test_cue_junkyard_right	0.0	3	0	4.3171	788.8319999999999	968.4799999999999	1.0	4.2819	793.1519999999999	1095.84	1.0	-0.2213	0.0211	0.975	33.474	0.4362	-33.9962	0.0	19	1.0	0.0		1581	0	0
1701981000792	t	playground_test_cue_junkyard_right	0.0	3	0	4.5511	807.264	974.56	1.0	4.32	810.4319999999999	1107.04	1.0	-0.2652	0.0145	0.9641	33.3093	0.4134	-34.1018	0.0	19	1.0	0.0		1581	0	0
1701981000800	t	playground_test_cue_junkyard_right	0.0	3	0	4.4799	822.528	986.4000000000001	1.0	4.3511	823.2479999999999	1114.24	1.0	-0.2917	-0.027	0.9561	33.1603	0.5102	-34.4401	0.0	19	1.0	0.0		1581	0	0
1701981000809	t	playground_test_cue_junkyard_right	0.0	3	0	4.4967	833.328	988.64	1.0	4.2539	837.072	1122.72	1.0	-0.3124	-0.0282	0.9495	33.0539	0.4783	-34.4121	0.0	19	1.0	0.0		1581	0	0
1701981000817	t	playground_test_cue_junkyard_right	0.0	3	0	4.4831	839.9520000000001	988.9599999999999	1.0	4.308	839.088	1121.6	1.0	-0.3323	-0.0248	0.9429	33.0257	0.4678	-34.4263	0.0	19	1.0	0.0		1581	0	0
1701981000825	t	playground_test_cue_junkyard_right	0.0	3	0	4.5031	825.984	988.1600000000001	1.0	4.3721	828.432	1117.76	1.0	-0.3028	-0.0266	0.9527	33.1483	0.4611	-34.3693	0.0	19	1.0	0.0		1581	0	0
1701981000834	t	playground_test_cue_junkyard_right	0.0	3	0	4.472	816.3359999999999	984.3199999999999	1.0	4.3879	825.2640000000001	1116.48	1.0	-0.2802	-0.0199	0.9597	33.2156	0.4768	-34.3342	0.0	19	1.0	0.0		1581	0	0
1701981000842	t	playground_test_cue_junkyard_right	0.0	3	0	4.5218	812.16	983.36	1.0	4.3555	820.3679999999999	1116.8	1.0	-0.2947	-0.0504	0.9543	-28.1868	-1.2959	-33.9377	0.0	19	1.0	0.0		1581	0	0
1701981000850	t	playground_test_cue_junkyard_right	0.0	3	0	4.4593	807.5519999999999	981.1199999999999	1.0	4.4087	815.76	1110.72	1.0	-0.2835	-0.0339	0.9584	-30.3584	-1.3488	-33.9129	0.0	19	1.0	0.0		1581	0	0
1701981000859	t	playground_test_cue_junkyard_right	0.0	3	0	4.408	798.048	982.56	1.0	4.3647	810.288	1110.24	1.0	-0.266	-0.0355	0.9633	-25.5795	-1.2081	-33.922	0.0	19	1.0	0.0		1581	0	0
1701981000867	t	playground_test_cue_junkyard_right	0.0	3	0	4.5906	789.552	983.04	1.0	4.401	804.528	1109.28	1.0	-0.2524	-0.0355	0.967	-27.4752	-1.2685	-33.8622	0.0	19	1.0	0.0		1581	0	0
1701981000875	t	playground_test_cue_junkyard_right	0.0	3	0	4.4404	785.232	982.4	1.0	4.3427	797.184	1109.28	1.0	-0.2363	-0.0362	0.971	-22.9398	-1.1396	-33.8956	0.0	19	1.0	0.0		1581	0	0
1701981000884	t	playground_test_cue_junkyard_right	0.0	3	0	4.4363	778.3199999999999	982.7199999999999	1.0	4.4004	790.5600000000001	1105.92	1.0	-0.2219	-0.027	0.9747	-29.501	-1.3397	-33.8194	0.0	19	1.0	0.0		1581	0	0
1701981000892	t	playground_test_cue_junkyard_right	0.0	3	0	4.399	772.56	982.08	1.0	4.4263	786.384	1108.16	1.0	-0.2149	-0.0353	0.976	-31.4604	-1.3994	-33.8047	0.0	19	1.0	0.0		1581	0	0
1701981000900	t	playground_test_cue_junkyard_right	0.0	3	0	4.4893	766.224	978.5600000000001	1.0	4.4259	781.4879999999999	1108.16	1.0	-0.2041	-0.0349	0.9783	-32.0406	-1.4274	-33.7904	0.0	19	1.0	0.0		1581	0	0
1701981000909	t	playground_test_cue_junkyard_right	0.0	3	0	4.4056	762.192	977.12	1.0	4.4145	776.448	1106.8799999999999	1.0	-0.1875	-0.0278	0.9819	-31.9423	-1.4434	-33.7893	0.0	19	1.0	0.0		1581	0	0
