participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt
15,0.0,1.0,0.5,9,39,21.555555555555557
25,0.0,1.0,0.5,10,81,28.7
3,0.0,1.0,0.5,11,40,20.545454545454547
4,1.0,1.0,1.0,7,145,32.142857142857146
24,1.0,1.0,1.0,10,58,21.4
4,0.0,1.0,0.5,11,62,16.272727272727273
17,1.0,1.0,0.5,15,35,13.733333333333333
19,1.0,1.0,1.0,11,95,25.363636363636363
6,1.0,1.0,0.5,9,50,27.666666666666668
26,1.0,1.0,1.0,15,22,13.266666666666667
18,1.0,1.0,0.5,13,33,16.76923076923077
23,1.0,1.0,1.0,9,57,17.444444444444443
16,1.0,1.0,0.5,13,31,17.923076923076923
18,1.0,1.0,0.5,10,29,15.8
22,1.0,1.0,1.0,7,96,43.285714285714285
26,1.0,1.0,1.0,3,112,77.0
5,1.0,1.0,0.5,14,55,19.714285714285715
10,1.0,1.0,1.0,13,83,21.53846153846154
22,1.0,1.0,1.0,13,86,23.923076923076923
16,1.0,1.0,1.0,16,45,11.9375
2,0.0,1.0,0.5,11,50,24.90909090909091
23,1.0,1.0,1.0,5,100,39.4
9,0.0,1.0,0.5,17,29,13.823529411764707
6,1.0,1.0,1.0,13,52,17.384615384615383
19,1.0,1.0,1.0,9,74,29.444444444444443
23,0.0,1.0,0.5,10,32,15.4
1,1.0,1.0,0.5,9,56,17.555555555555557
23,0.0,1.0,0.5,15,33,16.533333333333335
14,1.0,1.0,1.0,6,96,34.0
17,1.0,1.0,1.0,15,23,11.2
21,1.0,1.0,1.0,13,38,18.0
17,1.0,1.0,1.0,12,130,26.25
16,1.0,1.0,1.0,13,24,13.692307692307692
14,1.0,1.0,1.0,9,127,34.333333333333336
24,0.0,1.0,0.5,14,57,21.642857142857142
19,1.0,1.0,1.0,14,30,12.214285714285714
25,1.0,1.0,1.0,12,42,25.083333333333332
25,1.0,1.0,1.0,8,80,35.25
19,1.0,1.0,1.0,8,85,35.375
21,1.0,1.0,0.5,9,38,23.11111111111111
5,1.0,1.0,1.0,11,108,25.181818181818183
19,1.0,1.0,1.0,8,85,27.875
22,1.0,1.0,1.0,16,26,12.3125
5,1.0,1.0,0.5,14,69,17.142857142857142
19,1.0,1.0,1.0,5,121,65.2
24,1.0,1.0,1.0,10,57,31.8
21,1.0,1.0,0.5,8,55,21.75
12,0.0,1.0,0.5,16,119,15.8125
4,0.0,1.0,0.5,10,36,18.8
9,1.0,1.0,1.0,13,69,24.307692307692307
6,1.0,1.0,0.5,7,67,35.57142857142857
22,0.0,1.0,0.0,8,113,35.875
9,1.0,1.0,0.5,12,90,18.916666666666668
6,0.0,1.0,0.0,13,37,14.23076923076923
5,0.0,1.0,0.5,7,142,39.57142857142857
14,0.0,1.0,0.0,16,35,12.75
19,0.0,1.0,0.5,11,32,11.545454545454545
24,0.0,1.0,0.5,9,48,35.55555555555556
6,1.0,1.0,0.0,7,56,40.142857142857146
24,0.0,1.0,0.5,19,30,14.105263157894736
24,0.0,1.0,0.5,11,77,30.181818181818183
2,1.0,1.0,0.0,18,28,15.055555555555555
7,1.0,1.0,1.0,3,168,105.66666666666667
23,1.0,1.0,0.0,10,42,17.0
24,0.0,1.0,0.5,13,45,20.923076923076923
18,1.0,1.0,1.0,6,117,56.166666666666664
16,0.0,1.0,0.5,18,27,15.88888888888889
26,1.0,1.0,1.0,16,22,10.0
21,0.0,1.0,0.5,7,52,30.857142857142858
7,1.0,1.0,0.5,6,127,50.833333333333336
18,1.0,1.0,1.0,6,93,56.0
4,0.0,1.0,0.5,8,29,12.0
9,1.0,1.0,1.0,10,62,26.0
19,1.0,1.0,1.0,7,93,38.57142857142857
6,1.0,1.0,0.0,14,52,18.071428571428573
6,1.0,1.0,1.0,12,84,25.583333333333332
14,0.0,1.0,0.0,9,56,21.666666666666668
17,1.0,1.0,0.5,6,90,47.333333333333336
3,1.0,1.0,0.5,17,32,14.176470588235293
26,1.0,1.0,0.5,11,56,29.181818181818183
1,0.0,1.0,0.0,4,104,68.0
25,1.0,1.0,1.0,8,55,34.625
24,0.0,1.0,0.5,13,54,19.23076923076923
23,1.0,1.0,0.5,11,43,16.818181818181817
22,1.0,1.0,1.0,12,63,20.166666666666668
