participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt,saccade_count,avg_saccade_duration,avg_saccade_peak_vel,avg_saccade_amplitude
9,0.0,0.0,,11,41,23.636363636363637,3,25.666666666666668,13.99945105860032,141.32404212526225
17,1.0,0.0,,8,49,32.875,3,26.666666666666668,22.92505792160257,101.13151521936827
19,1.0,0.0,,8,60,38.25,2,19.0,18.04750041430721,191.26723152302003
19,1.0,0.0,,6,209,44.666666666666664,2,39.5,21.585005659731976,229.62969753930582
17,1.0,0.0,,9,57,33.888888888888886,2,18.0,22.388963977163353,125.68873328986831
8,1.0,0.0,,11,65,22.181818181818183,2,43.5,22.620130728594205,246.2154437129755
14,0.0,0.0,,10,60,26.3,4,17.75,0.7707397715469215,8.424765031855621
23,0.0,0.0,,13,38,13.384615384615385,5,32.8,18.153059064245035,108.19528586750769
23,0.0,0.0,,12,65,17.666666666666668,6,20.833333333333332,20.417207261146967,132.97367038288806
16,0.0,0.0,,9,38,15.88888888888889,2,100.0,41.09086286293188,361.35679893989624
19,0.0,0.0,,15,39,15.266666666666667,3,35.0,14.504745353610232,119.73182869991273
24,0.0,0.0,,10,114,28.7,1,49.0,1.660039524521401,22.080568291961043
21,0.0,0.0,,7,127,40.857142857142854,3,17.333333333333332,20.48299247092834,166.14238320269945
3,0.0,0.0,,17,48,17.705882352941178,3,9.666666666666666,21.137857424253728,97.35397984654786
6,0.0,0.0,,11,41,21.272727272727273,3,36.0,13.120839372569256,177.57830485119607
3,0.0,0.0,,14,37,19.285714285714285,6,11.833333333333334,25.40624505893852,122.96262569027074
13,0.0,0.0,,6,98,53.333333333333336,1,18.0,7.309560414768631,124.26252705106563
16,0.0,0.0,,10,38,18.1,2,82.0,41.09086286293188,357.9457678512166
25,0.0,0.0,,17,38,13.823529411764707,3,31.666666666666668,17.533634796834523,185.34942815909707
19,0.0,0.0,,19,34,12.526315789473685,3,29.333333333333332,23.790321611465128,219.49934410719948
3,0.0,0.0,,11,37,21.0,7,14.714285714285714,5.973964715083044,35.42300427684675
13,0.0,0.0,,12,30,17.5,4,33.0,33.290665520944074,174.60368285930087
14,0.0,0.0,,8,119,40.75,2,8.5,15.615637559643238,61.90383793974907
18,1.0,0.0,,13,31,15.153846153846153,4,32.75,24.91411881200889,143.44286411544576
24,0.0,0.0,,10,114,32.4,1,8.0,36.96601015014625,236.22379611788568
7,0.0,0.0,,11,79,28.454545454545453,1,11.0,27.097767378896346,130.60347896256462
12,1.0,0.0,,14,47,19.642857142857142,5,11.8,14.557544522131929,77.96184349839338
4,0.0,0.0,,19,26,13.105263157894736,6,11.833333333333334,17.97100935532732,80.2627976456835
8,1.0,0.0,,11,65,22.181818181818183,2,43.5,22.620130728594205,248.711498168242
9,1.0,0.0,,12,99,22.833333333333332,5,12.4,20.5742274060923,84.96506303209813
15,1.0,0.0,,15,36,19.8,2,10.5,20.701720096641374,131.90473483109224
26,0.0,0.0,,14,67,18.357142857142858,3,24.333333333333332,27.02367690224077,117.4059000421314
16,1.0,0.0,,6,115,46.5,3,21.666666666666668,17.290494511352883,79.83633772268075
22,0.0,0.0,,15,45,20.133333333333333,3,10.0,10.248530263828824,75.33235324000928
26,0.0,0.0,,10,66,26.9,2,35.5,25.439251546946096,158.99055109648322
7,0.0,0.0,,8,73,37.375,1,33.0,5.797206202142647,11.66046440972894
24,1.0,0.0,,14,45,19.5,4,15.5,30.989626362408266,182.41136663475837
21,1.0,0.0,,16,29,12.8125,7,18.0,17.383952240507462,110.99927118009441
22,0.0,0.0,,7,59,42.0,2,25.5,8.934861249546787,43.934539379688154
21,1.0,0.0,,14,44,15.5,3,35.666666666666664,15.813259115286938,188.475457853275
5,0.0,0.0,,12,53,22.083333333333332,4,16.25,29.264379912329403,157.88680470787347
21,0.0,0.0,,7,84,42.714285714285715,3,13.666666666666666,15.134958130426547,123.09294908372432
24,0.0,0.0,,14,52,20.642857142857142,4,11.25,16.77391232743721,109.94018671490304
9,1.0,0.0,,17,30,13.882352941176471,7,13.857142857142858,20.048343554032527,99.38327909939646
22,0.0,0.0,,15,60,20.6,2,9.5,14.303092150683385,92.64233477325571
21,1.0,0.0,,19,29,12.631578947368421,6,14.166666666666666,16.663181314579216,108.2450361201067
24,0.0,0.0,,15,42,15.666666666666666,7,12.571428571428571,21.308473845559178,131.74635443884583
16,0.0,0.0,,12,37,15.666666666666666,7,21.714285714285715,18.061519135241806,139.36002815840095
