Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Identifier	Event value	Event message
1701974237123	t	music_studio_test_cue_loft_left	0.0	1	0	4.3919	783.792	852.0	1.0	3.9077	752.256	940.48	1.0	-0.0284	-0.148	0.9886	-1.2918	4.9519	-41.5157	0.0	17	1.0	0.0		3401	100	MYKEYWORD 100
1701974237131	t	music_studio_test_cue_loft_left	0.0	1	0	4.3921	783.792	852.0	0.9986	3.9076	752.112	940.48	0.9333	-0.0277	-0.1478	0.9886	-0.9396	4.9554	-41.5022	0.0	17	1.0	0.0		3401	0	0
1701974237139	t	music_studio_test_cue_loft_left	0.0	1	0	4.4027	784.0799999999999	851.8399999999999	0.9986	3.9076	752.112	940.48	0.9333	-0.0282	-0.1477	0.9886	-0.3892	4.9613	-41.4764	0.0	17	1.0	0.0		3401	0	0
1701974237148	t	music_studio_test_cue_loft_left	0.0	1	0	4.4028	784.0799999999999	851.68	1.0	3.9079	752.256	940.48	1.0	-0.0286	-0.1474	0.9886	0.0252	4.9669	-41.4601	0.0	17	1.0	0.0		3401	0	0
1701974237156	t	music_studio_test_cue_loft_left	0.0	1	0	4.4014	784.0799999999999	851.0400000000001	1.0	3.9111	752.256	940.64	1.0	-0.0283	-0.1465	0.9888	0.4155	4.9716	-41.4449	0.0	17	1.0	0.0		3401	0	0
1701974237164	t	music_studio_test_cue_loft_left	0.0	1	0	4.4015	783.792	851.0400000000001	1.0	3.9183	752.544	940.48	1.0	-0.0273	-0.1463	0.9888	0.5012	4.9742	-41.4432	0.0	17	1.0	0.0		3401	0	0
1701974237173	t	music_studio_test_cue_loft_left	0.0	1	0	4.4013	784.2239999999999	851.0400000000001	1.0	3.9311	752.544	940.16	1.0	-0.0281	-0.1458	0.9889	0.4723	4.9744	-41.4443	0.0	17	1.0	0.0		3401	0	0
1701974237181	t	music_studio_test_cue_loft_left	0.0	1	0	4.403	784.2239999999999	850.8800000000001	1.0	3.9349	752.6880000000001	940.48	1.0	-0.0285	-0.1461	0.9888	0.3937	4.9736	-41.4473	0.0	17	1.0	0.0		3401	0	0
1701974237189	t	music_studio_test_cue_loft_left	0.0	1	0	4.4116	784.3679999999999	850.8800000000001	1.0	3.946	752.6880000000001	940.32	1.0	-0.0289	-0.1459	0.9889	0.2632	4.9724	-41.4522	0.0	17	1.0	0.0		3401	0	0
1701974237198	t	music_studio_test_cue_loft_left	0.0	1	0	4.4115	784.3679999999999	850.8800000000001	1.0	3.9459	752.6880000000001	940.16	1.0	-0.0292	-0.1461	0.9888	-0.4874	4.9648	-41.4807	0.0	17	1.0	0.0		3401	0	0
1701974237206	t	music_studio_test_cue_loft_left	0.0	1	0	4.4388	784.2239999999999	850.7199999999999	1.0	3.946	752.8320000000001	940.32	1.0	-0.0289	-0.1464	0.9888	-0.4365	4.967	-41.4787	0.0	17	1.0	0.0		3401	0	0
1701974237215	t	music_studio_test_cue_loft_left	0.0	1	0	4.4444	783.936	850.56	1.0	3.9535	752.6880000000001	940.32	1.0	-0.0283	-0.1459	0.9889	-0.3316	4.9684	-41.4759	0.0	17	1.0	0.0		3401	0	0
1701974237223	t	music_studio_test_cue_loft_left	0.0	1	0	4.4384	783.936	850.7199999999999	1.0	3.9545	752.6880000000001	940.32	1.0	-0.0282	-0.1464	0.9888	-0.6272	4.9666	-41.4924	0.0	17	1.0	0.0		3401	0	0
1701974237231	t	music_studio_test_cue_loft_left	0.0	1	0	4.4263	784.2239999999999	850.56	0.9995	3.9583	752.6880000000001	940.32	0.9515	-0.0288	-0.146	0.9888	-0.89	4.9639	-41.5055	0.0	17	1.0	0.0		3401	0	0
1701974237239	t	music_studio_test_cue_loft_left	0.0	1	0	4.4378	784.6560000000001	850.4	0.9995	3.9831	752.6880000000001	940.48	0.9515	-0.0298	-0.1463	0.9888	-1.2208	4.9603	-41.5195	0.0	17	1.0	0.0		3401	0	0
1701974237248	t	music_studio_test_cue_loft_left	0.0	1	0	4.4375	784.6560000000001	850.4	1.0	3.9882	752.6880000000001	940.48	1.0	-0.0298	-0.1463	0.9888	-1.6156	4.9562	-41.5382	0.0	17	1.0	0.0		3401	0	0
1701974237256	t	music_studio_test_cue_loft_left	0.0	1	0	4.4373	784.6560000000001	850.4	1.0	3.9883	752.6880000000001	940.48	1.0	-0.0299	-0.1467	0.9887	-1.8782	4.9545	-41.5502	0.0	17	1.0	0.0		3401	0	0
1701974237264	t	music_studio_test_cue_loft_left	0.0	1	0	4.4251	784.6560000000001	850.56	1.0	3.9826	752.6880000000001	940.8	1.0	-0.03	-0.1474	0.9886	-2.0941	4.9525	-41.5608	0.0	17	1.0	0.0		3401	0	0
1701974237273	t	music_studio_test_cue_loft_left	0.0	1	0	4.4245	784.6560000000001	850.8800000000001	1.0	3.9335	754.272	940.0	1.0	-0.0323	-0.1467	0.9886	-2.2225	4.9542	-41.5731	0.0	17	1.0	0.0		3401	0	0
1701974237281	t	music_studio_test_cue_loft_left	0.0	1	0	4.4419	784.6560000000001	850.8800000000001	1.0	4.0391	754.128	940.64	1.0	-0.0314	-0.1485	0.9884	-2.4085	4.9545	-41.5807	0.0	17	1.0	0.0		3401	0	0
1701974237289	t	music_studio_test_cue_loft_left	0.0	1	0	4.4419	784.6560000000001	850.56	1.0	4.0105	753.6959999999999	940.64	1.0	-0.0305	-0.1482	0.9885	-2.4391	4.9549	-41.5842	0.0	17	1.0	0.0		3401	0	0
1701974237298	t	music_studio_test_cue_loft_left	0.0	1	0	4.4451	784.6560000000001	850.56	0.999	4.0199	753.408	940.64	0.9324	-0.0298	-0.1481	0.9885	-2.4757	4.9554	-41.5873	0.0	17	1.0	0.0		3401	0	0
1701974237306	t	music_studio_test_cue_loft_left	0.0	1	0	4.4463	784.6560000000001	850.56	0.999	4.022	753.408	940.16	0.9324	-0.0297	-0.1471	0.9887	-2.695	4.9535	-41.5993	0.0	17	1.0	0.0		3401	0	0
1701974237314	t	music_studio_test_cue_loft_left	0.0	1	0	4.4543	784.3679999999999	850.4	1.0	4.0246	753.408	939.6800000000001	1.0	-0.0293	-0.1463	0.9888	-2.6034	4.9557	-41.5953	0.0	17	1.0	0.0		3401	0	0
