participant,study_status,scene_familiarity,recall_status,microsaccade_count,avg_microsaccade_duration,avg_microsaccade_vel,avg_microsaccade_amp
15,0.0,1.0,0.5,0,0.0,0.0,0.0
25,0.0,1.0,0.5,0,0.0,0.0,0.0
3,0.0,1.0,0.5,0,0.0,0.0,0.0
4,1.0,1.0,1.0,1,13.0,3.679839889594338,9.76685447545839
24,1.0,1.0,1.0,0,0.0,0.0,0.0
4,0.0,1.0,0.5,0,0.0,0.0,0.0
17,1.0,1.0,0.5,0,0.0,0.0,0.0
6,1.0,1.0,0.5,0,0.0,0.0,0.0
26,1.0,1.0,1.0,1,10.0,3.4301595774440505,21.577477384796133
18,1.0,1.0,0.5,1,8.0,3.1472864971168666,18.11620673981796
23,1.0,1.0,1.0,0,0.0,0.0,0.0
16,1.0,1.0,0.5,1,9.0,2.88468171291837,16.958821581270815
18,1.0,1.0,0.5,0,0.0,0.0,0.0
22,1.0,1.0,1.0,1,7.5,5.828131960499238,12.531041917748908
26,1.0,1.0,1.0,0,0.0,0.0,0.0
5,1.0,1.0,0.5,0,0.0,0.0,0.0
10,1.0,1.0,1.0,2,7.75,3.344945449993785,16.468283516943217
13,1.0,1.0,1.0,0,0.0,0.0,0.0
22,1.0,1.0,1.0,4,9.0,3.2719466215604243,16.95550995023824
24,0.0,1.0,0.5,0,0.0,0.0,0.0
16,1.0,1.0,1.0,0,0.0,0.0,0.0
2,0.0,1.0,0.5,0,0.0,0.0,0.0
23,1.0,1.0,1.0,1,11.0,5.1206158379463425,16.38687969633731
9,0.0,1.0,0.5,1,7.0,4.361183130175707,17.778558533684475
6,1.0,1.0,1.0,0,0.0,0.0,0.0
23,0.0,1.0,0.5,1,9.0,11.327779860392742,34.03407264199686
1,1.0,1.0,0.5,0,0.0,0.0,0.0
23,0.0,1.0,0.5,0,0.0,0.0,0.0
14,1.0,1.0,1.0,0,0.0,0.0,0.0
17,1.0,1.0,1.0,2,10.0,3.1719503108337257,21.88785288712458
21,1.0,1.0,1.0,0,0.0,0.0,0.0
17,1.0,1.0,1.0,1,7.5,1.0964681662984828,5.645992504482651
16,1.0,1.0,1.0,1,8.0,6.29344171621117,7.729964704733879
14,1.0,1.0,1.0,0,0.0,0.0,0.0
24,0.0,1.0,0.5,0,0.0,0.0,0.0
19,1.0,1.0,1.0,0,0.0,0.0,0.0
25,1.0,1.0,1.0,0,0.0,0.0,0.0
25,1.0,1.0,1.0,0,0.0,0.0,0.0
19,1.0,1.0,1.0,0,0.0,0.0,0.0
22,1.0,1.0,0.0,0,0.0,0.0,0.0
21,1.0,1.0,0.5,0,0.0,0.0,0.0
5,1.0,1.0,1.0,1,11.0,4.210568458071157,15.509759942903374
19,1.0,1.0,1.0,0,0.0,0.0,0.0
22,1.0,1.0,1.0,2,7.5,3.6954113708143206,19.68847941258252
5,1.0,1.0,0.5,1,13.0,3.1561741226653477,20.128869997881885
19,1.0,1.0,1.0,0,0.0,0.0,0.0
24,1.0,1.0,1.0,0,0.0,0.0,0.0
21,1.0,1.0,0.5,0,0.0,0.0,0.0
12,0.0,1.0,0.5,0,0.0,0.0,0.0
4,0.0,1.0,0.5,0,0.0,0.0,0.0
9,1.0,1.0,1.0,0,0.0,0.0,0.0
6,1.0,1.0,0.5,0,0.0,0.0,0.0
22,0.0,1.0,0.0,1,7.0,6.515590762318357,25.607347846123115
6,0.0,1.0,0.0,0,0.0,0.0,0.0
5,0.0,1.0,0.5,0,0.0,0.0,0.0
19,0.0,1.0,0.5,0,0.0,0.0,0.0
2,0.0,1.0,0.0,0,0.0,0.0,0.0
24,0.0,1.0,0.5,0,0.0,0.0,0.0
6,1.0,1.0,0.0,2,8.25,6.1750153796419385,8.799335221515634
17,0.0,1.0,0.0,0,0.0,0.0,0.0
24,0.0,1.0,0.5,0,0.0,0.0,0.0
24,0.0,1.0,0.5,1,9.0,4.2284885426022765,27.65449337123372
7,1.0,1.0,1.0,1,11.0,6.817186326774136,10.898717796400936
23,1.0,1.0,0.0,0,0.0,0.0,0.0
24,0.0,1.0,0.5,0,0.0,0.0,0.0
18,1.0,1.0,1.0,0,0.0,0.0,0.0
16,0.0,1.0,0.5,0,0.0,0.0,0.0
26,1.0,1.0,1.0,0,0.0,0.0,0.0
21,0.0,1.0,0.5,2,13.75,5.2789161448031265,30.81679543421749
7,1.0,1.0,0.5,1,8.5,3.279837560079944,9.62289469353938
18,1.0,1.0,1.0,2,8.75,3.157717708431935,7.43780460598229
4,0.0,1.0,0.5,0,0.0,0.0,0.0
9,1.0,1.0,1.0,0,0.0,0.0,0.0
19,1.0,1.0,1.0,1,10.0,2.0466607937111365,10.75250711871336
6,1.0,1.0,0.0,1,7.5,2.8165772751157667,16.118736369987484
6,1.0,1.0,1.0,2,7.75,3.500592991340775,19.02853985831052
14,0.0,1.0,0.0,0,0.0,0.0,0.0
17,1.0,1.0,0.5,1,7.0,2.756038884851561,5.416674131969936
3,1.0,1.0,0.5,0,0.0,0.0,0.0
26,1.0,1.0,0.5,0,0.0,0.0,0.0
1,0.0,1.0,0.0,1,12.5,2.4834900222936236,14.837316396593195
25,1.0,1.0,1.0,0,0.0,0.0,0.0
23,1.0,1.0,0.5,0,0.0,0.0,0.0
22,1.0,1.0,1.0,2,8.5,3.2147771080140233,18.738191220587744
4,0.0,1.0,0.5,2,8.75,3.8750762172678384,18.12819964062447
18,1.0,1.0,1.0,0,0.0,0.0,0.0
9,1.0,1.0,1.0,1,8.0,3.1326675118312197,17.653291420233977
24,0.0,1.0,0.5,1,9.0,3.3103021120926854,23.670770472304113
24,1.0,1.0,1.0,0,0.0,0.0,0.0
25,1.0,1.0,1.0,0,0.0,0.0,0.0
17,0.0,1.0,0.5,3,9.0,3.4997014594019844,25.150208196723952
22,1.0,1.0,1.0,0,0.0,0.0,0.0
18,0.0,1.0,0.0,0,0.0,0.0,0.0
24,1.0,1.0,0.5,0,0.0,0.0,0.0
6,0.0,1.0,0.0,1,8.0,5.003855490416845,24.36408213376869
9,1.0,1.0,1.0,1,8.5,5.013684057549861,15.18023359670654
6,0.0,1.0,0.5,1,8.0,4.772686047598079,16.31266709195345
9,1.0,1.0,0.5,0,0.0,0.0,0.0
2,1.0,1.0,0.5,1,7.0,3.5122812729598696,17.321118183890064
21,1.0,1.0,1.0,0,0.0,0.0,0.0
23,0.0,1.0,0.5,0,0.0,0.0,0.0
7,1.0,1.0,1.0,0,0.0,0.0,0.0
23,1.0,1.0,0.5,1,7.0,3.603463233919815,17.935302560714874
23,0.0,1.0,0.0,0,0.0,0.0,0.0
16,1.0,1.0,1.0,2,8.5,2.55961016045534,16.44879876938374
24,1.0,1.0,0.5,0,0.0,0.0,0.0
19,1.0,1.0,1.0,1,7.0,0.6467751180426788,3.324986464569638
2,0.0,1.0,0.0,0,0.0,0.0,0.0
17,0.0,1.0,0.5,0,0.0,0.0,0.0
23,1.0,1.0,1.0,1,7.0,4.032614903747471,19.788621560074088
14,0.0,1.0,0.5,0,0.0,0.0,0.0
24,0.0,1.0,0.5,0,0.0,0.0,0.0
24,0.0,1.0,0.5,0,0.0,0.0,0.0
