Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Identifier	Event value	Event message
1701993994176	t	gymnasium_test_cue_lumber_mill_left	0.0	5	0	5.0744	756.576	602.24	1.0	4.8576	758.016	859.0400000000001	1.0	-0.0621	0.0222	0.9978	29.1711	7.2447	-36.6354	0.0	23	0.0	0.0		5660	100	MYKEYWORD 100
1701993994184	t	gymnasium_test_cue_lumber_mill_left	0.0	5	0	5.2524	755.28	604.96	1.0	4.7776	756.288	861.12	1.0	-0.0567	0.011	0.9983	26.854	7.1483	-36.8367	0.0	23	0.0	0.0		5660	0	0
1701993994192	t	gymnasium_test_cue_lumber_mill_left	0.0	5	0	5.2541	755.7120000000001	605.12	1.0	4.7605	758.016	864.48	1.0	-0.0587	0.0075	0.9982	24.1683	7.016	-36.9808	0.0	23	0.0	0.0		5660	0	0
1701993994201	t	gymnasium_test_cue_lumber_mill_left	0.0	5	0	5.2011	758.016	604.0	1.0	4.7392	759.312	861.5999999999999	1.0	-0.0632	0.0184	0.9978	25.8543	7.0911	-36.9264	0.0	23	0.0	0.0		5660	0	0
1701993994209	t	gymnasium_test_cue_lumber_mill_left	0.0	5	0	5.2925	756.0	605.44	1.0	4.7092	759.168	863.1999999999999	1.0	-0.0533	0.0204	0.9984	29.2435	7.2365	-36.748	0.0	23	0.0	0.0		5660	0	0
1701993994217	t	gymnasium_test_cue_lumber_mill_left	0.0	5	0	5.2531	756.144	606.72	1.0	4.751	759.456	865.44	1.0	-0.0535	0.0203	0.9984	30.5776	7.2831	-36.6747	0.0	23	0.0	0.0		5660	0	0
1701993994226	t	gymnasium_test_cue_lumber_mill_left	0.0	5	0	5.274	756.432	608.64	1.0	4.7517	759.312	865.6	1.0	-0.0559	0.0166	0.9983	30.639	7.2649	-36.6531	0.0	23	0.0	0.0		5660	0	0
1701993994234	t	gymnasium_test_cue_lumber_mill_left	0.0	5	0	5.3395	759.5999999999999	609.76	1.0	4.751	758.7360000000001	864.1600000000001	1.0	-0.0707	0.0146	0.9974	30.0358	7.2394	-36.7358	0.0	23	0.0	0.0		5660	0	0
1701993994242	t	gymnasium_test_cue_lumber_mill_left	0.0	5	0	5.299	756.432	611.0400000000001	1.0	4.7454	758.5920000000001	865.6	1.0	-0.0576	0.0114	0.9983	28.5584	7.1647	-36.8609	0.0	23	0.0	0.0		5660	0	0
1701993994251	t	gymnasium_test_cue_lumber_mill_left	0.0	5	0	5.2302	757.152	613.44	1.0	4.7506	759.7439999999999	866.24	1.0	-0.0616	0.0066	0.9981	27.4455	7.0961	-36.9525	0.0	23	0.0	0.0		5660	0	0
1701993994259	t	gymnasium_test_cue_lumber_mill_left	0.0	5	0	5.2371	756.0	615.52	1.0	4.7436	760.032	867.0400000000001	1.0	-0.0718	-0.0147	0.9973	6.5755	6.0814	-38.0105	0.0	23	0.0	0.0		5660	0	0
1701993994267	t	gymnasium_test_cue_lumber_mill_left	0.0	5	0	5.1786	757.0079999999999	618.24	1.0	4.7337	758.88	868.6400000000001	1.0	-0.0712	-0.0163	0.9973	10.6792	6.2479	-37.7619	0.0	23	0.0	0.0		5660	0	0
1701993994276	t	gymnasium_test_cue_lumber_mill_left	0.0	5	0	5.2173	756.288	615.68	1.0	4.7419	758.88	866.8799999999999	1.0	-0.0649	0.0016	0.9979	18.9287	6.638	-37.3666	0.0	23	0.0	0.0		5660	0	0
1701993994284	t	gymnasium_test_cue_lumber_mill_left	0.0	5	0	5.27	755.5680000000001	615.2	1.0	4.7383	758.7360000000001	867.52	1.0	-0.0582	0.0077	0.9983	24.5295	6.9036	-37.0687	0.0	23	0.0	0.0		5660	0	0
1701993994292	t	gymnasium_test_cue_lumber_mill_left	0.0	5	0	5.2482	755.856	613.6	1.0	4.7876	760.32	866.24	1.0	-0.0598	0.0095	0.9982	23.0439	6.849	-37.1579	0.0	23	0.0	0.0		5660	0	0
1701993994300	t	gymnasium_test_cue_lumber_mill_left	0.0	5	0	5.2645	756.576	613.6	1.0	4.7982	760.896	865.76	1.0	-0.0616	0.0077	0.9981	23.2363	6.8753	-37.1738	0.0	23	0.0	0.0		5660	0	0
1701993994308	t	gymnasium_test_cue_lumber_mill_left	0.0	5	0	5.2893	756.576	614.0799999999999	1.0	4.7793	760.032	865.1199999999999	1.0	-0.0581	0.0079	0.9983	26.7821	7.0581	-37.0201	0.0	23	0.0	0.0		5660	0	0
1701993994317	t	gymnasium_test_cue_lumber_mill_left	0.0	5	0	5.2297	756.288	614.0799999999999	1.0	4.7272	758.304	866.08	1.0	-0.0536	0.0074	0.9985	28.213	7.1373	-36.9668	0.0	23	0.0	0.0		5660	0	0
