Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Identifier	Event value	Event message
1701731875847	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	4.2952	628.1279999999999	603.6800000000001	1.0	3.7897	610.128	617.6	1.0	0.0328	-0.2385	0.9706	-2.4983	6.0486	-25.9111	0.0	7	1.0	0.0		1924	100	MYKEYWORD 100
1701731875855	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	4.2891	628.1279999999999	603.2	1.0	3.7847	609.9839999999999	617.6	1.0	0.0332	-0.2377	0.9707	-2.4156	6.049	-25.9147	0.0	7	1.0	0.0		1924	0	0
1701731875863	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	4.289	628.272	603.2	1.0	3.7843	609.696	617.6	1.0	0.0337	-0.2377	0.9707	-2.3248	6.05	-25.9192	0.0	7	1.0	0.0		1924	0	0
1701731875872	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	4.2889	628.416	602.88	1.0	3.779	609.552	617.28	1.0	0.0339	-0.2368	0.971	-2.1327	6.0526	-25.9267	0.0	7	1.0	0.0		1924	0	0
1701731875880	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	4.2889	628.416	602.56	1.0	3.7749	609.552	617.12	1.0	0.034	-0.2361	0.9711	-2.0517	6.0545	-25.9305	0.0	7	1.0	0.0		1924	0	0
1701731875889	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	4.2941	628.704	602.4	1.0	3.7747	609.408	617.28	1.0	0.0334	-0.236	0.9712	-1.9831	6.0552	-25.9347	0.0	7	1.0	0.0		1924	0	0
1701731875897	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	4.2887	628.704	601.76	1.0	3.7746	609.408	617.28	1.0	0.0334	-0.2352	0.9714	-2.0324	6.0553	-25.9363	0.0	7	1.0	0.0		1924	0	0
1701731875905	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	4.2884	628.704	601.76	1.0	3.7747	609.408	617.12	1.0	0.0331	-0.2348	0.9715	-2.0216	6.0558	-25.9385	0.0	7	1.0	0.0		1924	0	0
1701731875913	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	4.2946	632.016	601.44	1.0	3.8151	611.136	616.64	1.0	0.0298	-0.2312	0.9724	-2.165	6.0475	-25.9546	0.0	7	1.0	0.0		1924	0	0
1701731875921	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	4.2635	647.712	604.16	1.0	3.7719	624.816	619.2	1.0	0.003	-0.2366	0.9716	-2.5243	6.0299	-25.95	0.0	7	1.0	0.0		1924	0	0
1701731875930	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	4.2632	667.728	605.44	1.0	3.903	644.4	620.3199999999999	1.0	-0.035	-0.2416	0.9697	-3.3278	6.043	-25.964	0.0	7	1.0	0.0		1924	0	0
1701731875938	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	4.0664	689.328	605.2800000000001	1.0	3.8822	664.2719999999999	619.84	1.0	-0.0746	-0.2415	0.9675	-4.9438	6.0578	-25.9614	0.0	7	1.0	0.0		1924	0	0
1701731875947	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	4.2026	710.064	597.12	1.0	3.8695	680.4	617.76	1.0	-0.1289	-0.229	0.9648	-7.1615	6.0567	-25.8747	0.0	7	1.0	0.0		1924	0	0
1701731875955	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	4.2787	729.648	596.0	1.0	3.7215	694.944	613.44	1.0	-0.163	-0.2197	0.9619	-10.1316	6.0615	-25.8527	0.0	7	1.0	0.0		1924	0	0
1701731875963	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	4.2992	739.008	595.04	1.0	3.8079	701.424	613.76	1.0	-0.1815	-0.2154	0.9595	-12.849	6.0347	-25.8308	0.0	7	1.0	0.0		1924	0	0
1701731875972	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	4.4129	737.424	592.64	1.0	3.8433	700.8480000000001	613.76	1.0	-0.1794	-0.212	0.9606	-14.0503	6.0173	-25.8125	0.0	7	1.0	0.0		1924	0	0
1701731875980	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	4.3732	735.552	595.2	1.0	3.8104	700.8480000000001	611.52	1.0	-0.1781	-0.2087	0.9616	-13.9831	6.0194	-25.8109	0.0	7	1.0	0.0		1924	0	0
1701731875988	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	4.3409	734.832	595.2	1.0	3.8511	700.704	611.68	1.0	-0.1761	-0.2102	0.9617	-13.2631	6.0281	-25.8209	0.0	7	1.0	0.0		1924	0	0
1701731875997	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	4.3454	734.1120000000001	595.52	1.0	3.8919	700.56	611.84	1.0	-0.1736	-0.2119	0.9617	-11.3963	6.0447	-25.8494	0.0	7	1.0	0.0		1924	0	0
1701731876005	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	4.3501	733.536	595.6800000000001	1.0	3.8914	700.416	612.0	1.0	-0.1709	-0.2137	0.9618	-8.9197	6.0638	-25.8878	0.0	7	1.0	0.0		1924	0	0
1701731876013	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	4.3598	733.536	595.6800000000001	1.0	3.8916	700.416	612.16	1.0	-0.1687	-0.2152	0.9619	-5.631	6.0877	-25.9397	0.0	7	1.0	0.0		1924	0	0
1701731876021	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	4.3538	733.536	595.6800000000001	1.0	3.9479	699.9839999999999	612.3199999999999	1.0	-0.1648	-0.2165	0.9622	-0.9279	6.1198	-26.0151	0.0	7	1.0	0.0		1924	0	0
1701731876031	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	4.3619	733.536	595.6800000000001	1.0	3.8907	699.9839999999999	612.16	1.0	-0.1658	-0.216	0.9622	-2.2081	6.1111	-25.9938	0.0	7	1.0	0.0		1924	0	0
1701731876039	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	4.3696	733.536	595.6800000000001	1.0	3.9114	699.84	612.3199999999999	1.0	-0.1656	-0.2162	0.9622	-2.1401	6.1111	-25.994	0.0	7	1.0	0.0		1924	0	0
1701731876047	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	4.3676	733.2479999999999	595.36	1.0	3.9316	699.552	612.16	1.0	-0.1649	-0.2158	0.9624	-2.0976	6.1113	-25.9938	0.0	7	1.0	0.0		1924	0	0
