Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Identifier	Event value	Event message
1701894943946	t	playground_test_cue_junkyard_left	0.0	0	0	5.15	710.928	592.3199999999999	1.0	5.3161	670.032	621.76	1.0	0.1661	-0.0523	0.9847	31.3368	6.6562	-30.497	0.0	14	0.0	0.0		1413	100	MYKEYWORD 100
1701894943955	t	playground_test_cue_junkyard_left	0.0	0	0	5.1946	714.096	592.9599999999999	1.0	5.2547	675.504	624.3199999999999	1.0	0.1584	-0.0518	0.986	31.2459	6.6437	-30.5035	0.0	14	0.0	0.0		1413	0	0
1701894943963	t	playground_test_cue_junkyard_left	0.0	0	0	5.2777	717.984	597.92	1.0	5.37	677.952	626.24	1.0	0.1497	-0.0673	0.9864	30.7919	6.6084	-30.4691	0.0	14	0.0	0.0		1413	0	0
1701894943971	t	playground_test_cue_junkyard_left	0.0	0	0	5.1763	720.288	596.3199999999999	1.0	5.212	682.4159999999999	624.96	1.0	0.1412	-0.0584	0.9883	26.76	6.5542	-30.387	0.0	14	0.0	0.0		1413	0	0
1701894943980	t	playground_test_cue_junkyard_left	0.0	0	0	5.2568	722.88	599.6800000000001	1.0	5.1882	685.4399999999999	627.0400000000001	1.0	0.1329	-0.0723	0.9885	23.8465	6.5112	-30.2761	0.0	14	0.0	0.0		1413	0	0
1701894943988	t	playground_test_cue_junkyard_left	0.0	0	0	5.2055	725.472	600.64	1.0	5.2564	688.6080000000001	629.44	1.0	0.1289	-0.0741	0.9889	24.6419	6.5161	-30.3207	0.0	14	0.0	0.0		1413	0	0
1701894943996	t	playground_test_cue_junkyard_left	0.0	0	0	5.1559	730.08	598.24	1.0	5.2216	691.776	627.0400000000001	1.0	0.1117	-0.0657	0.9916	27.3004	6.5598	-30.4205	0.0	14	0.0	0.0		1413	0	0
1701894944005	t	playground_test_cue_junkyard_left	0.0	0	0	5.2331	728.784	600.64	1.0	5.2397	692.496	631.68	1.0	0.1177	-0.0763	0.9901	27.1312	6.5686	-30.4587	0.0	14	0.0	0.0		1413	0	0
1701894944013	t	playground_test_cue_junkyard_left	0.0	0	0	5.1442	731.376	601.92	1.0	5.185	696.528	629.28	1.0	0.1114	-0.0797	0.9906	24.8856	6.5306	-30.3733	0.0	14	0.0	0.0		1413	0	0
1701894944021	t	playground_test_cue_junkyard_left	0.0	0	0	5.166	730.512	601.44	1.0	5.2299	694.8	630.4	1.0	0.1152	-0.0761	0.9904	26.8182	6.5446	-30.4161	0.0	14	0.0	0.0		1413	0	0
1701894944030	t	playground_test_cue_junkyard_left	0.0	0	0	5.2066	731.52	601.12	1.0	5.255	692.208	631.68	1.0	0.1095	-0.075	0.9911	25.7034	6.5259	-30.3751	0.0	14	0.0	0.0		1413	0	0
1701894944038	t	playground_test_cue_junkyard_left	0.0	0	0	5.1132	731.664	604.3199999999999	1.0	5.21	695.808	629.6	1.0	0.1044	-0.086	0.9908	26.3374	6.5132	-30.316	0.0	14	0.0	0.0		1413	0	0
1701894944046	t	playground_test_cue_junkyard_left	0.0	0	0	5.114	732.3840000000001	604.3199999999999	1.0	5.2433	694.8	630.4	1.0	0.0972	-0.0838	0.9917	26.2907	6.5113	-30.3604	0.0	14	0.0	0.0		1413	0	0
1701894944055	t	playground_test_cue_junkyard_left	0.0	0	0	5.1554	731.52	603.52	1.0	5.2039	698.832	633.28	1.0	0.0976	-0.0817	0.9919	23.8317	6.4918	-30.3396	0.0	14	0.0	0.0		1413	0	0
1701894944063	t	playground_test_cue_junkyard_left	0.0	0	0	5.1294	732.528	603.36	1.0	5.2711	696.384	635.52	1.0	0.0959	-0.0866	0.9916	22.5782	6.4967	-30.3288	0.0	14	0.0	0.0		1413	0	0
1701894944071	t	playground_test_cue_junkyard_left	0.0	0	0	5.0881	736.56	604.48	1.0	5.1752	700.8480000000001	633.6	1.0	0.0753	-0.0933	0.9928	19.3151	6.4983	-30.3597	0.0	14	0.0	0.0		1413	0	0
