Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Identifier	Event value	Event message
1701808218974	t	graveyard_test_cue_farm_right	0.0	0	0	5.9453	780.0479999999999	1088.64	1.0	6.0558	785.664	1149.6000000000001	1.0	-0.0932	-0.2733	0.9574	2.8159	-1.7468	-30.0877	0.0	9	0.0	0.0		1655	100	MYKEYWORD 100
1701808218982	t	graveyard_test_cue_farm_right	0.0	0	0	5.9435	778.032	1090.08	1.0	6.2108	783.504	1148.6399999999999	1.0	-0.09	-0.2748	0.9573	2.7642	-1.7444	-30.0912	0.0	9	0.0	0.0		1655	0	0
1701808218991	t	graveyard_test_cue_farm_right	0.0	0	0	6.0637	776.1600000000001	1087.84	1.0	6.2192	784.0799999999999	1146.4	1.0	-0.0837	-0.2742	0.958	2.327	-1.7202	-30.0697	0.0	9	0.0	0.0		1655	0	0
1701808218999	t	graveyard_test_cue_farm_right	0.0	0	0	6.0183	776.736	1087.52	1.0	6.2606	781.4879999999999	1144.1599999999999	1.0	-0.0795	-0.2737	0.9585	2.0951	-1.7096	-30.0647	0.0	9	0.0	0.0		1655	0	0
1701808219007	t	graveyard_test_cue_farm_right	0.0	0	0	5.732	779.904	1098.24	1.0	6.3487	784.2239999999999	1140.8	1.0	-0.0954	-0.2998	0.9492	1.5656	-1.6471	-30.0557	0.0	9	0.0	0.0		1655	0	0
1701808219015	t	graveyard_test_cue_farm_right	0.0	0	0	-1.0	779.328	1090.56	1.0	5.8368	784.9440000000001	1150.72	1.0	-0.1015	-0.3304	0.9384	-31.3357	-2.0148	-29.916	0.0	9	0.0	0.0		1655	0	0
1701808219023	t	graveyard_test_cue_farm_right	0.0	0	0	-1.0	796.1759999999999	1151.68	1.0	5.267	790.992	1171.04	1.0	-0.1	-0.4107	0.9063	-31.4752	-1.8977	-29.9515	0.0	9	0.0	0.0		1655	0	0
1701808219030	t	graveyard_test_cue_farm_right	0.0	0	0	-1.0	819.504	1189.28	0.5923	-1.0	797.6159999999999	1202.24	0.6549	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	9	0.0	0.0		1655	0	0
1701808219038	t	graveyard_test_cue_farm_right	0.0	0	0	-1.0	-1440.0	-1600.0	0.5923	-1.0	764.928	1245.6	0.6549	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	9	0.0	0.0		1655	0	0
1701808219046	t	graveyard_test_cue_farm_right	0.0	0	0	-1.0	-1440.0	-1600.0	0.0	-1.0	-1440.0	-1600.0	0.1627	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	9	0.0	0.0		1655	0	0
1701808219054	t	graveyard_test_cue_farm_right	0.0	0	0	-1.0	-1440.0	-1600.0	0.0	-1.0	-1440.0	-1600.0	0.1627	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	9	0.0	0.0		1655	0	0
1701808219062	t	graveyard_test_cue_farm_right	0.0	0	0	-1.0	-1440.0	-1600.0	0.0	-1.0	-1440.0	-1600.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	9	0.0	0.0		1655	0	0
1701808219071	t	graveyard_test_cue_farm_right	0.0	0	0	-1.0	-1440.0	-1600.0	0.0	-1.0	-1440.0	-1600.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	9	0.0	0.0		1655	0	0
1701808219079	t	graveyard_test_cue_farm_right	0.0	0	0	-1.0	-1440.0	-1600.0	0.0	-1.0	-1440.0	-1600.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	9	0.0	0.0		1655	0	0
1701808219088	t	graveyard_test_cue_farm_right	0.0	0	0	-1.0	-1440.0	-1600.0	0.0	-1.0	457.63200000000006	1420.96	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	9	0.0	0.0		1655	0	0
1701808219096	t	graveyard_test_cue_farm_right	0.0	0	0	-1.0	-1440.0	-1600.0	0.0	-1.0	725.76	1293.1200000000001	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	9	0.0	0.0		1655	0	0
1701808219105	t	graveyard_test_cue_farm_right	0.0	0	0	-1.0	-1440.0	-1600.0	0.0	-1.0	740.736	1267.04	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0	9	0.0	0.0		1655	0	0
