Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Identifier	Event value	Event message
1701973280656	t	lemonadestand_testcue_busstop_left	0.0	0	0	3.6032	812.016	693.44	1.0	3.1584	744.192	772.64	1.0	-0.0508	-0.0267	0.9983	23.1639	6.7978	-38.1606	0.0	17	1.0	0.0		1332	100	MYKEYWORD 100
1701973280665	t	lemonadestand_testcue_busstop_left	0.0	0	0	3.6477	812.592	693.28	1.0	3.1599	744.624	772.8	1.0	-0.0524	-0.0356	0.998	4.7607	6.6974	-39.1522	0.0	17	1.0	0.0		1332	0	0
1701973280673	t	lemonadestand_testcue_busstop_left	0.0	0	0	3.6257	811.728	693.76	1.0	3.1615	745.1999999999999	772.64	1.0	-0.0511	-0.0423	0.9978	-7.3738	6.6268	-39.794	0.0	17	1.0	0.0		1332	0	0
1701973280681	t	lemonadestand_testcue_busstop_left	0.0	0	0	3.6472	811.44	694.24	1.0	3.1936	745.1999999999999	772.32	1.0	-0.0466	-0.0398	0.9981	-3.3248	6.668	-39.6576	0.0	17	1.0	0.0		1332	0	0
1701973280690	t	lemonadestand_testcue_busstop_left	0.0	0	0	3.6251	811.296	694.56	1.0	3.1568	746.352	774.4	1.0	-0.0479	-0.0397	0.9981	5.0892	6.7123	-39.2068	0.0	17	1.0	0.0		1332	0	0
1701973280698	t	lemonadestand_testcue_busstop_left	0.0	0	0	3.6121	811.44	694.7199999999999	1.0	3.1738	746.7839999999999	773.6	1.0	-0.0487	-0.036	0.9982	10.3462	6.7372	-38.9153	0.0	17	1.0	0.0		1332	0	0
1701973280706	t	lemonadestand_testcue_busstop_left	0.0	0	0	3.6212	811.728	694.56	1.0	3.1518	746.9280000000001	773.4399999999999	1.0	-0.05	-0.0305	0.9983	17.896	6.7719	-38.5006	0.0	17	1.0	0.0		1332	0	0
1701973280715	t	lemonadestand_testcue_busstop_left	0.0	0	0	3.6161	811.584	694.24	1.0	3.17	746.7839999999999	773.6	1.0	-0.0494	-0.0299	0.9983	18.8765	6.7796	-38.4467	0.0	17	1.0	0.0		1332	0	0
1701973280723	t	lemonadestand_testcue_busstop_left	0.0	0	0	3.6142	811.584	694.56	1.0	3.1712	746.7839999999999	773.4399999999999	1.0	-0.0494	-0.0306	0.9983	18.273	6.7744	-38.4762	0.0	17	1.0	0.0		1332	0	0
1701973280731	t	lemonadestand_testcue_busstop_left	0.0	0	0	3.6162	811.584	694.24	1.0	3.1712	746.7839999999999	773.6	1.0	-0.0491	-0.0324	0.9983	14.7476	6.7586	-38.6686	0.0	17	1.0	0.0		1332	0	0
1701973280739	t	lemonadestand_testcue_busstop_left	0.0	0	0	3.6178	811.584	694.08	1.0	3.1732	746.7839999999999	773.4399999999999	1.0	-0.0488	-0.0347	0.9982	9.4739	6.731	-38.9552	0.0	17	1.0	0.0		1332	0	0
1701973280748	t	lemonadestand_testcue_busstop_left	0.0	0	0	3.6192	811.584	694.08	1.0	3.172	746.7839999999999	773.4399999999999	1.0	-0.0483	-0.0372	0.9981	4.7677	6.7057	-39.2081	0.0	17	1.0	0.0		1332	0	0
1701973280756	t	lemonadestand_testcue_busstop_left	0.0	0	0	3.6174	811.584	694.08	1.0	3.1718	746.9280000000001	773.4399999999999	1.0	-0.0487	-0.0383	0.9981	2.1212	6.6909	-39.3495	0.0	17	1.0	0.0		1332	0	0
1701973280764	t	lemonadestand_testcue_busstop_left	0.0	0	0	3.6156	811.584	694.08	1.0	3.138	748.6560000000001	771.84	1.0	-0.0507	-0.0349	0.9981	4.8965	6.6971	-39.158	0.0	17	1.0	0.0		1332	0	0
1701973280772	t	lemonadestand_testcue_busstop_left	0.0	0	0	3.6172	811.584	694.08	1.0	3.1137	748.368	772.16	1.0	-0.0497	-0.0335	0.9982	8.89	6.718	-38.9423	0.0	17	1.0	0.0		1332	0	0
1701973280781	t	lemonadestand_testcue_busstop_left	0.0	0	0	3.6188	811.584	694.08	1.0	3.0883	749.8080000000001	772.0	1.0	-0.0515	-0.0315	0.9982	12.8534	6.7435	-38.747	0.0	17	1.0	0.0		1332	0	0
1701973280789	t	lemonadestand_testcue_busstop_left	0.0	0	0	3.6156	811.584	694.08	1.0	3.1502	749.9520000000001	771.52	1.0	-0.0512	-0.0287	0.9983	16.0606	6.7568	-38.5746	0.0	17	1.0	0.0		1332	0	0
1701973280798	t	lemonadestand_testcue_busstop_left	0.0	0	0	3.6156	811.584	694.08	1.0	3.1071	749.8080000000001	772.0	1.0	-0.0512	-0.028	0.9983	17.8207	6.7643	-38.4784	0.0	17	1.0	0.0		1332	0	0
1701973280806	t	lemonadestand_testcue_busstop_left	0.0	0	0	3.6118	811.584	694.08	1.0	3.0984	749.664	772.16	1.0	-0.0511	-0.0283	0.9983	17.7237	6.7641	-38.483	0.0	17	1.0	0.0		1332	0	0
1701973280814	t	lemonadestand_testcue_busstop_left	0.0	0	0	3.6116	811.584	694.08	1.0	3.1053	749.664	772.0	1.0	-0.0515	-0.03	0.9982	15.7034	6.7552	-38.584	0.0	17	1.0	0.0		1332	0	0
1701973280822	t	lemonadestand_testcue_busstop_left	0.0	0	0	3.6072	811.584	693.92	1.0	3.1066	749.52	771.6800000000001	1.0	-0.0514	-0.0311	0.9982	12.9382	6.7385	-38.7193	0.0	17	1.0	0.0		1332	0	0
1701973280831	t	lemonadestand_testcue_busstop_left	0.0	0	0	3.5959	811.44	693.92	1.0	3.1055	749.52	772.0	1.0	-0.0514	-0.0333	0.9981	9.8795	6.7205	-38.871	0.0	17	1.0	0.0		1332	0	0
1701973280839	t	lemonadestand_testcue_busstop_left	0.0	0	0	3.5738	811.44	694.08	1.0	3.0983	749.52	771.6800000000001	1.0	-0.0516	-0.0358	0.998	5.879	6.6969	-39.0618	0.0	17	1.0	0.0		1332	0	0
1701973280847	t	lemonadestand_testcue_busstop_left	0.0	0	0	3.5961	811.44	693.92	1.0	3.0909	749.52	771.52	1.0	-0.0518	-0.0365	0.998	3.9545	6.6857	-39.1536	0.0	17	1.0	0.0		1332	0	0
1701973280856	t	lemonadestand_testcue_busstop_left	0.0	0	0	3.5543	811.584	692.9599999999999	1.0	3.0875	750.384	770.72	1.0	-0.0547	-0.0346	0.9979	2.5837	6.6847	-39.2334	0.0	17	1.0	0.0		1332	0	0
1701973280865	t	lemonadestand_testcue_busstop_left	0.0	0	0	3.4939	807.264	703.2	1.0	3.0868	743.472	778.56	1.0	-0.0498	-0.0515	0.9974	1.84	6.6002	-39.2992	0.0	17	1.0	0.0		1332	0	0
1701973280872	t	lemonadestand_testcue_busstop_left	0.0	0	0	3.4133	796.464	717.44	1.0	3.0646	722.736	791.84	1.0	-0.016	-0.0688	0.9975	19.6682	6.6683	-38.8081	0.0	17	1.0	0.0		1332	0	0
1701973280881	t	lemonadestand_testcue_busstop_left	0.0	0	0	3.4084	791.136	729.28	1.0	3.0763	713.952	801.92	1.0	-0.0058	-0.1064	0.9943	-7.891	6.5163	-40.4732	0.0	17	1.0	0.0		1332	0	0
1701973280889	t	lemonadestand_testcue_busstop_left	0.0	0	0	3.5197	787.8240000000001	729.76	1.0	3.0452	712.8	801.92	1.0	0.0023	-0.1108	0.9938	-15.5267	6.4399	-40.6978	0.0	17	1.0	0.0		1332	0	0
1701973280898	t	lemonadestand_testcue_busstop_left	0.0	0	0	3.4788	786.0960000000001	733.28	1.0	3.0478	715.968	802.88	1.0	-0.001	-0.1151	0.9933	-19.2119	6.3085	-40.5062	0.0	17	1.0	0.0		1332	0	0
1701973280906	t	lemonadestand_testcue_busstop_left	0.0	0	0	3.4632	785.664	729.6	1.0	3.0091	717.84	801.76	1.0	-0.005	-0.1078	0.9941	-16.3147	6.32	-40.3389	0.0	17	1.0	0.0		1332	0	0
1701973280914	t	lemonadestand_testcue_busstop_left	0.0	0	0	3.4567	785.0880000000001	728.8000000000001	1.0	2.9281	715.968	800.4799999999999	1.0	0.0011	-0.1042	0.9946	-9.8931	6.3769	-40.0622	0.0	17	1.0	0.0		1332	0	0
1701973280922	t	lemonadestand_testcue_busstop_left	0.0	0	0	3.4631	784.2239999999999	730.0799999999999	1.0	2.9489	717.12	800.8	1.0	0.0006	-0.1048	0.9945	1.8731	6.4638	-39.5498	0.0	17	1.0	0.0		1332	0	0
1701973280931	t	lemonadestand_testcue_busstop_left	0.0	0	0	3.4529	784.3679999999999	730.4	1.0	2.9002	716.256	798.88	1.0	0.0015	-0.1016	0.9948	7.7673	6.5265	-39.3714	0.0	17	1.0	0.0		1332	0	0
1701973280939	t	lemonadestand_testcue_busstop_left	0.0	0	0	3.4542	783.792	729.92	1.0	2.8435	716.1120000000001	797.6	1.0	0.0024	-0.0997	0.995	3.9028	6.5317	-39.6496	0.0	17	1.0	0.0		1332	0	0
1701973280947	t	lemonadestand_testcue_busstop_left	0.0	0	0	3.4063	783.36	729.12	1.0	2.9017	716.1120000000001	797.44	1.0	0.0028	-0.0981	0.9952	8.1554	6.583	-39.5378	0.0	17	1.0	0.0		1332	0	0
1701973280956	t	lemonadestand_testcue_busstop_left	0.0	0	0	3.3971	783.648	726.4	1.0	2.866	716.1120000000001	797.6	1.0	0.0027	-0.1007	0.9949	-21.9729	6.3381	-40.7067	0.0	17	1.0	0.0		1332	0	0
1701973280964	t	lemonadestand_testcue_busstop_left	0.0	0	0	3.3998	783.504	728.96	1.0	2.8542	716.256	797.44	1.0	0.0031	-0.1029	0.9947	-28.8132	6.2863	-40.9814	0.0	17	1.0	0.0		1332	0	0
