Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Identifier	Event value	Event message
1701731874247	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	5.252	626.256	651.8399999999999	0.828	4.6641	624.24	659.52	0.7713	0.0392	-0.333	0.9421	5.1853	5.6954	-25.8036	0.0	7	1.0	0.0		3863	100	MYKEYWORD 100
1701731874256	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	5.4164	629.856	647.2	0.828	4.6475	624.96	658.5600000000001	0.7713	0.0256	-0.3185	0.9476	-10.3831	5.584	-25.502	0.0	7	1.0	0.0		3863	0	0
1701731874264	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	5.1528	628.416	657.4399999999999	0.8894	4.849	620.496	659.1999999999999	0.8415	0.04	-0.334	0.9417	-3.3289	5.6276	-25.6513	0.0	7	1.0	0.0		3863	0	0
1701731874272	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	5.1933	628.272	657.5999999999999	0.8894	4.8827	626.976	658.88	0.8415	0.0258	-0.3357	0.9416	0.176	5.6504	-25.7243	0.0	7	1.0	0.0		3863	0	0
1701731874281	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	5.2337	628.416	657.4399999999999	0.9222	4.9004	622.944	659.52	0.8974	0.0345	-0.3357	0.9413	-1.1474	5.6405	-25.6956	0.0	7	1.0	0.0		3863	0	0
1701731874289	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	5.3201	628.272	652.0	0.9222	4.9185	619.776	660.0	0.8974	0.0425	-0.3286	0.9435	-2.6935	5.6293	-25.6626	0.0	7	1.0	0.0		3863	0	0
1701731874298	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	5.3662	628.416	650.88	0.936	4.8937	620.352	655.84	0.9082	0.0402	-0.318	0.9472	-4.3519	5.6195	-25.6328	0.0	7	1.0	0.0		3863	0	0
1701731874306	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	5.3871	628.272	650.88	0.936	4.8415	618.912	658.88	0.9082	0.043	-0.3241	0.945	-2.7028	5.6259	-25.6664	0.0	7	1.0	0.0		3863	0	0
1701731874314	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	5.3663	628.416	650.88	0.9533	4.9723	620.784	655.36	0.9285	0.0384	-0.3183	0.9472	-2.9052	5.6327	-25.6612	0.0	7	1.0	0.0		3863	0	0
1701731874323	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	5.3845	628.272	650.72	0.9533	4.9074	618.336	655.04	0.9285	0.0446	-0.3179	0.9471	-2.2661	5.636	-25.6744	0.0	7	1.0	0.0		3863	0	0
