Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Identifier	Event value	Event message
1701894943180	t	playground_test_cue_junkyard_left	0.0	0	0	5.7798	771.984	609.2800000000001	1.0	5.6985	750.672	644.32	1.0	0.0471	-0.0562	0.9973	18.5328	6.0561	-29.5786	0.0	14	0.0	0.0		1394	100	MYKEYWORD 100
1701894943189	t	playground_test_cue_junkyard_left	0.0	0	0	5.6917	772.848	611.52	1.0	5.7942	751.968	646.4000000000001	1.0	0.0435	-0.0628	0.9971	21.2607	6.0806	-29.6452	0.0	14	0.0	0.0		1394	0	0
1701894943197	t	playground_test_cue_junkyard_left	0.0	0	0	5.6738	771.12	610.0799999999999	1.0	5.8173	750.528	648.8000000000001	1.0	0.0516	-0.0574	0.997	20.7986	6.0713	-29.6527	0.0	14	0.0	0.0		1394	0	0
1701894943205	t	playground_test_cue_junkyard_left	0.0	0	0	5.6802	772.704	608.16	1.0	5.6829	751.248	651.04	1.0	0.0423	-0.0521	0.9977	18.577	6.044	-29.6366	0.0	14	0.0	0.0		1394	0	0
1701894943214	t	playground_test_cue_junkyard_left	0.0	0	0	5.7168	772.4159999999999	608.96	1.0	5.509	754.272	647.36	1.0	0.0354	-0.0536	0.9979	11.2918	5.972	-29.566	0.0	14	0.0	0.0		1394	0	0
1701894943222	t	playground_test_cue_junkyard_left	0.0	0	0	5.595	772.128	611.84	1.0	5.6019	748.944	651.68	1.0	0.0468	-0.0672	0.9966	7.8819	5.9359	-29.553	0.0	14	0.0	0.0		1394	0	0
1701894943230	t	playground_test_cue_junkyard_left	0.0	0	0	5.6109	773.2800000000001	611.0400000000001	1.0	5.6037	750.9599999999999	651.8399999999999	1.0	0.0383	-0.063	0.9973	11.6581	5.9598	-29.5452	0.0	14	0.0	0.0		1394	0	0
1701894943239	t	playground_test_cue_junkyard_left	0.0	0	0	5.48	762.6239999999999	609.92	1.0	5.5678	741.1680000000001	649.76	1.0	0.0533	-0.0815	0.9952	-29.8118	5.6487	-29.395	0.0	14	0.0	0.0		1394	0	0
1701894943247	t	playground_test_cue_junkyard_left	0.0	0	0	5.4797	747.648	607.2	1.0	5.5862	720.0	645.6	1.0	0.1002	-0.0709	0.9924	-31.2891	5.5962	-29.1081	0.0	14	0.0	0.0		1394	0	0
1701894943255	t	playground_test_cue_junkyard_left	0.0	0	0	5.5519	723.888	598.24	1.0	5.7014	692.208	637.6	1.0	0.1541	-0.0613	0.9861	-30.945	5.6759	-28.996	0.0	14	0.0	0.0		1394	0	0
1701894943264	t	playground_test_cue_junkyard_left	0.0	0	0	5.4676	699.84	582.72	1.0	5.6539	664.848	620.96	1.0	0.1968	-0.0221	0.9802	-30.5699	5.8377	-29.0847	0.0	14	0.0	0.0		1394	0	0
1701894943272	t	playground_test_cue_junkyard_left	0.0	0	0	5.5535	677.952	575.1999999999999	1.0	5.7603	639.216	611.2	1.0	0.2423	-0.0117	0.9701	-30.2395	5.9959	-29.1671	0.0	14	0.0	0.0		1394	0	0
1701894943280	t	playground_test_cue_junkyard_left	0.0	0	0	5.5914	658.944	561.28	1.0	5.7236	615.024	600.3199999999999	1.0	0.293	0.0112	0.9561	-29.9678	6.1261	-29.2815	0.0	14	0.0	0.0		1394	0	0
1701894943289	t	playground_test_cue_junkyard_left	0.0	0	0	5.7113	644.4	559.04	1.0	5.6325	600.336	590.4	1.0	0.3162	0.0439	0.9477	-29.771	6.1901	-29.3577	0.0	14	0.0	0.0		1394	0	0
1701894943297	t	playground_test_cue_junkyard_left	0.0	0	0	5.6296	643.3919999999999	558.4	1.0	5.6105	603.936	588.48	1.0	0.3013	0.0485	0.9523	-29.7442	6.1982	-29.3446	0.0	14	0.0	0.0		1394	0	0
1701894943307	t	playground_test_cue_junkyard_left	0.0	0	0	5.5706	642.6719999999999	560.32	1.0	5.5888	606.528	592.3199999999999	1.0	0.3015	0.0328	0.9529	-29.2027	6.1962	-29.3361	0.0	14	0.0	0.0		1394	0	0
1701894943314	t	playground_test_cue_junkyard_left	0.0	0	0	5.6017	644.112	560.1600000000001	1.0	5.6792	607.536	592.3199999999999	1.0	0.3019	0.0346	0.9527	-11.7614	6.3983	-29.7271	0.0	14	0.0	0.0		1394	0	0
1701894943322	t	playground_test_cue_junkyard_left	0.0	0	0	5.5323	642.528	559.68	1.0	5.6123	608.4	592.3199999999999	1.0	0.3026	0.0352	0.9525	8.3521	6.6404	-30.1857	0.0	14	0.0	0.0		1394	0	0
1701894943330	t	playground_test_cue_junkyard_left	0.0	0	0	5.5534	644.4	561.4399999999999	1.0	5.5665	608.4	593.12	1.0	0.3003	0.0296	0.9534	5.2294	6.5997	-30.1054	0.0	14	0.0	0.0		1394	0	0
1701894943338	t	playground_test_cue_junkyard_left	0.0	0	0	5.5337	644.112	562.08	1.0	5.5397	609.84	597.44	1.0	0.3011	0.0184	0.9534	-0.7613	6.5264	-29.9582	0.0	14	0.0	0.0		1394	0	0
1701894943347	t	playground_test_cue_junkyard_left	0.0	0	0	5.4752	645.264	562.4	1.0	5.5998	612.144	596.0	1.0	0.2953	0.021	0.9552	0.3758	6.5397	-29.9797	0.0	14	0.0	0.0		1394	0	0
1701894943355	t	playground_test_cue_junkyard_left	0.0	0	0	5.4553	646.1279999999999	561.5999999999999	1.0	5.6419	613.584	597.92	1.0	0.2948	0.0153	0.9554	2.4046	6.5773	-30.0165	0.0	14	0.0	0.0		1394	0	0
1701894943363	t	playground_test_cue_junkyard_left	0.0	0	0	5.4971	648.288	560.1600000000001	1.0	5.6152	613.7280000000001	595.2	1.0	0.2938	0.0236	0.9556	3.1692	6.5899	-30.0355	0.0	14	0.0	0.0		1394	0	0
1701894943372	t	playground_test_cue_junkyard_left	0.0	0	0	5.4665	648.288	561.76	1.0	5.6239	617.472	597.2800000000001	1.0	0.2929	0.0144	0.956	2.9892	6.5917	-30.0193	0.0	14	0.0	0.0		1394	0	0
1701894943380	t	playground_test_cue_junkyard_left	0.0	0	0	5.4335	650.16	561.9200000000001	1.0	5.6547	620.064	596.8	1.0	0.2888	0.0154	0.9572	2.5199	6.5825	-30.0033	0.0	14	0.0	0.0		1394	0	0
1701894943388	t	playground_test_cue_junkyard_left	0.0	0	0	5.4145	651.024	559.84	1.0	5.6362	621.936	596.16	1.0	0.2867	0.0226	0.9577	2.8317	6.5801	-30.0079	0.0	14	0.0	0.0		1394	0	0
1701894943397	t	playground_test_cue_junkyard_left	0.0	0	0	5.3766	654.048	563.04	1.0	5.5022	624.672	597.12	1.0	0.2763	0.0135	0.961	3.2083	6.577	-29.9884	0.0	14	0.0	0.0		1394	0	0
1701894943405	t	playground_test_cue_junkyard_left	0.0	0	0	5.3534	655.4879999999999	561.28	1.0	5.5463	628.1279999999999	594.56	1.0	0.2695	0.0207	0.9628	3.5545	6.5899	-29.9956	0.0	14	0.0	0.0		1394	0	0
1701894943413	t	playground_test_cue_junkyard_left	0.0	0	0	5.3325	657.216	561.76	1.0	5.5835	631.0079999999999	596.3199999999999	1.0	0.2651	0.0155	0.9641	4.8663	6.6012	-29.9947	0.0	14	0.0	0.0		1394	0	0
1701894943422	t	playground_test_cue_junkyard_left	0.0	0	0	5.3591	660.96	564.48	1.0	5.5326	632.16	600.0	1.0	0.262	0.001	0.9651	5.0154	6.6057	-29.9956	0.0	14	0.0	0.0		1394	0	0
1701894943430	t	playground_test_cue_junkyard_left	0.0	0	0	5.3181	662.544	561.4399999999999	1.0	5.5504	633.8879999999999	600.48	1.0	0.2581	0.0079	0.9661	6.4526	6.6188	-30.0048	0.0	14	0.0	0.0		1394	0	0
1701894943438	t	playground_test_cue_junkyard_left	0.0	0	0	5.2456	665.2800000000001	560.1600000000001	1.0	5.5072	635.184	600.8	1.0	0.2558	0.0073	0.9667	5.535	6.6231	-30.0035	0.0	14	0.0	0.0		1394	0	0
1701894943447	t	playground_test_cue_junkyard_left	0.0	0	0	5.266	667.1519999999999	560.96	1.0	5.4431	639.072	599.04	1.0	0.2495	0.0083	0.9683	7.916	6.6424	-29.9981	0.0	14	0.0	0.0		1394	0	0
1701894943455	t	playground_test_cue_junkyard_left	0.0	0	0	5.2636	667.5840000000001	560.0	1.0	5.4881	639.648	603.84	1.0	0.2497	0.0134	0.9682	24.9179	6.8607	-30.388	0.0	14	0.0	0.0		1394	0	0
1701894943463	t	playground_test_cue_junkyard_left	0.0	0	0	5.2241	669.744	561.5999999999999	1.0	5.4861	639.36	602.7199999999999	1.0	0.2439	0.011	0.9697	31.0225	6.9467	-30.567	0.0	14	0.0	0.0		1394	0	0
1701894943472	t	playground_test_cue_junkyard_left	0.0	0	0	5.2303	672.048	563.36	1.0	5.5075	641.088	604.8	1.0	0.2352	0.0027	0.9719	31.721	6.9567	-30.5709	0.0	14	0.0	0.0		1394	0	0
1701894943480	t	playground_test_cue_junkyard_left	0.0	0	0	5.2132	671.904	561.9200000000001	1.0	5.4875	640.944	604.16	1.0	0.2421	0.0078	0.9702	31.7986	6.9629	-30.5741	0.0	14	0.0	0.0		1394	0	0
1701894943488	t	playground_test_cue_junkyard_left	0.0	0	0	5.2386	675.36	562.88	1.0	5.4964	644.832	608.8	1.0	0.2276	0.0006	0.9738	31.7995	6.9707	-30.555	0.0	14	0.0	0.0		1394	0	0
1701894943497	t	playground_test_cue_junkyard_left	0.0	0	0	5.2104	676.224	565.12	1.0	5.3942	648.432	607.0400000000001	1.0	0.2256	-0.0084	0.9742	31.784	6.9675	-30.5484	0.0	14	0.0	0.0		1394	0	0
1701894943508	t	playground_test_cue_junkyard_left	0.0	0	0	5.253	676.512	564.96	1.0	5.4547	646.2719999999999	607.36	1.0	0.2227	-0.007	0.9749	31.7184	6.9639	-30.5526	0.0	14	0.0	0.0		1394	0	0
1701894943513	t	playground_test_cue_junkyard_left	0.0	0	0	5.2642	667.872	567.52	1.0	5.4641	635.904	614.24	1.0	0.242	-0.0069	0.9702	31.7835	6.9294	-30.5898	0.0	14	0.0	0.0		1394	0	0
1701894943522	t	playground_test_cue_junkyard_left	0.0	0	0	5.2948	650.736	575.52	1.0	5.4258	611.28	621.28	1.0	0.2804	-0.0236	0.9596	31.881	6.8768	-30.6474	0.0	14	0.0	0.0		1394	0	0
1701894943530	t	playground_test_cue_junkyard_left	0.0	0	0	5.3276	624.96	580.9599999999999	1.0	5.4732	581.184	629.28	1.0	0.348	-0.0304	0.937	32.1396	6.8492	-30.7644	0.0	14	0.0	0.0		1394	0	0
1701894943538	t	playground_test_cue_junkyard_left	0.0	0	0	5.3276	604.0799999999999	587.5200000000001	1.0	5.4195	556.1279999999999	631.36	1.0	0.3876	-0.0383	0.921	32.4995	6.8031	-30.8791	0.0	14	0.0	0.0		1394	0	0
1701894943547	t	playground_test_cue_junkyard_left	0.0	0	0	5.2334	583.488	596.16	1.0	5.4117	534.816	641.4399999999999	1.0	0.4286	-0.0505	0.9021	32.7285	6.7403	-30.9988	0.0	14	0.0	0.0		1394	0	0
1701894943555	t	playground_test_cue_junkyard_left	0.0	0	0	5.3418	566.208	605.6	1.0	5.4067	514.2239999999999	649.6	1.0	0.4604	-0.0729	0.8847	32.852	6.7029	-31.1094	0.0	14	0.0	0.0		1394	0	0
1701894943563	t	playground_test_cue_junkyard_left	0.0	0	0	5.2893	549.504	612.4799999999999	1.0	5.3455	495.072	656.64	1.0	0.4947	-0.0889	0.8645	31.3374	6.6578	-31.1735	0.0	14	0.0	0.0		1394	0	0
1701894943571	t	playground_test_cue_junkyard_left	0.0	0	0	5.2864	535.68	617.92	1.0	5.3849	482.11199999999997	659.84	1.0	0.5178	-0.0982	0.8498	17.7885	6.4064	-30.9049	0.0	14	0.0	0.0		1394	0	0
1701894943580	t	playground_test_cue_junkyard_left	0.0	0	0	5.32	527.472	619.2	1.0	5.3369	474.048	662.4	1.0	0.53	-0.1004	0.842	15.5371	6.3654	-30.9005	0.0	14	0.0	0.0		1394	0	0
