participant,study_status,scene_familiarity,recall_status,peak_pupil,pupil_AUC,pupil_slope,pupil_mean,avg_pupil_size,avg_pupil_size_downsample,time_to_peak,fix_cnt,max_fix_cnt,avg_fix_cnt,microsaccade_count,avg_microsaccade_duration,avg_microsaccade_vel,avg_microsaccade_amp
18,1.0,0.0,,0.21724998950958252,3.7884458303451534,-0.001818017988071042,-0.0037823477361956176,-0.0037823477361956176,0.027600064873695374,78,3,31,21.0,0,0.0,0.0,0.0
23,0.0,0.0,,0.06594991683959961,18.78112408389216,-0.004564354429855396,-0.25662984399714023,-0.25662984399714023,-0.239793489998244,3,3,26,19.666666666666668,0,0.0,0.0,0.0
19,1.0,0.0,,0.06945037841796875,30.266844511032104,-0.00922375070380419,-0.549437403678894,-0.549437403678894,-0.5161622762680054,2,2,18,15.0,0,0.0,0.0,0.0
7,1.0,0.0,,0.20370006561279297,3.6791426277160646,0.000813162666777794,0.0011068633478930796,0.0011068633478930796,0.02075604438781742,57,2,52,30.5,0,0.0,0.0,0.0
3,1.0,0.0,,0.39619970321655273,0.04920005798339844,0.0011800737929355965,0.20475992560386658,0.20475992560386658,0.191281259059906,62,2,49,28.0,0,0.0,0.0,0.0
13,1.0,0.0,,0.5504180622100829,0.11544966697692871,0.0001100244236116769,0.15568301820347452,0.15568301820347452,0.14296683452346093,62,2,25,21.5,0,0.0,0.0,0.0
18,1.0,0.0,,0.17770004272460938,1.270899772644043,-0.006307909840933935,-0.10869954526424408,-0.10869954526424408,-0.12176865339279175,69,5,32,20.4,0,0.0,0.0,0.0
9,1.0,0.0,,0.0563502311706543,12.128983736038208,0.001073274717614052,-0.1915411353111267,-0.1915411353111267,-0.17769339680671692,10,4,35,17.75,0,0.0,0.0,0.0
19,0.0,0.0,,0.42373860799349217,0.1340358715790968,5.1821895279458665e-05,0.14854221771924925,0.14854221771924925,0.1443703403839698,36,2,45,29.5,0,0.0,0.0,0.0
1,1.0,0.0,,0.1658000946044922,1.1280999183654785,-0.0008095237259048105,-0.017840946093201637,-0.017840946093201637,-0.0054562389850616455,73,4,53,25.0,0,0.0,0.0,0.0
24,1.0,0.0,,0.05000019073486328,1.8251993656158447,-0.0009127871879335591,-0.09626790881156921,-0.09626790881156921,-0.09338119626045227,89,3,26,22.0,0,0.0,0.0,0.0
14,0.0,0.0,,0.11294984817504883,10.225051403045654,-0.013059587323143431,-0.45114120841026306,-0.45114120841026306,-0.44863760471343994,33,3,78,35.0,0,0.0,0.0,0.0
22,0.0,0.0,,0.04529976844787598,8.016112804412842,0.0006254546572166694,-0.1505591720342636,-0.1505591720342636,-0.15026897192001343,1,4,21,14.25,0,0.0,0.0,0.0
26,0.0,0.0,,0.1378002166748047,0.021699905395507812,0.0007285549735374103,0.06791660934686661,0.06791660934686661,0.05994999408721924,110,0,0,0.0,0,0.0,0.0,0.0
16,1.0,0.0,,0.15579986572265625,2.00045108795166,-0.0054718528665466774,-0.17480246722698212,-0.17480246722698212,-0.18712526559829712,55,4,31,15.0,0,0.0,0.0,0.0
22,0.0,0.0,,0.12774968147277832,7.783807754516602,-0.0021798892556333855,-0.16266003251075745,-0.16266003251075745,-0.1461002230644226,13,6,22,17.5,0,0.0,0.0,0.0
3,1.0,0.0,,0.11044979095458984,5.464655637741088,0.0014602345081436764,-0.04562410533937633,-0.04562410533937633,-0.06107455066272194,114,1,44,44.0,0,0.0,0.0,0.0
12,1.0,0.0,,0.24309992790222168,0.15000009536743164,0.0008573728928713681,0.09339119379337016,0.09339119379337016,0.08850912330976496,41,4,38,22.5,0,0.0,0.0,0.0
5,0.0,0.0,,0.6951501369476318,3.908647060394287,0.005656833652540414,0.08708981424570084,0.08708981424570084,0.10835635662078857,112,4,18,12.25,0,0.0,0.0,0.0
9,0.0,0.0,,0.41544997692108154,4.751631701324746,0.0011445662094189044,-0.08657696613898644,-0.08657696613898644,-0.07864835932158831,91,3,40,23.333333333333332,0,0.0,0.0,0.0
21,1.0,0.0,,0.33719968795776367,0.0,0.0014154177981572462,0.17259444296360016,0.17259444296360016,0.16693753004074097,74,8,11,8.875,1,8.0,3.642798978783072,18.20700401450663
5,0.0,0.0,,0.32513904571533203,4.387998938560486,0.0008552287683176949,-0.043530062732533514,-0.043530062732533514,-0.04287499189376831,91,5,15,10.4,0,0.0,0.0,0.0
7,0.0,0.0,,0.4458000659942627,0.0,0.0037994812130692827,0.2059348159366184,0.2059348159366184,0.18322871265740237,90,5,21,14.4,0,0.0,0.0,0.0
24,0.0,0.0,,0.3078000545501709,0.05524921417236328,0.001737639019684335,0.1499950457841922,0.1499950457841922,0.1394251133165052,108,2,67,44.5,0,0.0,0.0,0.0
12,1.0,0.0,,0.14905023574829102,15.351141214370728,0.0029618550662479596,-0.12507294118404388,-0.12507294118404388,-0.1335686445236206,116,8,21,13.25,0,0.0,0.0,0.0
3,1.0,0.0,,0.10004997253417969,10.478500095573631,-0.02901678996974186,-1.7288252818278778,-1.7288252818278778,-1.6726666968148032,2,3,40,28.0,0,0.0,0.0,0.0
15,0.0,0.0,,0.34775006771087646,7.398627204491811,0.003961053052462549,-0.02161243277737218,-0.02161243277737218,-0.018397836124195766,114,4,15,11.0,0,0.0,0.0,0.0
12,1.0,0.0,,0.29165005683898926,0.6699497699737549,-0.00030828457672997685,0.09860983490943909,0.09860983490943909,0.06831875443458557,84,7,16,13.142857142857142,0,0.0,0.0,0.0
26,0.0,0.0,,0.23965024948120117,0.9618968963623047,0.0018411086289207746,0.07336212019635062,0.07336212019635062,0.08997764483113246,79,4,41,16.5,0,0.0,0.0,0.0
18,1.0,0.0,,0.11104965209960938,1.3890511989593506,-0.00047480321144499935,-0.09236989170312881,-0.09236989170312881,-0.13223764300346375,2,3,31,28.0,0,0.0,0.0,0.0
15,0.0,0.0,,0.8130998611450195,0.04874992370605469,0.006550811001240095,0.4642978012561798,0.4642978012561798,0.44661247730255127,116,3,38,33.333333333333336,0,0.0,0.0,0.0
25,0.0,0.0,,0.27915000915527344,0.2216503620147705,-0.00038032401397503394,0.0720362514257431,0.0720362514257431,0.08313113451004028,67,8,18,10.625,0,0.0,0.0,0.0
14,0.0,0.0,,0.6073999404907227,5.542626261711121,0.007089597976206483,0.13584934034918109,0.13584934034918109,0.16792437982033281,110,3,36,23.333333333333332,0,0.0,0.0,0.0
7,1.0,0.0,,0.07774996757507324,6.301300048828125,-0.03199840575192966,-0.8490859341417623,-0.8490859341417623,-0.946901806310755,2,3,66,33.333333333333336,0,0.0,0.0,0.0
9,0.0,0.0,,0.2695000171661377,0.23659992218017578,-0.00023454143343026713,0.13381221151759481,0.13381221151759481,0.11778379700801977,33,2,91,50.0,0,0.0,0.0,0.0
18,1.0,0.0,,0.1771998405456543,3.1212053298950195,0.001694602844042656,-0.06394243985414505,-0.06394243985414505,-0.05246257781982422,96,3,55,32.333333333333336,0,0.0,0.0,0.0
21,1.0,0.0,,0.04705047607421875,7.9539923667907715,-0.003915676396547195,-0.2301761656999588,-0.2301761656999588,-0.24251848459243774,7,5,26,16.2,0,0.0,0.0,0.0
5,0.0,0.0,,0.7856500148773193,0.4494758409422799,0.007211134094728116,0.2938933408158457,0.2938933408158457,0.308648775192092,94,5,23,18.0,0,0.0,0.0,0.0
17,1.0,0.0,,0.1345500946044922,4.821942567825317,-0.00111470848237504,-0.03550279885530472,-0.03550279885530472,-0.033274829387664795,114,3,51,34.666666666666664,1,9.0,2.211532236902193,7.552429809911834
14,0.0,0.0,,0.055100440979003906,8.237241744995117,-0.001793758370639105,-0.15035106241703033,-0.15035106241703033,-0.15304362773895264,1,3,40,30.333333333333332,0,0.0,0.0,0.0
19,1.0,0.0,,0.5587499141693115,5.4435999393463135,-0.0032011452909645865,0.09574451405777891,0.09574451405777891,0.12889134883880615,89,6,22,14.0,0,0.0,0.0,0.0
9,0.0,0.0,,0.04400014877319336,8.472697019577026,-0.0009645155570949701,-0.18987002968788147,-0.18987002968788147,-0.19449374079704285,5,6,20,12.166666666666666,0,0.0,0.0,0.0
6,0.0,0.0,,0.831549882888794,1.0411469577109975,0.009149933560492542,0.3300541343851986,0.3300541343851986,0.3284366482831934,108,2,35,28.0,0,0.0,0.0,0.0
13,1.0,0.0,,0.5006504058837891,0.09854936599731445,0.002696195341392435,0.17432917654514313,0.17432917654514313,0.1461188793182373,102,2,16,13.5,0,0.0,0.0,0.0
12,1.0,0.0,,0.04470014572143555,5.211849927902222,-0.012677599778717227,-0.5767319813752786,-0.5767319813752786,-0.5939392149448395,1,6,28,14.0,0,0.0,0.0,0.0
14,0.0,0.0,,0.0,2.190950393676758,-0.006336820575948667,-0.8329753875732422,-0.8329753875732422,-0.7865250706672668,0,5,20,13.6,0,0.0,0.0,0.0
4,0.0,0.0,,0.1421501636505127,5.649799823760986,-0.035825320570928396,-1.427331870437687,-1.427331870437687,-1.3911825233050599,31,5,36,17.8,0,0.0,0.0,0.0
4,0.0,0.0,,0.5162501335144043,0.7239494323730469,0.0033621608466903674,0.1585761159658432,0.1585761159658432,0.18410006165504456,78,5,8,7.6,0,0.0,0.0,0.0
18,1.0,0.0,,0.34329986572265625,0.16049861907958984,0.0020880531479734996,0.09497999399900436,0.09497999399900436,0.1258312463760376,110,2,44,36.5,0,0.0,0.0,0.0
22,0.0,0.0,,0.3662167296690093,0.06669998168945312,0.0031751400542356758,0.14402117484655136,0.14402117484655136,0.12874238273676708,115,6,20,13.5,1,11.0,2.8129280681972615,22.82246213442511
18,1.0,0.0,,0.0,23.125147581100464,-0.008079835713248237,-1.037208914756775,-1.037208914756775,-0.9871998429298401,0,6,18,10.166666666666666,0,0.0,0.0,0.0
2,0.0,0.0,,0.050300002098083496,27.333693329168824,-0.003938786387238099,-0.40747009587084126,-0.40747009587084126,-0.36312816449168583,10,4,11,8.75,0,0.0,0.0,0.0
3,0.0,0.0,,0.0,7.0871500968933105,-0.06388385262568137,-3.00655716097253,-3.00655716097253,-2.94213436996635,0,1,12,12.0,0,0.0,0.0,0.0
8,1.0,0.0,,0.17715024948120117,8.945096015930176,-0.0003902769418884588,-0.07620761543512344,-0.07620761543512344,-0.0892312228679657,72,7,22,11.714285714285714,0,0.0,0.0,0.0
4,0.0,0.0,,0.5447001457214355,0.5111496448516846,0.0043381576880802165,0.1742774397134781,0.1742774397134781,0.16295629739761353,111,2,15,11.0,0,0.0,0.0,0.0
8,1.0,0.0,,0.0,21.20589852333069,-0.0007294681450287678,-0.3384760618209839,-0.3384760618209839,-0.29905620217323303,0,4,20,14.5,0,0.0,0.0,0.0
7,0.0,0.0,,0.3890500068664551,1.8863136085596945,0.004895619359473969,0.1477599836822249,0.1477599836822249,0.1626913780515844,116,2,30,23.0,0,0.0,0.0,0.0
7,1.0,0.0,,0.09394979476928711,0.6532025337219238,-0.00048161871749927555,-0.034531448036432266,-0.034531448036432266,-0.031143903732299805,108,1,94,94.0,0,0.0,0.0,0.0
15,1.0,0.0,,0.33519983291625977,2.706254482269287,0.003393005907806203,0.088937908411026,0.088937908411026,0.0979498028755188,106,4,31,24.75,0,0.0,0.0,0.0
15,0.0,0.0,,0.5826499462127686,0.7970008850097656,0.006039656172030374,0.22390678524971008,0.22390678524971008,0.21197491884231567,101,5,17,10.4,0,0.0,0.0,0.0
9,1.0,0.0,,0.6297500133514404,0.028888581941525437,0.00433162546449865,0.30487131359230757,0.30487131359230757,0.3032362523178258,96,4,22,14.0,0,0.0,0.0,0.0
2,0.0,0.0,,0.3743000030517578,0.16650009155273438,0.0022338753392997976,0.09744473546743393,0.09744473546743393,0.09442484378814697,88,7,22,10.857142857142858,0,0.0,0.0,0.0
25,0.0,0.0,,0.6696000099182129,0.4278000593185425,0.004145997971071661,0.25662112592631936,0.25662112592631936,0.21983955107305364,85,3,18,11.0,0,0.0,0.0,0.0
4,0.0,0.0,,0.2214498519897461,3.3393001556396484,-0.023589705963502832,-0.5856740179224912,-0.5856740179224912,-0.5921876132488251,35,1,7,7.0,0,0.0,0.0,0.0
