Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Identifier	Event value	Event message
1701994916960	t	terrace_testcue_cocktaillounge_right	0.0	2	0	5.5438	751.1039999999999	537.92	1.0	4.7356	747.792	804.1600000000001	1.0	-0.0174	0.0269	0.9995	7.572	7.0781	-37.5845	0.0	23	0.0	0.0		3811	100	MYKEYWORD 100
1701994916968	t	terrace_testcue_cocktaillounge_right	0.0	2	0	5.5333	751.1039999999999	537.92	1.0	4.7334	747.792	804.1600000000001	1.0	-0.0174	0.0291	0.9994	10.105	7.1977	-37.4128	0.0	23	0.0	0.0		3811	0	0
1701994916976	t	terrace_testcue_cocktaillounge_right	0.0	2	0	5.5292	751.1039999999999	537.92	1.0	4.7793	747.504	802.5600000000001	1.0	-0.0199	0.0321	0.9993	10.7928	7.227	-37.3559	0.0	23	0.0	0.0		3811	0	0
1701994916985	t	terrace_testcue_cocktaillounge_right	0.0	2	0	5.5331	751.1039999999999	537.92	1.0	4.7422	746.352	803.52	1.0	-0.0191	0.0294	0.9994	9.9686	7.1843	-37.3927	0.0	23	0.0	0.0		3811	0	0
1701994916993	t	terrace_testcue_cocktaillounge_right	0.0	2	0	5.5291	750.9599999999999	537.92	1.0	4.7777	746.352	802.0799999999999	1.0	-0.0188	0.0333	0.9993	12.5478	7.2958	-37.1771	0.0	23	0.0	0.0		3811	0	0
1701994917001	t	terrace_testcue_cocktaillounge_right	0.0	2	0	5.5287	751.1039999999999	537.92	1.0	4.7415	745.0559999999999	800.8	1.0	-0.0175	0.0395	0.9991	19.2072	7.6108	-36.7312	0.0	23	0.0	0.0		3811	0	0
1701994917010	t	terrace_testcue_cocktaillounge_right	0.0	2	0	5.5291	750.9599999999999	537.92	1.0	4.6898	746.496	800.6399999999999	1.0	-0.0184	0.0443	0.9988	25.7938	7.9286	-36.3161	0.0	23	0.0	0.0		3811	0	0
1701994917018	t	terrace_testcue_cocktaillounge_right	0.0	2	0	5.5289	750.9599999999999	537.92	1.0	4.7527	746.064	800.16	1.0	-0.019	0.0469	0.9987	29.1514	8.0905	-36.107	0.0	23	0.0	0.0		3811	0	0
1701994917027	t	terrace_testcue_cocktaillounge_right	0.0	2	0	5.521	750.8159999999999	537.92	1.0	4.746	746.496	799.84	1.0	-0.0199	0.0481	0.9986	30.2088	8.1412	-36.0416	0.0	23	0.0	0.0		3811	0	0
1701994917036	t	terrace_testcue_cocktaillounge_right	0.0	2	0	5.529	750.8159999999999	537.4399999999999	1.0	4.7578	746.496	800.0	1.0	-0.0215	0.0487	0.9986	30.0507	8.1348	-36.0472	0.0	23	0.0	0.0		3811	0	0
1701994917044	t	terrace_testcue_cocktaillounge_right	0.0	2	0	5.5012	749.376	536.32	1.0	4.7709	746.496	799.84	1.0	-0.0174	0.0428	0.9989	28.5877	8.0842	-36.0597	0.0	23	0.0	0.0		3811	0	0
1701994917052	t	terrace_testcue_cocktaillounge_right	0.0	2	0	5.4862	749.664	535.52	1.0	4.758	746.64	799.84	1.0	-0.0191	0.0412	0.999	22.9673	7.8095	-36.3947	0.0	23	0.0	0.0		3811	0	0
1701994917061	t	terrace_testcue_cocktaillounge_right	0.0	2	0	5.5063	750.24	536.8000000000001	1.0	4.7454	746.64	799.84	1.0	-0.0238	0.0266	0.9994	6.4881	7.0035	-37.4193	0.0	23	0.0	0.0		3811	0	0
1701994917069	t	terrace_testcue_cocktaillounge_right	0.0	2	0	5.5282	750.8159999999999	535.52	1.0	4.7568	746.7839999999999	799.84	1.0	-0.0274	0.016	0.9995	-11.4115	6.1391	-38.5624	0.0	23	0.0	0.0		3811	0	0
1701994917077	t	terrace_testcue_cocktaillounge_right	0.0	2	0	5.5393	751.8240000000001	535.8399999999999	1.0	4.7679	746.9280000000001	800.0	1.0	-0.0289	0.0095	0.9995	-17.6796	5.8423	-38.969	0.0	23	0.0	0.0		3811	0	0
1701994917085	t	terrace_testcue_cocktaillounge_right	0.0	2	0	5.5474	751.5360000000001	535.52	1.0	4.7528	747.072	800.16	1.0	-0.0284	0.0085	0.9996	-18.4866	5.8146	-39.061	0.0	23	0.0	0.0		3811	0	0
1701994917093	t	terrace_testcue_cocktaillounge_right	0.0	2	0	5.5388	751.5360000000001	535.2	1.0	4.7539	746.9280000000001	800.3199999999999	1.0	-0.0273	0.0088	0.9996	-17.476	5.8712	-39.021	0.0	23	0.0	0.0		3811	0	0
1701994917102	t	terrace_testcue_cocktaillounge_right	0.0	2	0	5.5684	752.256	534.88	1.0	4.7568	747.072	800.16	1.0	-0.0258	0.0132	0.9996	-11.6493	6.1597	-38.66	0.0	23	0.0	0.0		3811	0	0
1701994917110	t	terrace_testcue_cocktaillounge_right	0.0	2	0	5.5425	755.856	530.24	1.0	4.7501	747.072	800.3199999999999	1.0	-0.0303	0.0305	0.9991	-0.4239	6.7059	-37.9428	0.0	23	0.0	0.0		3811	0	0
