Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Identifier	Event value	Event message
1701979931985	t	subwaycar_test_cue_workshop_right	0.0	0	0	6.2394	677.952	819.68	0.9415	5.8837	698.976	939.5200000000001	0.964	0.0378	0.0467	0.9982	-32.4598	1.3115	-34.3997	0.0	19	0.0	0.0		1368	100	MYKEYWORD 100
1701979931993	t	subwaycar_test_cue_workshop_right	0.0	0	0	6.3088	668.304	829.28	0.9415	6.0346	684.0	947.84	0.964	0.0717	0.0309	0.9969	-32.3944	1.3644	-34.8288	0.0	19	0.0	0.0		1368	0	0
1701979932001	t	subwaycar_test_cue_workshop_right	0.0	0	0	6.1784	656.928	837.9200000000001	0.9409	6.0311	673.344	959.52	0.9557	0.0912	-0.0067	0.9958	-32.279	1.1999	-34.3892	0.0	19	0.0	0.0		1368	0	0
1701979932010	t	subwaycar_test_cue_workshop_right	0.0	0	0	6.135	649.728	844.0	0.9409	5.9777	668.016	966.7199999999999	0.9557	0.0994	-0.0237	0.9948	-32.2197	1.3035	-34.914	0.0	19	0.0	0.0		1368	0	0
1701979932018	t	subwaycar_test_cue_workshop_right	0.0	0	0	6.1254	652.464	842.24	0.9117	6.0574	669.312	963.52	0.948	0.1025	-0.0093	0.9947	-32.2525	1.2037	-34.5914	0.0	19	0.0	0.0		1368	0	0
1701979932026	t	subwaycar_test_cue_workshop_right	0.0	0	0	6.1309	649.584	842.8800000000001	0.9117	6.095	670.464	965.1199999999999	0.948	0.1027	-0.0106	0.9946	-32.2737	1.1439	-34.4658	0.0	19	0.0	0.0		1368	0	0
1701979932034	t	subwaycar_test_cue_workshop_right	0.0	0	0	6.1001	648.72	843.8399999999999	0.9122	5.9626	671.616	968.3199999999999	0.9429	0.1004	-0.0209	0.9947	-32.289	1.091	-34.3252	0.0	19	0.0	0.0		1368	0	0
1701979932043	t	subwaycar_test_cue_workshop_right	0.0	0	0	6.066	648.144	844.6400000000001	0.9122	5.9853	673.776	967.6800000000001	0.9429	0.0926	-0.0178	0.9955	-32.296	1.0742	-34.28	0.0	19	0.0	0.0		1368	0	0
1701979932051	t	subwaycar_test_cue_workshop_right	0.0	0	0	6.0802	648.72	845.28	0.9141	5.9983	672.192	968.16	0.9545	0.0998	-0.0195	0.9948	-32.298	1.0735	-34.2746	0.0	19	0.0	0.0		1368	0	0
1701979932059	t	subwaycar_test_cue_workshop_right	0.0	0	0	6.0913	648.72	844.8000000000001	0.9141	6.0163	672.48	966.24	0.9545	0.1016	-0.0123	0.9948	-32.3112	1.0901	-34.3248	0.0	19	0.0	0.0		1368	0	0
1701979932068	t	subwaycar_test_cue_workshop_right	0.0	0	0	6.0932	648.72	845.28	0.9218	6.0447	671.328	968.8000000000001	0.9503	0.1093	-0.0213	0.9938	-32.3222	1.0984	-34.3641	0.0	19	0.0	0.0		1368	0	0
1701979932077	t	subwaycar_test_cue_workshop_right	0.0	0	0	6.0969	648.432	845.28	0.9218	6.0373	672.048	966.08	0.9503	0.108	-0.0099	0.9941	-32.0153	1.1303	-34.4577	0.0	19	0.0	0.0		1368	0	0
1701979932084	t	subwaycar_test_cue_workshop_right	0.0	0	0	6.0961	648.144	845.28	0.9225	5.9666	674.784	969.6	0.9779	0.0948	-0.0201	0.9953	-17.6974	1.6187	-34.8638	0.0	19	0.0	0.0		1368	0	0
1701979932093	t	subwaycar_test_cue_workshop_right	0.0	0	0	6.0964	648.0	845.76	0.9225	6.0185	673.632	970.5600000000001	0.9779	0.0986	-0.0205	0.9949	-11.468	1.831	-35.0498	0.0	19	0.0	0.0		1368	0	0
1701979932101	t	subwaycar_test_cue_workshop_right	0.0	0	0	6.0966	648.0	846.24	0.9254	6.0089	672.624	970.0799999999999	0.9718	0.0951	-0.0166	0.9953	10.1989	2.5837	-35.6816	0.0	19	0.0	0.0		1368	0	0
1701979932109	t	subwaycar_test_cue_workshop_right	0.0	0	0	6.1059	648.0	846.4000000000001	0.9254	5.9959	673.0559999999999	970.5600000000001	0.9718	0.0926	-0.0177	0.9955	16.3037	2.8021	-35.8623	0.0	19	0.0	0.0		1368	0	0
1701979932118	t	subwaycar_test_cue_workshop_right	0.0	0	0	6.1152	647.856	846.5600000000001	0.9339	6.0053	672.336	971.68	0.9688	0.0933	-0.0202	0.9954	15.9164	2.7934	-35.8546	0.0	19	0.0	0.0		1368	0	0
1701979932126	t	subwaycar_test_cue_workshop_right	0.0	0	0	6.1269	647.856	846.5600000000001	0.9339	5.9965	672.768	970.5600000000001	0.9688	0.0948	-0.0187	0.9953	9.1422	2.5598	-35.6878	0.0	19	0.0	0.0		1368	0	0
1701979932134	t	subwaycar_test_cue_workshop_right	0.0	0	0	6.1108	647.712	846.72	0.9415	5.9995	672.912	970.4000000000001	0.9749	0.0978	-0.0184	0.995	-1.1598	2.1955	-35.3984	0.0	19	0.0	0.0		1368	0	0
1701979932143	t	subwaycar_test_cue_workshop_right	0.0	0	0	6.122	647.568	846.72	0.9415	5.9994	672.768	970.5600000000001	0.9749	0.1012	-0.0184	0.9947	-10.1886	1.8739	-35.1331	0.0	19	0.0	0.0		1368	0	0
1701979932151	t	subwaycar_test_cue_workshop_right	0.0	0	0	6.1166	647.424	846.72	0.9569	6.0015	672.912	970.4000000000001	0.9922	0.1033	-0.0188	0.9945	-17.4889	1.6127	-34.9048	0.0	19	0.0	0.0		1368	0	0
1701979932159	t	subwaycar_test_cue_workshop_right	0.0	0	0	6.1142	646.5600000000001	847.6800000000001	0.9569	6.0011	673.0559999999999	970.5600000000001	0.9922	0.1043	-0.0195	0.9943	-20.6601	1.4954	-34.7945	0.0	19	0.0	0.0		1368	0	0
1701979932168	t	subwaycar_test_cue_workshop_right	0.0	0	0	6.125	646.2719999999999	848.1600000000001	0.9452	5.9985	672.912	970.5600000000001	0.9714	0.1058	-0.0204	0.9942	-23.2848	1.4001	-34.7029	0.0	19	0.0	0.0		1368	0	0
1701979932176	t	subwaycar_test_cue_workshop_right	0.0	0	0	6.1249	645.984	848.1600000000001	0.9452	5.9965	672.768	970.72	0.9714	0.1068	-0.021	0.994	-24.5566	1.3502	-34.6447	0.0	19	0.0	0.0		1368	0	0
1701979932184	t	subwaycar_test_cue_workshop_right	0.0	0	0	6.1221	645.984	848.1600000000001	0.9482	5.9991	672.912	970.72	0.9816	0.1064	-0.0217	0.9941	-25.0294	1.3339	-34.6263	0.0	19	0.0	0.0		1368	0	0
