participant,study_status,scene_familiarity,recall_status,peak_pupil,pupil_AUC,pupil_slope,pupil_mean,avg_pupil_size,avg_pupil_size_downsample,time_to_peak,saccade_count,avg_saccade_duration,avg_saccade_peak_vel,avg_saccade_amplitude
25,0.0,0.0,,0.2907650113105773,2.3408260345458984,-0.0004527058851877108,-0.1198650422478527,-0.1198650422478527,-0.12718836863835653,228,2,18.5,20.20335434290573,234.26338482641063
25,0.0,0.0,,0.7918999195098877,0.0,0.001932016368317286,0.2926955627992686,0.2926955627992686,0.2588980648392125,158,1,96.0,34.69723295086544,391.0669229316667
22,0.0,0.0,,0.0747995376586914,1.49245023727417,-0.003965129840843794,-0.14668488502502441,-0.14668488502502441,-0.11736030876636505,152,1,44.0,5.044635131450014,18.54199455543696
19,0.0,0.0,,0.07270002365112305,27.194802284240723,-0.000532790342524546,-0.15263239391745395,-0.15263239391745395,-0.16199064155419668,20,2,47.0,13.535102604728653,136.4997881996644
23,0.0,0.0,,0.3965001106262207,6.795447111129761,0.0025506221134708844,0.04341651871800423,0.04341651871800423,0.024730030447244644,197,2,23.5,17.74326885887401,85.46590622693998
23,0.0,0.0,,0.14579987525939941,4.733949422836304,-0.0020082782620248303,-0.19495273491501305,-0.19495273491501305,-0.17766519510875903,37,4,23.0,17.43737455281315,72.45842376365871
5,0.0,0.0,,0.13949990272521973,1.9642000198364258,-0.010563809246043982,-0.8108973804908463,-0.8108973804908463,-0.7580873094756027,96,0,0.0,0.0,0.0
15,1.0,0.0,,0.29250001907348633,3.1887987852096558,0.0005043185046440976,0.08718430492948381,0.08718430492948381,0.08579253181402606,159,3,8.0,8.536750822394291,45.31350814569975
15,0.0,0.0,,0.741300106048584,19.689845323562622,-0.004600366734719295,-0.09335748851299286,-0.09335748851299286,-0.08776658028364182,74,4,8.5,13.383939032959116,75.10761160421727
10,1.0,0.0,,0.1368999481201172,1.0067005157470703,-0.0013759984404396759,-0.1234799176454544,-0.1234799176454544,-0.09690354764461517,111,3,9.666666666666666,24.66740463415577,131.01459057726197
17,1.0,0.0,,0.43000006675720215,5.374300003051758,-0.0025848503265788456,-0.001591365800125179,-0.001591365800125179,0.11442714418683735,220,1,16.0,9.401955532600407,37.0706999323256
14,0.0,0.0,,0.3594498634338379,0.46215105056762695,0.0013379198186352105,0.17309251427650452,0.17309251427650452,0.163773313164711,100,1,44.0,9.831455619278097,25.68160021482319
25,0.0,0.0,,0.4491316296837544,0.3687002658843994,-7.675735737768716e-05,0.022292746270256195,0.022292746270256195,0.03903819409283722,224,3,23.666666666666668,18.942910049749944,169.78231358764458
26,0.0,0.0,,0.09950006008148193,21.54084748029709,-0.0008612228511152553,-0.24985671143994553,-0.24985671143994553,-0.22654819270290397,28,3,17.666666666666668,16.603406521744333,104.55547263384072
9,0.0,0.0,,1.0977001190185547,5.11441400768311,0.0053454527923253664,0.5852290210844595,0.5852290210844595,0.6197247072752252,192,2,65.0,2.6312919483201025,24.423905654435714
23,0.0,0.0,,0.34530019760131836,11.626455545425415,-4.3803847067197384e-05,0.0076566836796700954,0.0076566836796700954,0.018363269045948982,16,5,32.0,29.527895802522995,239.50799420503162
17,1.0,0.0,,0.4821000099182129,0.15160012245178223,0.00042861550503420806,0.14879916608333588,0.14879916608333588,0.12739671766757965,235,2,15.0,11.318278624069126,32.207636218004836
1,1.0,0.0,,0.32099997997283936,0.29440128803253174,0.0007398850242553547,0.11624251287194746,0.11624251287194746,0.11189505401839556,194,3,22.0,6.809273454709589,49.9861478034366
23,0.0,0.0,,0.6616997718811035,0.14674997329711914,0.0016238813951470127,0.3840082585811615,0.3840082585811615,0.36983001232147217,200,2,19.0,18.989101619700712,89.70910580752859
4,0.0,0.0,,0.07205009460449219,27.258387565612793,-7.289009270957038e-05,-0.18475307524204254,-0.18475307524204254,-0.1837865710258484,3,3,32.0,23.50184372065985,101.1120776844112
1,1.0,0.0,,0.2870001792907715,0.2413492202758789,-5.4075209507138844e-05,0.092877596616745,0.092877596616745,0.07569680362939835,114,1,7.0,4.991153093580149,22.924337943366243
5,0.0,0.0,,0.2915000915527344,10.74158000946045,0.0004228737390390023,-0.05073064565658569,-0.05073064565658569,-0.035386912524700165,132,3,22.333333333333332,23.07783569041868,150.95869126680665
4,0.0,0.0,,0.5270500183105469,0.10414981842041016,0.0006385625112918984,0.23708443343639374,0.23708443343639374,0.2539933919906616,183,5,14.0,13.803791578585201,72.89787066143808
5,0.0,0.0,,0.7885500192642212,0.07950007915496826,0.002309222200324898,0.3125029369748594,0.3125029369748594,0.31356973606243466,231,5,11.6,32.74995197064611,146.35693452217714
9,0.0,0.0,,0.08340024948120117,31.03211343288421,-5.98954653733009e-05,-0.1430434929167671,-0.1430434929167671,-0.14153221897456955,109,1,44.0,2.693766610557056,11.83579306191491
25,0.0,0.0,,0.2379230581797085,19.773078008339954,0.0011153176915041614,-0.10541900074431665,-0.10541900074431665,-0.12684045678529984,217,3,26.0,17.03718895862416,108.95571063120497
14,0.0,0.0,,0.16594982147216797,1.999490737915039,0.0002987373478267653,0.01832186058163643,0.01832186058163643,0.009183406829833984,219,1,16.0,7.98878063387426,17.701500201302956
14,0.0,0.0,,0.6946998834609985,0.503049373626709,-0.0012797429720318855,0.27829480422700004,0.27829480422700004,0.28610905471442244,119,3,9.333333333333334,13.401382033821235,84.20169216017884
4,0.0,0.0,,0.18074989318847656,15.950311183929443,-0.0004181261073660545,-0.0824473425745964,-0.0824473425745964,-0.08373007923364639,9,5,16.4,22.158150927045657,123.33131635871086
10,1.0,0.0,,0.7401502132415771,0.09745001792907715,0.0022157758889385297,0.3514380656214203,0.3514380656214203,0.33062988060558446,226,2,14.0,9.770602133144129,49.15003779452469
4,0.0,0.0,,0.35934996604919434,2.7662001848220825,-0.005014643114427891,-0.2145139039317264,-0.2145139039317264,-0.1955261915091312,92,4,14.25,11.55839958242437,84.86109942067698
16,1.0,0.0,,0.4069998264312744,0.6879504919052124,-0.0009632204469480466,0.07319199359869655,0.07319199359869655,0.09210145956986437,52,4,20.0,16.901423969746606,91.11764240903963
