Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Identifier	Event value	Event message
1702064018750	t	attic_testcue_childrensroom_right	0.0	0	0	3.4068	690.624	815.1999999999999	0.9567	3.7586	737.9999999999999	1042.3999999999999	0.9673	0.0075	-0.1401	0.9901	-28.2447	0.6001	-35.2972	0.0	26	0.0	0.0		1579	100	MYKEYWORD 100
1702064018759	t	attic_testcue_childrensroom_right	0.0	0	0	3.4584	690.912	813.5999999999999	0.9567	3.7973	739.008	1039.68	0.9673	0.0039	-0.1323	0.9912	-29.7968	0.5368	-35.3536	0.0	26	0.0	0.0		1579	0	0
1702064018767	t	attic_testcue_childrensroom_right	0.0	0	0	3.4304	691.1999999999999	812.48	0.9765	3.7311	740.16	1040.0	0.9914	-0.0002	-0.1375	0.9905	-28.2424	0.6494	-35.3624	0.0	26	0.0	0.0		1579	0	0
1702064018775	t	attic_testcue_childrensroom_right	0.0	0	0	3.385	691.488	811.2	0.9765	3.7309	739.4399999999999	1035.52	0.9914	0.0029	-0.1247	0.9922	-29.3102	0.6084	-35.3863	0.0	26	0.0	0.0		1579	0	0
1702064018784	t	attic_testcue_childrensroom_right	0.0	0	0	3.4148	691.488	808.64	0.9709	3.7742	738.72	1036.8	0.9824	0.0047	-0.1292	0.9916	-28.7655	0.6154	-35.3009	0.0	26	0.0	0.0		1579	0	0
1702064018792	t	attic_testcue_childrensroom_right	0.0	0	0	3.4898	690.048	808.4799999999999	0.9709	3.7213	738.72	1034.88	0.9824	0.004	-0.1256	0.9921	-27.107	0.7404	-35.3409	0.0	26	0.0	0.0		1579	0	0
1702064018800	t	attic_testcue_childrensroom_right	0.0	0	0	3.516	689.904	807.84	0.9611	3.7234	739.4399999999999	1034.72	0.9963	0.0025	-0.1257	0.9921	-23.7877	0.924	-35.2902	0.0	26	0.0	0.0		1579	0	0
1702064018809	t	attic_testcue_childrensroom_right	0.0	0	0	3.4365	689.76	805.9200000000001	0.9611	3.7402	737.856	1033.6000000000001	0.9963	0.0071	-0.125	0.9921	-18.3886	1.2014	-35.0978	0.0	26	0.0	0.0		1579	0	0
1702064018817	t	attic_testcue_childrensroom_right	0.0	0	0	3.4719	688.6080000000001	806.08	1.0	3.7151	738.72	1030.56	1.0	0.0043	-0.1187	0.9929	-11.4159	1.5282	-34.7981	0.0	26	0.0	0.0		1579	0	0
1702064018825	t	attic_testcue_childrensroom_right	0.0	0	0	3.5047	689.328	803.8399999999999	1.0	3.6773	739.584	1029.76	1.0	0.0	-0.1169	0.9931	-13.8235	1.4001	-34.8058	0.0	26	0.0	0.0		1579	0	0
1702064018834	t	attic_testcue_childrensroom_right	0.0	0	0	3.5063	688.896	804.64	1.0	3.7053	738.288	1028.96	1.0	0.0032	-0.1178	0.993	-17.8509	1.2476	-35.0386	0.0	26	0.0	0.0		1579	0	0
1702064018842	t	attic_testcue_childrensroom_right	0.0	0	0	3.4231	687.6	801.92	1.0	3.736	737.568	1030.4	1.0	0.0056	-0.1181	0.993	-16.501	1.3244	-35.0611	0.0	26	0.0	0.0		1579	0	0
1702064018851	t	attic_testcue_childrensroom_right	0.0	0	0	3.4833	687.168	802.88	1.0	3.7168	737.1360000000001	1028.64	1.0	0.0081	-0.1129	0.9936	-12.9353	1.4642	-34.848	0.0	26	0.0	0.0		1579	0	0
1702064018859	t	attic_testcue_childrensroom_right	0.0	0	0	3.4884	686.3040000000001	800.8	1.0	3.8259	736.2719999999999	1027.68	1.0	0.0117	-0.1127	0.9936	-7.8414	1.7378	-34.699	0.0	26	0.0	0.0		1579	0	0
1702064018867	t	attic_testcue_childrensroom_right	0.0	0	0	3.4447	686.736	799.6800000000001	1.0	3.739	736.7040000000001	1025.76	1.0	0.0081	-0.11	0.9939	-6.5074	1.7907	-34.5732	0.0	26	0.0	0.0		1579	0	0
1702064018876	t	attic_testcue_childrensroom_right	0.0	0	0	3.4851	688.896	796.0	1.0	3.7992	735.2640000000001	1024.0	1.0	0.0083	-0.1056	0.9944	-4.2458	1.9055	-34.4224	0.0	26	0.0	0.0		1579	0	0
1702064018884	t	attic_testcue_childrensroom_right	0.0	0	0	3.459	687.888	794.7199999999999	1.0	3.824	733.68	1022.24	1.0	0.0129	-0.1064	0.9942	-6.7567	1.8552	-34.6415	0.0	26	0.0	0.0		1579	0	0
1702064018892	t	attic_testcue_childrensroom_right	0.0	0	0	3.3665	688.752	790.4	1.0	3.7505	734.2560000000001	1022.08	1.0	0.0098	-0.1022	0.9947	-11.9739	1.6203	-34.8881	0.0	26	0.0	0.0		1579	0	0
