participant,study_status,scene_familiarity,recall_status,peak_pupil,pupil_AUC,pupil_slope,pupil_mean,avg_pupil_size,avg_pupil_size_downsample,time_to_peak,saccade_count,avg_saccade_duration,avg_saccade_peak_vel,avg_saccade_amplitude,microsaccade_count,avg_microsaccade_duration,avg_microsaccade_vel,avg_microsaccade_amp
18,1.0,0.0,,0.12584984302520752,9.900900125503536,-0.0009559897838809134,-0.11816240477765727,-0.11816240477765727,-0.09332997798919679,52,1,73.0,31.98028555805415,311.0204843004379,0,0.0,0.0,0.0
23,0.0,0.0,,0.1334996223449707,0.2776498794555664,-0.0014369708069807605,-0.06686495989561081,-0.06686495989561081,-0.06053131818771362,42,2,44.5,23.392305863673446,196.3090598724523,0,0.0,0.0,0.0
19,1.0,0.0,,0.5234999656677246,0.23000001907348633,-0.0003227527823990292,0.22575299556438738,0.22575299556438738,0.19915619492530823,85,2,39.0,24.01744175086636,171.2900445748292,0,0.0,0.0,0.0
7,1.0,0.0,,0.379500150680542,0.9950589441484023,0.0027261258161334688,0.0957028244295691,0.0957028244295691,0.0937740855296636,71,1,76.0,3.3922434138777176,18.13432373935335,0,0.0,0.0,0.0
3,1.0,0.0,,0.14875006675720215,1.3150825500488281,-0.0007790710743157213,-0.002861478389837803,-0.002861478389837803,0.00839902479927257,112,2,12.0,2.072038028171625,22.792418309887616,0,0.0,0.0,0.0
13,1.0,0.0,,0.370800256729126,6.218599796295166,-0.02852368096205976,-0.613216024178725,-0.613216024178725,-0.7469449655954228,56,0,0.0,0.0,0.0,0,0.0,0.0,0.0
18,1.0,0.0,,0.3928999900817871,16.58460259437561,0.0031664603570665624,-0.2999632656574249,-0.2999632656574249,-0.19019383192062378,96,3,20.0,23.194272496111136,197.23776274195305,0,0.0,0.0,0.0
9,1.0,0.0,,0.3400998115539551,0.08250045776367188,0.002369589999899395,0.10527469217777252,0.10527469217777252,0.09663122892379761,102,1,6.0,32.50383984792242,142.09553134335465,0,0.0,0.0,0.0
19,0.0,0.0,,0.0,11.623605251312256,-0.002752689950878366,-0.307644248008728,-0.307644248008728,-0.3089063763618469,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
1,1.0,0.0,,0.09455013275146484,2.6702985763549805,0.0016544701610776073,-0.08581405133008957,-0.08581405133008957,-0.05871248245239258,88,2,12.0,9.98956880202578,20.05615152443766,1,10.0,3.0142293244898406,19.651699212562725
24,1.0,0.0,,0.3247499465942383,6.738550186157227,-0.04373075842140986,-0.9798811551852104,-0.9798811551852104,-1.086364889570645,68,1,40.0,5.134376957105561,200.24070132711614,0,0.0,0.0,0.0
14,0.0,0.0,,0.27160000801086426,7.345749855041504,-0.020653102046067677,-0.46028684143327225,-0.46028684143327225,-0.6389928951149895,101,1,9.0,1.3511328387398571,10.809062709918688,0,0.0,0.0,0.0
22,0.0,0.0,,0.2745499610900879,1.5302479267120361,0.003344338188785361,0.051270242780447006,0.051270242780447006,0.07785642147064209,95,2,18.5,18.35804912537853,77.75972832166372,1,10.0,4.370064068511901,23.073295616508148
26,0.0,0.0,,0.3209500312805176,0.2432994842529297,0.001079481119918692,0.10293896496295929,0.10293896496295929,0.08820003271102905,74,2,13.5,18.126308672155986,66.79246048532977,2,8.5,6.845303561578309,30.497940402124293
16,1.0,0.0,,0.12109994888305664,0.7545502185821533,-0.0010112282426059747,-0.07061418152263021,-0.07061418152263021,-0.05376066882293551,23,2,31.5,12.3154104053827,79.17889583027448,0,0.0,0.0,0.0
22,0.0,0.0,,0.15814971923828125,7.686154365539551,-0.0032938280271232233,-0.061671946197748184,-0.061671946197748184,-0.052481383085250854,29,1,37.0,17.51407241392833,119.34771870856585,0,0.0,0.0,0.0
3,1.0,0.0,,0.37274980545043945,0.01660013198852539,0.0015212192770356788,0.20831409096717834,0.20831409096717834,0.1949438452720642,63,0,0.0,0.0,0.0,0,0.0,0.0,0.0
