Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Identifier	Event value	Event message
1701731888245	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	5.4839	649.728	687.84	0.8839	4.8234	628.56	696.48	0.8167	0.0067	-0.3814	0.9244	-2.3611	5.5662	-26.9418	0.0	7	1.0	0.0		1915	100	MYKEYWORD 100
1701731888253	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	5.4774	649.584	687.84	0.8839	4.8231	628.704	696.48	0.8167	0.0058	-0.3821	0.9241	-2.303	5.5706	-26.9425	0.0	7	1.0	0.0		1915	0	0
1701731888265	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	5.477	649.584	687.2	0.8653	4.8235	628.9920000000001	696.48	0.8096	0.0049	-0.3816	0.9243	-2.3674	5.5742	-26.9419	0.0	7	1.0	0.0		1915	0	0
1701731888270	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	5.4777	649.584	687.04	0.8653	4.7919	628.9920000000001	696.48	0.8096	0.0031	-0.3835	0.9235	-2.3117	5.586	-26.9418	0.0	7	1.0	0.0		1915	0	0
1701731888278	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	5.4581	649.584	687.04	0.8703	4.7747	628.9920000000001	696.48	0.8202	0.003	-0.3837	0.9234	-1.8375	5.5893	-26.9479	0.0	7	1.0	0.0		1915	0	0
1701731888286	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	5.3877	649.1519999999999	687.2	0.8703	4.7747	629.136	696.48	0.8202	0.0039	-0.3836	0.9235	-2.814	5.5855	-26.9353	0.0	7	1.0	0.0		1915	0	0
1701731888294	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	5.3878	649.1519999999999	687.2	0.859	4.7684	629.136	695.84	0.8555	0.0039	-0.3826	0.9239	-2.9429	5.5852	-26.9339	0.0	7	1.0	0.0		1915	0	0
1701731888303	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	5.3833	649.1519999999999	687.2	0.859	4.7338	629.424	696.16	0.8555	0.0033	-0.3831	0.9237	-3.0581	5.5854	-26.9323	0.0	7	1.0	0.0		1915	0	0
1701731888311	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	5.3719	649.008	687.84	0.8361	4.7321	629.424	696.16	0.8094	0.0035	-0.3841	0.9233	-3.0732	5.5861	-26.9318	0.0	7	1.0	0.0		1915	0	0
1701731888320	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	5.3716	648.432	688.0	0.8361	4.6976	629.856	696.16	0.8094	0.0033	-0.3844	0.9232	-2.9874	5.5873	-26.9344	0.0	7	1.0	0.0		1915	0	0
1701731888328	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	5.3367	648.432	688.0	0.8305	4.6843	629.856	696.16	0.7987	0.0033	-0.3848	0.923	-3.0403	5.5893	-26.9318	0.0	7	1.0	0.0		1915	0	0
1701731888336	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	5.3205	648.432	688.0	0.8305	4.6818	629.424	696.16	0.7987	0.0042	-0.3852	0.9228	-2.6005	5.5938	-26.9376	0.0	7	1.0	0.0		1915	0	0
1701731888344	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	5.3129	648.0	688.16	0.8172	4.6424	629.424	697.12	0.7966	0.0048	-0.3893	0.9211	-2.1995	5.6059	-26.9429	0.0	7	1.0	0.0		1915	0	0
1701731888352	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	5.3044	647.712	689.28	0.8172	4.6309	629.424	697.12	0.7966	0.0052	-0.3909	0.9204	-1.948	5.6085	-26.9462	0.0	7	1.0	0.0		1915	0	0
1701731888361	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	5.3031	647.28	690.24	0.8185	4.5708	628.9920000000001	697.2800000000001	0.7888	0.0064	-0.3936	0.9193	-1.7158	5.6151	-26.9487	0.0	7	1.0	0.0		1915	0	0
1701731888369	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	5.3033	647.28	690.24	0.8185	4.5637	628.848	697.2800000000001	0.7888	0.0067	-0.3943	0.9189	-2.2567	5.6169	-26.9418	0.0	7	1.0	0.0		1915	0	0
1701731888377	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	5.2868	647.28	690.24	0.8104	4.5176	629.424	697.2800000000001	0.766	0.0058	-0.3947	0.9188	-2.1756	5.6201	-26.943	0.0	7	1.0	0.0		1915	0	0
1701731888386	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	5.2657	647.28	690.24	0.8104	4.5015	628.848	697.2800000000001	0.766	0.0072	-0.3949	0.9187	-2.4052	5.621	-26.9402	0.0	7	1.0	0.0		1915	0	0
1701731888394	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	5.2439	647.28	690.24	0.8095	4.4935	628.848	697.76	0.7798	0.0072	-0.3959	0.9183	-2.1599	5.6226	-26.9435	0.0	7	1.0	0.0		1915	0	0
1701731888402	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	5.2346	647.28	690.4	0.8095	4.4921	628.1279999999999	697.76	0.7798	0.0091	-0.3966	0.918	-2.2155	5.6247	-26.9433	0.0	7	1.0	0.0		1915	0	0
1701731888411	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	5.2344	647.28	690.24	0.819	4.4506	628.416	696.0	0.7872	0.0094	-0.3974	0.9176	-2.2055	5.6496	-26.9394	0.0	7	1.0	0.0		1915	0	0
1701731888419	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	4.87	649.872	669.76	0.819	4.3368	626.688	682.24	0.7872	0.0117	-0.3762	0.9265	-2.675	5.8279	-26.8733	0.0	7	1.0	0.0		1915	0	0
1701731888427	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	5.0403	653.04	650.5600000000001	0.8181	4.293	628.9920000000001	661.28	0.7899	0.0007	-0.3566	0.9342	-2.8592	6.073	-26.7921	0.0	7	1.0	0.0		1915	0	0
1701731888436	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	4.8492	652.0319999999999	621.92	0.8181	4.1588	626.832	636.16	0.7899	0.011	-0.3152	0.9489	-3.0975	6.3196	-26.713	0.0	7	1.0	0.0		1915	0	0
1701731888444	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	4.9256	656.784	597.44	0.8346	4.1107	623.952	609.76	0.816	0.0078	-0.2706	0.9627	-3.6549	6.5311	-26.6371	0.0	7	1.0	0.0		1915	0	0
1701731888452	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	4.5524	651.312	590.88	0.8346	4.2177	625.1039999999999	597.92	0.816	0.0106	-0.2576	0.9662	0.6619	6.6444	-26.6441	0.0	7	1.0	0.0		1915	0	0
1701731888461	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	5.1636	655.7760000000001	572.64	0.895	4.2756	627.984	590.4	0.8215	-0.0025	-0.2144	0.9767	1.1427	6.6556	-26.7494	0.0	7	1.0	0.0		1915	0	0
1701731888469	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	5.1711	654.336	570.72	0.895	4.4626	628.9920000000001	588.0	0.8215	-0.0015	-0.1953	0.9807	-5.4822	6.5638	-26.6819	0.0	7	1.0	0.0		1915	0	0
1701731888478	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	5.0897	651.888	578.08	0.9642	4.4924	630.0	588.9599999999999	0.8586	-0.0009	-0.1984	0.9801	-5.6423	6.5142	-26.6551	0.0	7	1.0	0.0		1915	0	0
1701731888486	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	5.0553	654.048	576.64	0.9642	4.575	632.304	589.12	0.8586	-0.0075	-0.192	0.9814	-15.9883	6.4432	-26.4761	0.0	7	1.0	0.0		1915	0	0
1701731888494	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	5.1026	652.464	578.88	1.0	4.578	631.44	588.64	1.0	-0.0018	-0.1866	0.9824	-12.0436	6.4407	-26.6135	0.0	7	1.0	0.0		1915	0	0
1701731888503	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	5.1143	653.328	578.72	1.0	4.567	632.304	588.16	1.0	-0.0054	-0.1835	0.983	-11.0541	6.4308	-26.613	0.0	7	1.0	0.0		1915	0	0
1701731888511	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	5.0964	652.464	579.04	1.0	4.7003	631.728	589.28	1.0	-0.0004	-0.1828	0.9831	-8.9543	6.417	-26.6446	0.0	7	1.0	0.0		1915	0	0
1701731888519	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	5.2029	653.04	575.84	1.0	4.5996	633.312	591.2	1.0	-0.0079	-0.1836	0.983	-8.6987	6.4125	-26.6305	0.0	7	1.0	0.0		1915	0	0
1701731888529	t	trainstation_test_cue_bowling_alley_right	0.0	0	0	5.1781	653.616	577.28	1.0	4.6449	632.16	591.52	1.0	-0.0037	-0.1851	0.9827	-10.6858	6.3962	-26.5902	0.0	7	1.0	0.0		1915	0	0
