Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Identifier	Event value	Event message
1701814539490	t	safari_testcue_windmill_left	0.0	0	0	5.9956	656.064	607.2	1.0	5.4982	738.1439999999999	895.2	1.0	0.2026	0.0003	0.9792	31.8363	5.9673	-32.6515	0.0	10	1.0	0.0		1417	100	MYKEYWORD 100
1701814539498	t	safari_testcue_windmill_left	0.0	0	0	5.9982	656.064	606.88	1.0	5.5044	738.432	895.36	1.0	0.2029	0.001	0.9792	31.4824	5.9498	-32.6772	0.0	10	1.0	0.0		1417	0	0
1701814539506	t	safari_testcue_windmill_left	0.0	0	0	5.9951	656.64	607.2	1.0	5.4874	738.72	895.36	1.0	0.2015	0.0002	0.9795	31.5287	5.9521	-32.6731	0.0	10	1.0	0.0		1417	0	0
1701814539514	t	safari_testcue_windmill_left	0.0	0	0	5.9927	657.36	606.88	1.0	5.4636	738.432	895.2	1.0	0.2003	0.0008	0.9797	31.3464	5.9432	-32.6867	0.0	10	1.0	0.0		1417	0	0
1701814539523	t	safari_testcue_windmill_left	0.0	0	0	5.9835	658.08	606.56	1.0	5.4642	738.72	895.36	1.0	0.1983	0.0013	0.9801	30.9498	5.9235	-32.7158	0.0	10	1.0	0.0		1417	0	0
1701814539531	t	safari_testcue_windmill_left	0.0	0	0	5.9904	658.8000000000001	606.4	1.0	5.4662	739.008	895.2	1.0	0.1965	0.0014	0.9805	30.2421	5.888	-32.7673	0.0	10	1.0	0.0		1417	0	0
1701814539539	t	safari_testcue_windmill_left	0.0	0	0	5.9922	659.088	606.4	1.0	5.5243	740.0160000000001	894.88	1.0	0.1956	0.0016	0.9807	30.6478	5.9074	-32.733	0.0	10	1.0	0.0		1417	0	0
1701814539547	t	safari_testcue_windmill_left	0.0	0	0	6.0339	663.264	607.6800000000001	1.0	5.4387	743.76	897.7600000000001	1.0	0.1877	-0.0015	0.9822	30.2301	5.8805	-32.7497	0.0	10	1.0	0.0		1417	0	0
1701814539556	t	safari_testcue_windmill_left	0.0	0	0	5.9571	664.848	606.72	1.0	5.4783	744.9119999999999	897.4399999999999	1.0	0.1853	0.0013	0.9827	30.5267	5.8923	-32.7263	0.0	10	1.0	0.0		1417	0	0
1701814539564	t	safari_testcue_windmill_left	0.0	0	0	5.9855	666.576	607.0400000000001	1.0	5.4726	744.336	897.28	1.0	0.1819	0.0008	0.9833	31.067	5.9216	-32.6925	0.0	10	1.0	0.0		1417	0	0
1701814539572	t	safari_testcue_windmill_left	0.0	0	0	5.8995	666.576	605.92	1.0	5.4729	746.352	896.64	1.0	0.1845	0.0031	0.9828	31.1915	5.9345	-32.695	0.0	10	1.0	0.0		1417	0	0
1701814539581	t	safari_testcue_windmill_left	0.0	0	0	6.027	668.448	605.92	1.0	5.4624	745.7760000000001	896.0000000000001	1.0	0.1802	0.003	0.9836	30.9911	5.9261	-32.707	0.0	10	1.0	0.0		1417	0	0
1701814539589	t	safari_testcue_windmill_left	0.0	0	0	5.968	666.72	602.24	1.0	5.5004	744.336	894.72	1.0	0.1816	0.0066	0.9833	31.1541	5.9748	-32.702	0.0	10	1.0	0.0		1417	0	0
1701814539598	t	safari_testcue_windmill_left	0.0	0	0	6.1015	656.784	582.4	1.0	5.3814	736.1279999999999	870.5600000000001	1.0	0.2034	0.0324	0.9786	31.1064	6.1474	-32.7123	0.0	10	1.0	0.0		1417	0	0
1701814539606	t	safari_testcue_windmill_left	0.0	0	0	6.1244	654.192	557.4399999999999	1.0	5.5014	728.3520000000001	842.56	1.0	0.2119	0.0665	0.975	31.5068	6.3741	-32.6962	0.0	10	1.0	0.0		1417	0	0
1701814539614	t	safari_testcue_windmill_left	0.0	0	0	6.2149	659.088	532.16	1.0	5.4276	727.2	823.5200000000001	1.0	0.2062	0.1039	0.973	31.6479	6.5662	-32.6995	0.0	10	1.0	0.0		1417	0	0
1701814539623	t	safari_testcue_windmill_left	0.0	0	0	6.2011	667.728	524.96	1.0	5.4467	729.3599999999999	821.7599999999999	1.0	0.1884	0.1131	0.9756	31.7858	6.6299	-32.6726	0.0	10	1.0	0.0		1417	0	0
1701814539631	t	safari_testcue_windmill_left	0.0	0	0	6.2045	668.448	531.36	1.0	5.5754	732.3840000000001	823.6800000000001	1.0	0.1854	0.1018	0.9774	31.8287	6.597	-32.6568	0.0	10	1.0	0.0		1417	0	0
1701814539639	t	safari_testcue_windmill_left	0.0	0	0	6.2104	667.1519999999999	531.2	1.0	5.4732	736.4159999999999	826.56	1.0	0.1866	0.1085	0.9764	31.8531	6.5563	-32.6718	0.0	10	1.0	0.0		1417	0	0
1701814539647	t	safari_testcue_windmill_left	0.0	0	0	6.31	668.1600000000001	534.88	1.0	5.4803	736.56	827.36	1.0	0.1821	0.103	0.9779	31.8624	6.5306	-32.6641	0.0	10	1.0	0.0		1417	0	0
1701814539656	t	safari_testcue_windmill_left	0.0	0	0	6.1805	668.88	538.24	1.0	5.4921	737.712	827.2	1.0	0.181	0.0954	0.9788	31.8554	6.5199	-32.6541	0.0	10	1.0	0.0		1417	0	0
1701814539664	t	safari_testcue_windmill_left	0.0	0	0	6.2531	669.168	537.76	1.0	5.5344	738.864	827.0400000000001	1.0	0.1803	0.0973	0.9788	31.8459	6.5162	-32.6547	0.0	10	1.0	0.0		1417	0	0
1701814539672	t	safari_testcue_windmill_left	0.0	0	0	6.2941	669.456	537.28	1.0	5.4969	742.0319999999999	829.7599999999999	1.0	0.1798	0.0991	0.9787	31.7389	6.5067	-32.6603	0.0	10	1.0	0.0		1417	0	0
1701814539681	t	safari_testcue_windmill_left	0.0	0	0	6.274	672.192	538.24	1.0	5.5291	744.0480000000001	830.4	1.0	0.1758	0.1009	0.9792	30.4939	6.4067	-32.7256	0.0	10	1.0	0.0		1417	0	0
1701814539689	t	safari_testcue_windmill_left	0.0	0	0	6.1919	672.048	540.16	1.0	5.5933	744.768	831.6800000000001	1.0	0.1782	0.0985	0.979	28.6387	6.2884	-32.8371	0.0	10	1.0	0.0		1417	0	0
1701814539698	t	safari_testcue_windmill_left	0.0	0	0	6.2892	673.344	539.68	1.0	5.4964	745.1999999999999	831.5200000000001	1.0	0.1759	0.1021	0.9791	27.1012	6.1899	-32.9339	0.0	10	1.0	0.0		1417	0	0
1701814539706	t	safari_testcue_windmill_left	0.0	0	0	6.1664	673.632	540.96	1.0	5.5129	746.208	832.48	1.0	0.1757	0.0997	0.9794	28.4561	6.2577	-32.8551	0.0	10	1.0	0.0		1417	0	0
1701814539714	t	safari_testcue_windmill_left	0.0	0	0	6.1887	673.776	541.12	1.0	5.4337	746.208	834.4	1.0	0.1751	0.0996	0.9795	29.9686	6.3401	-32.7634	0.0	10	1.0	0.0		1417	0	0
1701814539722	t	safari_testcue_windmill_left	0.0	0	0	6.211	673.776	540.96	1.0	5.5026	746.9280000000001	834.8800000000001	1.0	0.1747	0.1	0.9795	30.9132	6.3911	-32.7073	0.0	10	1.0	0.0		1417	0	0
1701814539731	t	safari_testcue_windmill_left	0.0	0	0	6.1952	674.0640000000001	541.12	1.0	5.4938	750.24	835.36	1.0	0.1738	0.1001	0.9797	31.1925	6.4045	-32.6897	0.0	10	1.0	0.0		1417	0	0
1701814539739	t	safari_testcue_windmill_left	0.0	0	0	6.2106	674.496	540.96	1.0	5.5156	750.8159999999999	835.0400000000001	1.0	0.1727	0.1005	0.9798	31.3305	6.4102	-32.6814	0.0	10	1.0	0.0		1417	0	0
1701814539747	t	safari_testcue_windmill_left	0.0	0	0	6.2167	674.496	540.96	1.0	5.5304	750.528	834.8800000000001	1.0	0.1727	0.1008	0.9798	30.6389	6.3707	-32.7233	0.0	10	1.0	0.0		1417	0	0
1701814539756	t	safari_testcue_windmill_left	0.0	0	0	6.223	674.496	540.96	1.0	5.5285	750.9599999999999	835.0400000000001	1.0	0.1749	0.1021	0.9793	23.1248	5.9441	-33.1737	0.0	10	1.0	0.0		1417	0	0
1701814539764	t	safari_testcue_windmill_left	0.0	0	0	6.2234	675.216	540.96	1.0	5.5333	751.248	835.2	1.0	0.1776	0.104	0.9786	10.0759	5.2002	-33.9452	0.0	10	1.0	0.0		1417	0	0
1701814539772	t	safari_testcue_windmill_left	0.0	0	0	6.2242	675.9359999999999	540.96	1.0	5.53	751.968	835.0400000000001	1.0	0.1768	0.1047	0.9787	6.6177	5.0024	-34.1477	0.0	10	1.0	0.0		1417	0	0
1701814539781	t	safari_testcue_windmill_left	0.0	0	0	6.2242	676.0799999999999	540.96	1.0	5.5328	752.8320000000001	835.2	1.0	0.1756	0.1046	0.9789	6.7842	5.0108	-34.1346	0.0	10	1.0	0.0		1417	0	0
1701814539789	t	safari_testcue_windmill_left	0.0	0	0	6.2243	676.368	540.96	1.0	5.5365	753.12	835.0400000000001	1.0	0.1746	0.1045	0.9791	7.8461	5.0708	-34.071	0.0	10	1.0	0.0		1417	0	0
1701814539798	t	safari_testcue_windmill_left	0.0	0	0	6.2321	676.512	541.12	1.0	5.5396	753.552	835.2	1.0	0.1738	0.1044	0.9792	8.3588	5.0992	-34.0398	0.0	10	1.0	0.0		1417	0	0
1701814539806	t	safari_testcue_windmill_left	0.0	0	0	6.2398	676.656	540.96	1.0	5.6183	756.8639999999999	836.6400000000001	1.0	0.1717	0.1045	0.9796	10.1049	5.174	-33.8811	0.0	10	1.0	0.0		1417	0	0
1701814539814	t	safari_testcue_windmill_left	0.0	0	0	6.2454	676.9440000000001	541.12	1.0	5.6397	757.872	838.88	1.0	0.1695	0.1024	0.9802	15.4713	5.4805	-33.5711	0.0	10	1.0	0.0		1417	0	0
1701814539822	t	safari_testcue_windmill_left	0.0	0	0	6.2507	677.088	541.12	1.0	5.6423	757.872	839.1999999999999	1.0	0.1679	0.1022	0.9805	20.3398	5.7618	-33.2996	0.0	10	1.0	0.0		1417	0	0
1701814539830	t	safari_testcue_windmill_left	0.0	0	0	6.2679	677.088	541.12	1.0	5.6376	758.016	839.3599999999999	1.0	0.1676	0.1029	0.9805	21.659	5.8336	-33.2271	0.0	10	1.0	0.0		1417	0	0
1701814539839	t	safari_testcue_windmill_left	0.0	0	0	6.2831	677.376	541.12	1.0	5.6317	758.016	839.1999999999999	1.0	0.1678	0.103	0.9804	21.3567	5.8166	-33.2439	0.0	10	1.0	0.0		1417	0	0
1701814539848	t	safari_testcue_windmill_left	0.0	0	0	6.2857	677.52	541.12	1.0	5.6386	758.016	839.04	1.0	0.1692	0.1032	0.9802	19.9107	5.7336	-33.3253	0.0	10	1.0	0.0		1417	0	0
1701814539856	t	safari_testcue_windmill_left	0.0	0	0	6.2993	677.808	541.12	1.0	5.6423	758.016	839.04	1.0	0.1705	0.1034	0.9799	16.6028	5.5428	-33.5125	0.0	10	1.0	0.0		1417	0	0
1701814539865	t	safari_testcue_windmill_left	0.0	0	0	6.3	679.104	541.12	1.0	5.6388	758.016	838.88	1.0	0.1703	0.1035	0.9799	11.3283	5.2382	-33.8113	0.0	10	1.0	0.0		1417	0	0
1701814539873	t	safari_testcue_windmill_left	0.0	0	0	6.3031	679.248	541.28	1.0	5.6423	758.016	838.72	1.0	0.173	0.1039	0.9794	4.6409	4.8541	-34.195	0.0	10	1.0	0.0		1417	0	0
1701814539881	t	safari_testcue_windmill_left	0.0	0	0	6.3084	679.392	541.28	1.0	5.6383	758.016	838.4000000000001	1.0	0.1744	0.1038	0.9792	-0.0531	4.586	-34.4574	0.0	10	1.0	0.0		1417	0	0
1701814539889	t	safari_testcue_windmill_left	0.0	0	0	6.3103	679.8240000000001	541.4399999999999	1.0	5.6306	758.5920000000001	838.72	1.0	0.1732	0.1032	0.9794	0.0532	4.5932	-34.4557	0.0	10	1.0	0.0		1417	0	0
1701814539898	t	safari_testcue_windmill_left	0.0	0	0	6.3229	680.4	541.28	1.0	5.6228	759.168	838.88	1.0	0.1719	0.1028	0.9797	0.0646	4.597	-34.4594	0.0	10	1.0	0.0		1417	0	0
1701814539906	t	safari_testcue_windmill_left	0.0	0	0	6.3366	680.4	541.28	1.0	5.6297	759.168	838.72	1.0	0.1722	0.1024	0.9797	0.0922	4.6032	-34.4554	0.0	10	1.0	0.0		1417	0	0
1701814539915	t	safari_testcue_windmill_left	0.0	0	0	6.3935	679.968	541.92	1.0	5.7112	759.168	839.3599999999999	1.0	0.1736	0.1025	0.9795	0.1773	4.5996	-34.4527	0.0	10	1.0	0.0		1417	0	0
1701814539923	t	safari_testcue_windmill_left	0.0	0	0	6.4591	696.24	555.1999999999999	1.0	5.8117	764.208	856.1600000000001	1.0	0.1568	0.0826	0.9841	5.4786	4.7555	-34.0309	0.0	10	1.0	0.0		1417	0	0
1701814539931	t	safari_testcue_windmill_left	0.0	0	0	6.5163	717.696	584.64	1.0	5.7106	776.1600000000001	883.2	1.0	0.1375	0.0414	0.9896	-4.1774	3.9806	-34.5901	0.0	10	1.0	0.0		1417	0	0
