Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Event value	Event message
1701713769897	t	safari_testcue_windmill_left	0.0	3	0	3.4765	845.28	528.96	1.0	3.0449	759.168	775.1999999999999	1.0	-0.0232	-0.0242	0.9994	-10.6765	6.6862	-38.7085	0.0	2	1.0	1.0	1.0	100	MYKEYWORD 100
1701713769905	t	safari_testcue_windmill_left	0.0	3	0	3.4768	845.28	528.96	1.0	3.0563	759.168	775.36	1.0	-0.0224	-0.0245	0.9994	-10.6333	6.6876	-38.7007	0.0	2	1.0	1.0	1.0	0	0
1701713769914	t	safari_testcue_windmill_left	0.0	3	0	3.4773	845.28	528.96	1.0	3.056	759.168	775.36	1.0	-0.022	-0.0243	0.9995	-10.6454	6.6884	-38.7099	0.0	2	1.0	1.0	1.0	0	0
1701713769922	t	safari_testcue_windmill_left	0.0	3	0	3.4778	845.28	528.6400000000001	1.0	3.0551	759.168	775.52	1.0	-0.0219	-0.0251	0.9994	-10.6888	6.693	-38.7218	0.0	2	1.0	1.0	1.0	0	0
1701713769930	t	safari_testcue_windmill_left	0.0	3	0	3.4786	845.136	528.48	1.0	3.0552	759.456	775.52	1.0	-0.0219	-0.0249	0.9994	-10.1301	6.7145	-38.6648	0.0	2	1.0	1.0	1.0	0	0
1701713769941	t	safari_testcue_windmill_left	0.0	3	0	3.4925	845.136	528.48	1.0	3.0551	759.168	775.52	1.0	-0.0212	-0.0244	0.9995	-9.4962	6.7377	-38.6057	0.0	2	1.0	1.0	1.0	0	0
1701713769947	t	safari_testcue_windmill_left	0.0	3	0	3.5086	845.136	528.16	1.0	3.0549	759.5999999999999	775.52	1.0	-0.022	-0.0234	0.9995	-8.6304	6.7694	-38.5253	0.0	2	1.0	1.0	1.0	0	0
1701713769955	t	safari_testcue_windmill_left	0.0	3	0	3.5086	845.136	528.16	1.0	3.0686	759.5999999999999	775.52	1.0	-0.0219	-0.0231	0.9995	-7.6825	6.8055	-38.4324	0.0	2	1.0	1.0	1.0	0	0
1701713769963	t	safari_testcue_windmill_left	0.0	3	0	3.5369	844.992	527.84	1.0	3.0684	759.7439999999999	775.52	1.0	-0.0222	-0.0228	0.9995	-7.2634	6.8225	-38.3917	0.0	2	1.0	1.0	1.0	0	0
1701713769971	t	safari_testcue_windmill_left	0.0	3	0	3.546	844.7040000000001	527.68	1.0	3.1162	759.8879999999999	775.52	1.0	-0.0217	-0.0223	0.9995	-6.7598	6.8408	-38.3396	0.0	2	1.0	1.0	1.0	0	0
