Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Event value	Event message
1701895404126	t	terrace_testcue_cocktaillounge_left	0.0	27	0	5.6041	723.888	586.24	1.0	5.7119	703.152	623.36	1.0	0.139	-0.162	0.9769	18.9265	7.0178	-30.0533	0.0	14	1.0	1.0	1.0	100	MYKEYWORD 100
1701895404134	t	terrace_testcue_cocktaillounge_left	0.0	27	0	5.6038	724.032	586.24	1.0	5.7183	703.152	623.36	1.0	0.1388	-0.1625	0.9769	16.9589	7.0015	-30.0432	0.0	14	1.0	1.0	1.0	0	0
1701895404142	t	terrace_testcue_cocktaillounge_left	0.0	27	0	5.6037	724.032	586.24	1.0	5.7191	703.152	623.36	1.0	0.1391	-0.1637	0.9766	12.6347	6.9655	-30.0215	0.0	14	1.0	1.0	1.0	0	0
1701895404151	t	terrace_testcue_cocktaillounge_left	0.0	27	0	5.6061	723.744	586.24	1.0	5.7193	703.152	623.68	1.0	0.1405	-0.1649	0.9762	6.9442	6.9155	-29.9938	0.0	14	1.0	1.0	1.0	0	0
1701895404159	t	terrace_testcue_cocktaillounge_left	0.0	27	0	5.6038	724.032	586.24	1.0	5.7129	703.152	622.72	1.0	0.1408	-0.1638	0.9764	5.6551	6.904	-29.9818	0.0	14	1.0	1.0	1.0	0	0
1701895404167	t	terrace_testcue_cocktaillounge_left	0.0	27	0	5.5819	725.3280000000001	583.52	1.0	5.7557	703.584	622.4	1.0	0.1411	-0.1573	0.9774	9.5874	6.9698	-30.0949	0.0	14	1.0	1.0	1.0	0	0
1701895404176	t	terrace_testcue_cocktaillounge_left	0.0	27	0	5.6409	726.048	584.48	1.0	5.6742	704.448	621.6	1.0	0.1391	-0.1574	0.9777	19.6998	7.0502	-30.1109	0.0	14	1.0	1.0	1.0	0	0
1701895404184	t	terrace_testcue_cocktaillounge_left	0.0	27	0	5.6167	725.472	585.12	1.0	5.6684	704.304	622.88	1.0	0.1418	-0.1582	0.9772	25.4839	7.0908	-30.1111	0.0	14	1.0	1.0	1.0	0	0
1701895404192	t	terrace_testcue_cocktaillounge_left	0.0	27	0	5.6214	726.048	584.48	1.0	5.6747	704.016	624.16	1.0	0.1387	-0.1554	0.9781	27.8158	7.1066	-30.1129	0.0	14	1.0	1.0	1.0	0	0
1701895404201	t	terrace_testcue_cocktaillounge_left	0.0	27	0	5.605	726.3359999999999	583.6800000000001	1.0	5.6686	704.16	623.36	1.0	0.1373	-0.1515	0.9789	28.3905	7.1096	-30.113	0.0	14	1.0	1.0	1.0	0	0
