Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Event value	Event message
1702055669515	t	logcabin_testcue_study_right	0.0	1	0	5.857	974.304	650.4	0.9809	5.6588	756.432	860.0	0.8644	-0.1964	-0.2057	0.9587	8.3624	6.3611	-35.1523	0.0	24	1.0	1.0	1.0	100	MYKEYWORD 100
1702055669523	t	logcabin_testcue_study_right	0.0	1	0	5.7274	975.7439999999999	654.88	1.0	5.6427	756.0	861.12	0.8797	-0.1993	-0.2104	0.9571	7.8318	6.3035	-35.1751	0.0	24	1.0	1.0	1.0	0	0
1702055669531	t	logcabin_testcue_study_right	0.0	1	0	5.8022	975.312	656.32	1.0	5.6218	757.872	858.56	0.8797	-0.2016	-0.2062	0.9575	7.3528	6.2625	-35.195	0.0	24	1.0	1.0	1.0	0	0
1702055669540	t	logcabin_testcue_study_right	0.0	1	0	5.7808	976.464	658.5600000000001	1.0	5.6584	755.7120000000001	862.4000000000001	0.9096	-0.2029	-0.2155	0.9552	4.1923	6.104	-35.2981	0.0	24	1.0	1.0	1.0	0	0
1702055669548	t	logcabin_testcue_study_right	0.0	1	0	5.8692	974.304	658.88	1.0	5.6447	753.408	864.32	0.9096	-0.1981	-0.2143	0.9565	4.136	6.0738	-35.2955	0.0	24	1.0	1.0	1.0	0	0
1702055669556	t	logcabin_testcue_study_right	0.0	1	0	5.8638	974.304	658.5600000000001	1.0	5.6166	754.848	865.44	0.9253	-0.2027	-0.2118	0.9561	4.3456	6.0718	-35.2952	0.0	24	1.0	1.0	1.0	0	0
1702055669565	t	logcabin_testcue_study_right	0.0	1	0	5.7903	974.16	662.24	1.0	5.6788	754.992	868.4799999999999	0.9253	-0.2043	-0.2191	0.9541	4.4205	6.0543	-35.3026	0.0	24	1.0	1.0	1.0	0	0
1702055669573	t	logcabin_testcue_study_right	0.0	1	0	5.7549	974.8800000000001	662.24	1.0	5.5976	754.416	866.4	0.941	-0.2055	-0.2129	0.9552	4.893	6.0648	-35.291	0.0	24	1.0	1.0	1.0	0	0
1702055669581	t	logcabin_testcue_study_right	0.0	1	0	5.7013	977.184	661.76	1.0	5.615	751.6800000000001	868.16	0.941	-0.2049	-0.2114	0.9557	6.0422	6.1063	-35.2572	0.0	24	1.0	1.0	1.0	0	0
1702055669590	t	logcabin_testcue_study_right	0.0	1	0	5.752	973.2959999999999	666.4	1.0	5.6178	751.5360000000001	869.76	0.9521	-0.1992	-0.218	0.9554	5.9986	6.0759	-35.2612	0.0	24	1.0	1.0	1.0	0	0
1702055669598	t	logcabin_testcue_study_right	0.0	1	0	5.7401	956.88	674.88	1.0	5.652	736.2719999999999	873.76	0.9521	-0.1719	-0.228	0.9584	6.108	6.0	-35.2498	0.0	24	1.0	1.0	1.0	0	0
1702055669606	t	logcabin_testcue_study_right	0.0	1	0	5.6064	930.24	685.44	1.0	5.6244	707.76	882.08	0.9648	-0.1255	-0.2484	0.9605	6.9893	5.949	-35.222	0.0	24	1.0	1.0	1.0	0	0
