Recording timestamp	type	Scene Name	scene_num	order	djv_reported	PupilDiam_Left	Gaze2d_Left.x	Gaze2d_Left.y	left_eye_openness	PupilDiam_Right	Gaze2d_Right.x	Gaze2d_Right.y	right_eye_openness	gaze_direction_x	gaze_direction_y	gaze_direction_z	gaze_origin_x	gaze_origin_y	gaze_origin_z	gaze_convergence_distance	participant	study_status	scene_familiarity	recall_status	Event value	Event message
1701974743472	t	ballroom_testcue_weddingtent_left	0.0	30	0	3.177	985.392	937.7599999999999	1.0	2.7911	922.6080000000001	1002.72	1.0	-0.3682	-0.2831	0.8856	-3.9775	4.2683	-40.9728	0.0	17	0.0	1.0	0.5	100	MYKEYWORD 100
1701974743481	t	ballroom_testcue_weddingtent_left	0.0	30	0	3.1947	983.088	938.24	1.0	2.7778	922.4639999999999	1002.0799999999999	1.0	-0.3623	-0.2819	0.8884	-3.6517	4.2617	-40.954	0.0	17	0.0	1.0	0.5	0	0
1701974743489	t	ballroom_testcue_weddingtent_left	0.0	30	0	3.2192	981.6479999999999	937.12	1.0	2.7779	920.736	1000.6399999999999	1.0	-0.3565	-0.278	0.892	-3.2038	4.2609	-40.9271	0.0	17	0.0	1.0	0.5	0	0
1701974743497	t	ballroom_testcue_weddingtent_left	0.0	30	0	3.1946	980.496	937.12	1.0	2.765	920.8799999999999	1001.76	1.0	-0.3548	-0.2809	0.8917	-3.2911	4.2622	-40.929	0.0	17	0.0	1.0	0.5	0	0
1701974743506	t	ballroom_testcue_weddingtent_left	0.0	30	0	3.1543	980.208	935.68	1.0	2.8394	920.8799999999999	1001.2800000000001	1.0	-0.3527	-0.2781	0.8934	-3.3127	4.2637	-40.9279	0.0	17	0.0	1.0	0.5	0	0
1701974743514	t	ballroom_testcue_weddingtent_left	0.0	30	0	3.0986	978.192	934.72	1.0	2.8008	918.1439999999999	999.04	1.0	-0.3425	-0.2752	0.8983	-3.3243	4.2679	-40.9156	0.0	17	0.0	1.0	0.5	0	0
1701974743522	t	ballroom_testcue_weddingtent_left	0.0	30	0	3.1696	977.6159999999999	932.64	1.0	2.775	917.568	997.9200000000001	1.0	-0.3393	-0.2691	0.9013	-3.2737	4.2641	-40.9106	0.0	17	0.0	1.0	0.5	0	0
1701974743531	t	ballroom_testcue_weddingtent_left	0.0	30	0	3.0607	974.304	930.4	1.0	2.7609	915.696	996.32	1.0	-0.3288	-0.2654	0.9063	-3.0656	4.2707	-40.8902	0.0	17	0.0	1.0	0.5	0	0
1701974743539	t	ballroom_testcue_weddingtent_left	0.0	30	0	3.179	973.0079999999999	928.16	1.0	2.7838	913.8240000000001	990.7199999999999	1.0	-0.3241	-0.2533	0.9115	-2.7211	4.2781	-40.8656	0.0	17	0.0	1.0	0.5	0	0
1701974743547	t	ballroom_testcue_weddingtent_left	0.0	30	0	3.1155	969.264	927.0400000000001	1.0	2.8185	910.656	989.7600000000001	1.0	-0.3123	-0.253	0.9157	-1.6149	4.2877	-40.7979	0.0	17	0.0	1.0	0.5	0	0
1701974743555	t	ballroom_testcue_weddingtent_left	0.0	30	0	3.1815	965.0880000000001	921.7599999999999	1.0	2.7969	908.3520000000001	986.2399999999999	1.0	-0.3065	-0.2425	0.9205	-0.9303	4.3064	-40.7506	0.0	17	0.0	1.0	0.5	0	0
1701974743564	t	ballroom_testcue_weddingtent_left	0.0	30	0	3.1953	960.48	923.1999999999999	1.0	2.8317	904.608	984.8000000000001	1.0	-0.3012	-0.2484	0.9206	-0.2729	4.327	-40.7026	0.0	17	0.0	1.0	0.5	0	0
1701974743572	t	ballroom_testcue_weddingtent_left	0.0	30	0	3.1859	954.4319999999999	922.08	1.0	2.8323	899.856	984.16	1.0	-0.2931	-0.2544	0.9216	0.6743	4.3601	-40.6364	0.0	17	0.0	1.0	0.5	0	0
1701974743580	t	ballroom_testcue_weddingtent_left	0.0	30	0	3.1333	948.3839999999999	921.9200000000001	1.0	2.8154	896.112	981.9200000000001	1.0	-0.2838	-0.2569	0.9238	0.8945	4.3791	-40.6036	0.0	17	0.0	1.0	0.5	0	0
1701974743589	t	ballroom_testcue_weddingtent_left	0.0	30	0	3.2044	953.568	921.4399999999999	1.0	2.8353	898.56	984.8000000000001	1.0	-0.2868	-0.2509	0.9245	0.859	4.3433	-40.6269	0.0	17	0.0	1.0	0.5	0	0
1701974743597	t	ballroom_testcue_weddingtent_left	0.0	30	0	3.2608	975.312	931.5200000000001	1.0	2.8139	913.536	986.2399999999999	1.0	-0.3289	-0.2495	0.9108	-4.4731	4.2712	-40.9424	0.0	17	0.0	1.0	0.5	0	0
1701974743605	t	ballroom_testcue_weddingtent_left	0.0	30	0	3.2319	1003.536	948.1600000000001	1.0	2.8066	931.6800000000001	1000.6399999999999	1.0	-0.3755	-0.2815	0.883	-7.078	4.2172	-41.1608	0.0	17	0.0	1.0	0.5	0	0
1701974743613	t	ballroom_testcue_weddingtent_left	0.0	30	0	3.2167	1017.792	954.24	1.0	2.8358	942.6239999999999	1000.3199999999999	1.0	-0.412	-0.2814	0.8666	-12.1574	4.221	-41.4403	0.0	17	0.0	1.0	0.5	0	0
1701974743622	t	ballroom_testcue_weddingtent_left	0.0	30	0	3.1788	1012.6080000000001	950.08	1.0	2.8667	936.144	998.7199999999999	1.0	-0.4004	-0.2839	0.8712	-16.4738	4.2456	-41.5844	0.0	17	0.0	1.0	0.5	0	0
1701974743630	t	ballroom_testcue_weddingtent_left	0.0	30	0	3.1189	1005.1199999999999	945.12	1.0	2.908	933.12	998.88	1.0	-0.3938	-0.28	0.8755	-18.3461	4.2336	-41.6514	0.0	17	0.0	1.0	0.5	0	0
1701974743639	t	ballroom_testcue_weddingtent_left	0.0	30	0	3.2528	994.4639999999999	943.68	1.0	2.7733	926.496	1000.0	1.0	-0.3816	-0.2887	0.8781	-17.625	4.2445	-41.5826	0.0	17	0.0	1.0	0.5	0	0
1701974743647	t	ballroom_testcue_weddingtent_left	0.0	30	0	3.2342	984.384	940.64	1.0	2.8481	915.696	989.7600000000001	1.0	-0.3568	-0.2691	0.8946	-15.2815	4.266	-41.4257	0.0	17	0.0	1.0	0.5	0	0
1701974743655	t	ballroom_testcue_weddingtent_left	0.0	30	0	3.1677	974.16	940.32	1.0	2.7607	908.2080000000001	985.76	0.8081	-0.3404	-0.2685	0.9011	-12.232	4.2891	-41.2545	0.0	17	0.0	1.0	0.5	0	0
1701974743664	t	ballroom_testcue_weddingtent_left	0.0	30	0	3.0364	966.0960000000001	932.9599999999999	1.0	2.8334	901.008	985.76	0.8081	-0.3296	-0.2676	0.9054	-9.5717	4.3127	-41.1062	0.0	17	0.0	1.0	0.5	0	0
1701974743673	t	ballroom_testcue_weddingtent_left	0.0	30	0	3.1582	955.4399999999999	930.24	1.0	2.7945	892.6560000000001	983.36	0.8014	-0.3114	-0.2654	0.9125	-7.7758	4.3253	-40.994	0.0	17	0.0	1.0	0.5	0	0
1701974743680	t	ballroom_testcue_weddingtent_left	0.0	30	0	3.1983	946.368	931.3599999999999	1.0	2.7455	882.576	978.4000000000001	0.8014	-0.2909	-0.2588	0.9211	8.2674	4.33	-40.2816	0.0	17	0.0	1.0	0.5	0	0
1701974743689	t	ballroom_testcue_weddingtent_left	0.0	30	0	3.2117	938.16	928.48	1.0	2.6751	872.496	971.68	0.7967	-0.278	-0.251	0.9272	10.71	4.3452	-40.1502	0.0	17	0.0	1.0	0.5	0	0
1701974743697	t	ballroom_testcue_weddingtent_left	0.0	30	0	3.1455	927.504	921.7599999999999	1.0	2.8664	864.864	967.0400000000001	0.7967	-0.2652	-0.2347	0.9352	12.52	4.3589	-40.0477	0.0	17	0.0	1.0	0.5	0	0
1701974743706	t	ballroom_testcue_weddingtent_left	0.0	30	0	3.1282	915.552	918.72	1.0	2.934	855.936	964.0	0.8303	-0.2432	-0.2329	0.9416	14.116	4.3843	-39.9534	0.0	17	0.0	1.0	0.5	0	0
1701974743714	t	ballroom_testcue_weddingtent_left	0.0	30	0	3.1251	906.4799999999999	917.2800000000001	1.0	2.7901	845.136	959.2	0.8303	-0.2354	-0.2387	0.9421	15.4231	4.4325	-39.8706	0.0	17	0.0	1.0	0.5	0	0
1701974743722	t	ballroom_testcue_weddingtent_left	0.0	30	0	3.1367	895.248	911.52	1.0	2.9005	834.48	952.4800000000001	1.0	-0.2221	-0.2258	0.9485	16.1038	4.4596	-39.8169	0.0	17	0.0	1.0	0.5	0	0
